strain	median
AB1	-0.010524
BRC20067	-0.044452
CB4852	-0.041594
CB4854	-0.040814
CB4856	-0.027723
CB4932	-0.029623
CX11254	-0.017068
CX11262	-0.012396
CX11264	0.0024069
CX11271	-0.054655
CX11276	-0.018453
CX11285	-0.023387
CX11292	-0.028998
CX11307	-0.017291
CX11314	-0.02551
CX11315	-0.03876
DL200	-0.013664
DL226	-0.029488
DL238	-0.045657
ECA246	-0.018328
ECA248	-0.075242
ECA250	-0.015504
ECA251	-0.051848
ECA252	-0.0097245
ECA259	-0.047569
ECA348	-0.014962
ECA349	-0.029129
ECA36	-0.068022
ECA363	0.0020243
ECA372	-0.040585
ECA396	-0.014527
ED3005	-0.025992
ED3011	-0.042527
ED3012	-0.024864
ED3017	-0.050613
ED3040	-0.045154
ED3046	-0.014313
ED3048	-0.045618
ED3049	-0.023703
ED3052	-0.044468
ED3073	-0.022382
ED3077	-0.052264
EG4347	-0.032674
EG4349	-0.029757
EG4724	-0.0079134
EG4725	-0.020305
EG4946	-0.055521
GXW1	-0.041272
JT11398	-0.027473
JU1088	-0.022352
JU1172	-0.05299
JU1200	-0.046909
JU1212	-0.023603
JU1213	-0.037288
JU1242	-0.03313
JU1246	-0.071111
JU1395	-0.062724
JU1400	-0.014785
JU1409	-0.041268
JU1440	-0.031206
JU1491	-0.031987
JU1530	-0.017027
JU1543	-0.026584
JU1568	-0.0031629
JU1580	-0.022137
JU1581	-0.038396
JU1586	-0.045749
JU1652	-0.02031
JU1793	-0.025746
JU1808	-0.029594
JU1896	-0.049333
JU2001	-0.039419
JU2007	-0.040568
JU2131	-0.038739
JU2141	-0.025584
JU2234	-0.010403
JU2464	-0.066476
JU2466	-0.0099058
JU2513	-0.029853
JU2519	-0.019797
JU2522	-0.034352
JU2526	-0.024011
JU2534	-0.025033
JU2565	-0.0097111
JU2566	-0.026042
JU2578	-0.037054
JU258	-0.027688
JU2587	-0.042333
JU2593	-0.056068
JU2600	-0.020939
JU2800	-0.065691
JU2862	-0.041029
JU2866	-0.032016
JU2878	-0.11742
JU2879	-0.025964
JU2906	0.0014136
JU310	-0.01612
JU311	-0.028184
JU3125	-0.028857
JU3127	-0.030309
JU3134	-0.032211
JU3135	-0.019208
JU3137	-0.010231
JU3140	-0.014677
JU323	-0.013736
JU346	-0.02075
JU360	-0.044558
JU367	-0.02666
JU393	-0.032483
JU394	-0.03244
JU397	-0.01465
JU406	-0.030778
JU440	-0.038485
JU561	-0.025129
JU642	-0.026351
JU751	-0.017793
JU774	-0.049463
JU775	-0.034087
JU778	-0.042867
JU782	-0.01147
JU792	-0.070541
JU830	-0.023604
JU847	-0.034192
KR314	-0.015705
LKC34	-0.044234
LSJ1	-0.015483
MY1	-0.012306
MY10	-0.034061
MY16	-0.021201
MY18	-0.042769
MY2212	-0.030788
MY23	-0.023087
MY2453	-0.038353
MY2530	-0.081873
MY2535	-0.037832
MY2573	-0.04347
MY2693	-0.037533
MY2741	-0.054617
MY679	-0.030946
MY920	-0.046853
N2	-0.003895
NIC1	-0.021523
NIC1107	-0.034536
NIC166	-0.034829
NIC195	-0.099114
NIC199	-0.035302
NIC2	-0.035652
NIC207	-0.031296
NIC231	-0.016777
NIC236	-0.069741
NIC242	-0.026741
NIC251	-0.032912
NIC252	-0.012935
NIC255	-0.021283
NIC256	-0.034518
NIC258	-0.011058
NIC259	-0.016136
NIC260	-0.053566
NIC261	-0.043149
NIC262	-0.035601
NIC265	-0.041339
NIC266	-0.035172
NIC267	-0.032693
NIC268	-0.038109
NIC269	-0.015584
NIC271	-0.053813
NIC272	-0.03645
NIC274	-0.027145
NIC275	-0.040699
NIC276	-0.09603
NIC277	-0.056519
NIC3	-0.016202
NIC513	-0.052897
NIC514	-0.025867
NIC522	-0.034526
NIC523	-0.030167
PB303	-0.024209
PS2025	-0.046515
PX179	-0.027589
QG2075	-0.024932
QG536	-0.040935
QG556	-0.024509
QG557	-0.046088
QW947	-0.056437
QX1212	-0.034484
QX1233	-0.029891
QX1791	-0.0084285
QX1792	-0.062147
QX1793	-0.026312
QX1794	-0.033415
RC301	-0.034518
WN2001	-0.014491
WN2002	-0.037284
WN2033	-0.049005
XZ1513	-0.041412
XZ1514	-0.00017493
XZ1516	-0.0068056
