strain	median
AB1	-0.13292
BRC20067	-0.29643
CB4852	-0.24295
CB4854	-0.43951
CB4856	-0.41031
CB4932	-0.33344
CX11254	-0.24521
CX11262	-0.11835
CX11264	-0.050765
CX11271	-0.47987
CX11276	-0.20404
CX11285	-0.24935
CX11292	-0.5663
CX11307	-0.35071
CX11314	-0.31518
CX11315	-0.25899
DL200	-0.19999
DL226	-0.35887
DL238	-0.3286
ECA246	-0.099158
ECA248	-0.56362
ECA250	-0.41281
ECA251	-0.59078
ECA252	-0.084729
ECA259	-0.39661
ECA348	-0.029695
ECA349	-0.23211
ECA36	-0.71062
ECA363	-0.14232
ECA372	-0.46169
ECA396	-0.25542
ED3005	-0.23434
ED3011	-0.40648
ED3012	-0.34107
ED3017	-0.40086
ED3040	-0.4039
ED3046	-0.14562
ED3048	-0.53737
ED3049	-0.30751
ED3052	-0.44786
ED3073	-0.20551
ED3077	-0.31197
EG4347	-0.29665
EG4349	-0.15542
EG4724	-0.39076
EG4725	-0.17539
EG4946	-0.42347
GXW1	-0.46601
JT11398	-0.31548
JU1088	-0.34785
JU1172	-0.45796
JU1200	-0.41335
JU1212	-0.41735
JU1213	-0.44062
JU1242	-0.60624
JU1246	-0.56559
JU1395	-0.40368
JU1400	-0.10643
JU1409	-0.44748
JU1440	-0.29097
JU1491	-0.2382
JU1530	-0.17968
JU1543	-0.17754
JU1568	-0.045849
JU1580	-0.21206
JU1581	-0.50391
JU1586	-0.2809
JU1652	-0.19591
JU1793	-0.24951
JU1808	-0.24886
JU1896	-0.29381
JU2001	-0.19578
JU2007	-0.41704
JU2131	-0.21096
JU2141	-0.13584
JU2234	-0.055972
JU2464	-0.19295
JU2466	-0.23721
JU2513	-0.53253
JU2519	-0.11801
JU2522	-0.19901
JU2526	-0.40966
JU2534	-0.24088
JU2565	-0.1231
JU2566	-0.22287
JU2578	-0.51788
JU258	-0.30667
JU2587	-0.32078
JU2593	-0.39457
JU2600	-0.1347
JU2800	-0.60608
JU2862	-0.41234
JU2866	-0.15818
JU2878	-0.81264
JU2879	-0.37945
JU2906	-0.17881
JU310	-0.2415
JU311	-0.1697
JU3125	-0.31094
JU3127	-0.36746
JU3134	-0.35308
JU3135	-0.31388
JU3137	-0.38751
JU3140	-0.10784
JU323	-0.2489
JU346	-0.28889
JU360	-0.38664
JU367	-0.20945
JU393	-0.27013
JU394	-0.40775
JU397	-0.14312
JU406	-0.29937
JU440	-0.30325
JU561	-0.19621
JU642	-0.32419
JU751	-0.18154
JU774	-0.40634
JU775	-0.2543
JU778	-0.40868
JU782	-0.10607
JU792	-0.17736
JU830	-0.12065
JU847	-0.19647
KR314	-0.0563
LKC34	-0.47476
LSJ1	-0.081809
MY1	-0.32299
MY10	-0.25556
MY16	-0.17688
MY18	-0.34647
MY2212	-0.5129
MY23	-0.41487
MY2453	-0.048579
MY2530	-0.44253
MY2535	-0.32372
MY2573	-0.33351
MY2693	-0.32468
MY2741	-0.40949
MY679	-0.33156
MY920	-0.51211
N2	-0.057887
NIC1	-0.39403
NIC1107	-0.14561
NIC166	-0.26032
NIC195	-0.47254
NIC199	-0.3455
NIC2	-0.35961
NIC207	-0.3238
NIC231	-0.2815
NIC236	-0.48001
NIC242	-0.35089
NIC251	-0.29394
NIC252	-0.20197
NIC255	-0.23147
NIC256	-0.40177
NIC258	-0.19949
NIC259	-0.34894
NIC260	-0.14448
NIC261	-0.40978
NIC262	-0.13371
NIC265	-0.36072
NIC266	-0.25437
NIC267	-0.22391
NIC268	-0.51691
NIC269	-0.23186
NIC271	-0.39593
NIC272	-0.39186
NIC274	-0.33067
NIC275	-0.29899
NIC276	-0.50047
NIC277	-0.51365
NIC3	-0.16803
NIC513	-0.54726
NIC514	-0.37303
NIC522	-0.30707
NIC523	-0.23931
PB303	-0.23659
PS2025	-0.33318
PX179	-0.41432
QG2075	-0.26602
QG536	-0.40677
QG556	-0.30544
QG557	-0.43496
QW947	-0.39852
QX1212	-0.15275
QX1233	-0.46553
QX1791	-0.47874
QX1792	-0.31266
QX1793	-0.28706
QX1794	-0.30627
RC301	-0.41279
WN2001	-0.27009
WN2002	-0.25801
WN2033	-0.30926
XZ1513	-0.27419
XZ1514	-0.00050915
XZ1516	-0.12195
