strain	median
AB1	9.223372036854776e+18
BRC20067	0
CB4852	9.223372036854776e+18
CB4854	0
CB4856	0
CB4932	0
CX11254	0
CX11262	4.611686018427388e+18
CX11264	9.223372036854776e+18
CX11271	9.223372036854776e+18
CX11276	0
CX11285	9.223372036854776e+18
CX11292	0
CX11307	0
CX11314	0
CX11315	0
DL200	9.223372036854776e+18
DL226	9.223372036854776e+18
DL238	0
ECA246	9.223372036854776e+18
ECA248	0
ECA250	0
ECA251	9.223372036854776e+18
ECA252	9.223372036854776e+18
ECA259	9.223372036854776e+18
ECA348	9.223372036854776e+18
ECA349	0
ECA36	9.223372036854776e+18
ECA363	0
ECA372	0
ECA396	0
ED3005	0
ED3011	9.223372036854776e+18
ED3012	9.223372036854776e+18
ED3017	0
ED3040	0
ED3046	0
ED3048	0
ED3049	0
ED3052	9.223372036854776e+18
ED3073	9.223372036854776e+18
ED3077	9.223372036854776e+18
EG4347	9.223372036854776e+18
EG4349	9.223372036854776e+18
EG4724	0
EG4725	4.611686018427388e+18
EG4946	9.223372036854776e+18
GXW1	9.223372036854776e+18
JT11398	0
JU1088	9.223372036854776e+18
JU1172	0
JU1200	0
JU1212	0
JU1213	0
JU1242	0
JU1246	0
JU1395	0
JU1400	9.223372036854776e+18
JU1409	0
JU1440	9.223372036854776e+18
JU1491	9.223372036854776e+18
JU1530	0
JU1543	9.223372036854776e+18
JU1568	0
JU1580	9.223372036854776e+18
JU1581	0
JU1586	0
JU1652	9.223372036854776e+18
JU1793	9.223372036854776e+18
JU1808	9.223372036854776e+18
JU1896	9.223372036854776e+18
JU2001	0
JU2007	0
JU2131	0
JU2141	9.223372036854776e+18
JU2234	0
JU2464	0
JU2466	0
JU2513	0
JU2519	9.223372036854776e+18
JU2522	9.223372036854776e+18
JU2526	9.223372036854776e+18
JU2534	9.223372036854776e+18
JU2565	0
JU2566	9.223372036854776e+18
JU2578	0
JU258	9.223372036854776e+18
JU2587	0
JU2593	9.223372036854776e+18
JU2600	0
JU2800	0
JU2862	9.223372036854776e+18
JU2866	9.223372036854776e+18
JU2878	9.223372036854776e+18
JU2879	9.223372036854776e+18
JU2906	0
JU310	0
JU311	4.611686018427388e+18
JU3125	9.223372036854776e+18
JU3127	0
JU3134	9.223372036854776e+18
JU3135	0
JU3137	0
JU3140	0
JU323	9.223372036854776e+18
JU346	0
JU360	0
JU367	0
JU393	0
JU394	9.223372036854776e+18
JU397	0
JU406	0
JU440	0
JU561	0
JU642	9.223372036854776e+18
JU751	0
JU774	9.223372036854776e+18
JU775	9.223372036854776e+18
JU778	0
JU782	9.223372036854776e+18
JU792	9.223372036854776e+18
JU830	0
JU847	9.223372036854776e+18
KR314	0
LKC34	0
LSJ1	0
MY1	9.223372036854776e+18
MY10	0
MY16	0
MY18	9.223372036854776e+18
MY2212	0
MY23	0
MY2453	9.223372036854776e+18
MY2530	0
MY2535	0
MY2573	9.223372036854776e+18
MY2693	0
MY2741	0
MY679	9.223372036854776e+18
MY920	9.223372036854776e+18
N2	9.223372036854776e+18
NIC1	0
NIC1107	0
NIC166	9.223372036854776e+18
NIC195	9.223372036854776e+18
NIC199	0
NIC2	9.223372036854776e+18
NIC207	9.223372036854776e+18
NIC231	0
NIC236	9.223372036854776e+18
NIC242	0
NIC251	0
NIC252	0
NIC255	0
NIC256	0
NIC258	9.223372036854776e+18
NIC259	0
NIC260	9.223372036854776e+18
NIC261	0
NIC262	9.223372036854776e+18
NIC265	0
NIC266	0
NIC267	4.611686018427388e+18
NIC268	0
NIC269	0
NIC271	9.223372036854776e+18
NIC272	0
NIC274	9.223372036854776e+18
NIC275	0
NIC276	0
NIC277	0
NIC3	9.223372036854776e+18
NIC513	0
NIC514	0
NIC522	4.611686018427388e+18
NIC523	9.223372036854776e+18
PB303	9.223372036854776e+18
PS2025	9.223372036854776e+18
PX179	9.223372036854776e+18
QG2075	0
QG536	0
QG556	0
QG557	9.223372036854776e+18
QW947	0
QX1212	9.223372036854776e+18
QX1233	9.223372036854776e+18
QX1791	0
QX1792	0
QX1793	9.223372036854776e+18
QX1794	0
RC301	9.223372036854776e+18
WN2001	0
WN2002	9.223372036854776e+18
WN2033	0
XZ1513	9.223372036854776e+18
XZ1514	9.223372036854776e+18
XZ1516	9.223372036854776e+18
