strain	median
AB1	-25.4623
BRC20067	-9.2524
CB4852	-18.452
CB4854	-28.6072
CB4856	-10.3618
CB4932	-0.19424
CX11254	-36.8815
CX11262	-3.1734
CX11264	-26.1958
CX11271	-28.8785
CX11276	-11.0402
CX11285	21.7059
CX11292	-12.8938
CX11307	-12.206
CX11314	-22.1781
CX11315	-14.9487
DA609	0.32734
DL200	23.2682
DL226	0.11874
DL238	-13.27
ECA246	-13.0238
ECA248	-24.0489
ECA250	3.3513
ECA251	-49.221
ECA252	-0.34035
ECA259	23.8683
ECA348	-29.3744
ECA349	-15.3714
ECA36	-7.869
ECA363	18.1504
ECA372	-9.6217
ECA396	20.5338
ED3005	-16.2675
ED3011	-27.9627
ED3012	-2.8231
ED3017	4.69
ED3040	-16.2186
ED3046	-15.4138
ED3048	-18.8442
ED3049	-17.6246
ED3052	-35.2207
ED3073	-28.0729
ED3077	-27.992
EG4347	0.031731
EG4349	-36.0315
EG4724	-15.7742
EG4725	-13.941
EG4946	-8.8396
GXW1	18.808
JT11398	-15.6908
JU1088	-8.9575
JU1172	-0.21225
JU1200	2.5608
JU1212	0.4698
JU1213	-28.8754
JU1242	-22.0541
JU1246	-16.325
JU1395	-41.5025
JU1400	-12.4372
JU1409	-46.0943
JU1440	-32.4207
JU1491	-19.9369
JU1530	-37.1427
JU1543	17.9927
JU1568	-41.493
JU1580	0.054939
JU1581	3.8657
JU1586	-3.4984
JU1652	-5.281
JU1793	-16.2503
JU1808	18.7634
JU1896	-0.68285
JU2001	-36.9457
JU2007	-25.2827
JU2131	-20.597
JU2141	-23.6542
JU2234	6.2729
JU2464	-13.3776
JU2466	-48.4305
JU2513	9.7312
JU2519	-10.2589
JU2522	8.5002
JU2526	-40.8215
JU2534	6.5425
JU2565	-2.9917
JU2566	-29.1402
JU2578	-7.1967
JU258	-8.7108
JU2587	-39.4225
JU2593	-47.2052
JU2600	8.6919
JU2800	-20.0984
JU2862	-15.7781
JU2866	-31.1525
JU2878	8.6811
JU2879	-12.0977
JU2906	-26.7856
JU310	-2.416
JU311	-29.6929
JU3125	-25.9633
JU3127	-10.8473
JU3134	-26.0679
JU3135	7.8154
JU3137	-2.6062
JU3140	-11.8107
JU323	-46.5059
JU346	-46.3832
JU360	-7.1071
JU367	-17.8018
JU393	18.789
JU394	-31.711
JU397	1.8504
JU406	8.2193
JU440	-13.5533
JU561	-55.0846
JU642	-15.4377
JU751	-53.2344
JU774	-25.9346
JU775	-21.351
JU778	4.8857
JU782	9.4829
JU792	-19.6023
JU830	-2.5163
JU847	-10.2979
KR314	-60.0522
LKC34	-9.5667
LSJ1	-12.9951
MY1	-51.5906
MY10	10.1838
MY16	-7.1659
MY18	23.6091
MY2212	-8.8179
MY23	-16.2465
MY2453	-28.9669
MY2530	-2.2276
MY2535	-5.4001
MY2573	-24.6421
MY2693	-12.1129
MY2741	-24.5483
MY679	-10.0805
MY920	-24.0608
N2	-1.704
NIC1	3.3876
NIC1107	8.5717
NIC166	-22.7362
NIC195	9.4708
NIC199	-24.3044
NIC2	-7.6533
NIC207	-23.1102
NIC231	25.267
NIC236	-10.4317
NIC242	-24.6395
NIC251	-26.2683
NIC252	-1.9769
NIC255	2.1497
NIC256	6.4632
NIC258	31.4567
NIC259	-3.2524
NIC260	-12.0455
NIC261	-22.3191
NIC262	-16.4186
NIC265	4.86
NIC266	-9.2475
NIC267	53.9964
NIC268	10.2865
NIC269	10.3004
NIC271	-53.5487
NIC272	-12.8463
NIC274	-12.3718
NIC275	-11.8625
NIC276	-2.1914
NIC277	-4.4027
NIC3	1.724
NIC513	-1.0332
NIC514	-15.7794
NIC522	-17.8028
NIC523	-15.4999
PB303	-38.3244
PS2025	-7.3294
PX179	-7.3193
QG2075	NaN
QG536	-5.9918
QG556	-6.6127
QG557	-10.1014
QW947	-15.8663
QX1212	-32.1192
QX1233	-2.1635
QX1791	-14.1007
QX1792	-4.2747
QX1793	-6.897
QX1794	4.0078
RC301	7.1051
WN2001	-13.8189
WN2002	-20.4596
WN2033	-47.2777
XZ1513	-24.7601
XZ1514	-7.0558
XZ1516	12.7189
