strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
AB1,19.5809,0.031693,4.2151,27.0168,843.5205,0.87178,1349.1225,455.9424,313.0509,614.1302,-4.12,0.013778,-78.76,0.0027028,1.64,-21.0523,11.9954,1.0982,24.6832,-8.8182,6.244,19.8179,-22.7277
BRC20067,22.3435,0.020853,-22.825,27.8417,623.828,1.1793,1120.1085,922.1799,465.2384,563.0939,-10.76,0.013012,-30.88,0.0087568,-33.06,-6.8538,10.3314,6.049,11.5087,-4.7798,3.0393,17.0838,-41.8235
CB4852,39.7196,0.055276,-35.8546,44.1035,657.6107,0.78342,378.999,1061.9178,802.9231,444.9965,-4.32,0.018284,-38.44,0.014718,-17.22,-12.0271,24.8472,-1.3414,30.5846,-7.1486,0.64822,21.0492,-4.5301
CB4854,31.4382,0.033766,-25.2877,35.9749,238.873,0.21308,1890.4471,525.6805,16.6928,160.9983,-10.32,0.02037,-34.02,0.0065584,-0.44,-10.4304,18.651,10.7355,15.4777,-9.4027,7.0422,20.2149,-35.2323
CB4856,30.918,0.025475,-33.2506,28.1783,363.6369,0.49559,1239.9802,721.1673,216.0495,311.0997,-8.38,0.01424,-36.69,0.0056894,-9.14,-9.8955,18.0384,9.2963,14.2992,-5.5063,3.687,13.4382,-44.4291
CB4932,24.5183,0.034699,-38.7203,25.4387,845.8162,0.83504,1956.865,2141.8872,761.9647,583.1871,-15.22,0.0085164,-31.26,0.0074607,-4.94,-9.2848,14.5828,16.35,21.5404,-6.1667,5.287,18.642,-41.6186
CX11254,36.1983,0.035325,-15.2949,34.6271,900.429,0.72455,-1360.1031,572.5259,164.4058,153.2231,-9.52,0.015376,-45.52,0.0065998,-30.48,-33.3309,37.4956,6.5775,34.4695,-8.8385,2.3148,20.9674,-2.953
CX11262,-26.5762,-0.021154,-7.0437,-19.6649,-537.4459,-0.37067,275.1217,-936.0776,288.2332,-402.6777,-3.12,0.003219,-29.04,0.009416,-4.42,-1.867,5.6537,18.7196,1.4043,-0.59601,4.7273,4.8016,-46.7705
CX11264,-4.157,-0.0027153,-1.3452,-5.5092,309.4937,0.54689,1542.1002,822.7954,160.118,227.9482,-6.16,0.011147,-49.28,0.0052868,-19.38,-16.0137,10.112,-2.1912,15.5683,-3.2099,4.175,4.973,-57.8989
CX11271,27.9843,0.048963,-45.8092,25.5942,839.8628,1.3231,1326.2183,1205.6704,566.541,706.1899,-6.32,0.015908,-42.72,0.018431,5.04,-10.6919,16.3711,18.9667,26.3659,-6.4672,5.8429,18.4145,-39.5066
CX11276,17.8273,0.020987,-12.9245,21.5497,410.5587,0.59023,189.585,-12.3341,374.6141,482.9305,-12.4,0.013677,-42.24,0.0097754,-25.66,-11.8928,8.5023,14.0935,11.881,-4.9398,7.5814,19.8952,5.5802
CX11285,-22.6363,-0.023309,-0.94703,-21.87,46.0228,0.084214,329.8923,201.5453,-182.5789,56.7252,-6.94,0.012082,-29.69,0.0036685,-5.84,-8.6436,16.1568,7.6234,3.3452,-2.2024,2.952,9.5604,-15.6341
CX11292,28.0552,0.040824,-20.0661,35.9895,758.7649,0.83508,870.2061,401.3526,493.1134,692.842,-4.96,0.0093042,-33.64,0.0042696,-1.8,-11.6882,15.9468,17.0276,19.5287,-10.6676,8.9775,23.5232,-26.0663
CX11307,22.8637,0.025842,-18.6141,18.5542,202.7216,0.36444,1951.5553,403.5724,173.6084,92.0802,-18.36,0.012855,-55.24,0.0069351,-6.48,-18.3712,24.9558,-1.207,17.4291,-7.3236,0.6861,18.3797,-19.6098
CX11314,40.6375,0.054032,-27.9489,39.2026,605.8672,0.68634,842.7837,376.4569,435.9121,574.4913,-10.04,0.019436,-34.22,0.0063154,-0.95,-17.3209,21.2064,14.9636,18.8981,-10.1197,7.1349,24.3579,-13.1901
CX11315,69.2204,0.078786,-24.74,55.8325,735.9305,0.85059,1660.8698,1515.917,427.2018,420.739,-9.78,0.013879,-51.8,0.010895,-10.44,-28.9201,29.6319,11.0507,41.5786,-12.2713,5.4469,23.1359,-49.5582
