strain	median
AB1	0.031693
BRC20067	0.020853
CB4852	0.055276
CB4854	0.033766
CB4856	0.025475
CB4932	0.034699
CX11254	0.035325
CX11262	-0.021154
CX11264	-0.0027153
CX11271	0.048963
CX11276	0.020987
CX11285	-0.023309
CX11292	0.040824
CX11307	0.025842
CX11314	0.054032
CX11315	0.078786
DL200	-0.018483
DL226	0.014557
DL238	0.059786
ECA246	0.026275
ECA248	0.044624
ECA250	0.02303
ECA251	0.050068
ECA252	-0.00023182
ECA259	0.045655
ECA348	0.057568
ECA349	0.044361
ECA36	0.0077432
ECA363	-0.0062324
ECA372	0.045159
ECA396	-0.054331
ED3005	0.072061
ED3011	0.033334
ED3012	0.038304
ED3017	0.016861
ED3040	0.033288
ED3046	0.028865
ED3048	0.04749
ED3049	0.041104
ED3052	0.058589
ED3073	0.04342
ED3077	-0.014968
EG4347	0.046007
EG4349	0.043419
EG4724	0.014316
EG4725	0.040719
EG4946	0.052065
GXW1	0.015091
JT11398	0.021583
JU1088	0.032091
JU1172	0.013538
JU1200	0.049201
JU1212	0.040122
JU1213	0.043312
JU1242	0.051422
JU1246	0.03103
JU1395	0.065767
JU1400	0.026955
JU1409	0.039005
JU1440	0.0087441
JU1491	0.042342
JU1530	0.063142
JU1543	-0.012772
JU1568	0.03006
JU1580	0.016639
JU1581	0.021346
JU1586	0.034925
JU1652	0.042929
JU1793	0.0264
JU1808	0.0059997
JU1896	0.049661
JU2001	-0.0016963
JU2007	0.034893
JU2131	0.05504
JU2141	0.065625
JU2234	0.0087731
JU2464	0.0090416
JU2466	-0.0038778
JU2513	0.047705
JU2519	0.023164
JU2522	0.01791
JU2526	-0.0066611
JU2534	0.026321
JU2565	0.002088
JU2566	0.035388
JU2578	0.048798
JU258	0.0075008
JU2587	0.045044
JU2593	0.059069
JU2600	0.012752
JU2800	0.027045
JU2862	0.016911
JU2866	0.031665
JU2878	0.016524
JU2879	-0.00077198
JU2906	-9.2268e-05
JU310	0.030163
JU311	0.055904
JU3125	0.024997
JU3127	0.068325
JU3134	0.051537
JU3135	-0.0033237
JU3137	-0.0003392
JU3140	0.016522
JU323	0.058173
JU346	0.049374
JU360	0.033132
JU367	0.022352
JU393	0.020679
JU394	0.038777
JU397	-0.0051902
JU406	0.055824
JU440	0.024434
JU561	0.037487
JU642	0.028676
JU751	0.036442
JU774	0.027725
JU775	0.051429
JU778	0.0097155
JU782	0.021599
JU792	0.015107
JU830	0.017924
JU847	0.0087444
KR314	0.029727
LKC34	0.028511
LSJ1	0.024961
MY1	0.063772
MY10	0.038785
MY16	0.033918
MY18	0.002173
MY2212	0.068284
MY23	0.035343
MY2453	0.043862
MY2530	0.016124
MY2535	0.050881
MY2573	0.051031
MY2693	0.011223
MY2741	0.049816
MY679	0.0286
MY920	0.060136
N2	0.0031225
NIC1	-0.00067418
NIC1107	-0.0062111
NIC166	0.043199
NIC195	0.0018158
NIC199	0.053472
NIC2	0.030257
NIC207	0.030268
NIC231	0.043877
NIC236	0.022732
NIC242	0.052239
NIC251	-0.019371
NIC252	0.010856
NIC255	-2.1577e-05
NIC256	0.0025143
NIC258	-0.0080597
NIC259	0.0025867
NIC260	0.043556
NIC261	0.051009
NIC262	-0.0088001
NIC265	0.028969
NIC266	0.061187
NIC267	0.0341
NIC268	-0.014191
NIC269	-0.021019
NIC271	0.043264
NIC272	0.031815
NIC274	0.068545
NIC275	0.065203
NIC276	0.045445
NIC277	0.034931
NIC3	0.0032584
NIC513	0.032582
NIC514	0.027563
NIC522	0.040262
NIC523	0.039384
PB303	0.039238
PS2025	0.021685
PX179	0.040814
QG2075	0.032523
QG536	-0.004607
QG556	0.038648
QG557	0.019998
QW947	0.026067
QX1212	0.054643
QX1233	0.036359
QX1791	0.0481
QX1792	0.0136
QX1793	0.062947
QX1794	0.052033
RC301	0.011682
WN2001	0.027531
WN2002	0.034021
WN2033	0.0010408
XZ1513	0.049939
XZ1514	0.0092063
XZ1516	-0.009234
