strain	median
AB1	4.2151
BRC20067	-22.825
CB4852	-35.8546
CB4854	-25.2877
CB4856	-33.2506
CB4932	-38.7203
CX11254	-15.2949
CX11262	-7.0437
CX11264	-1.3452
CX11271	-45.8092
CX11276	-12.9245
CX11285	-0.94703
CX11292	-20.0661
CX11307	-18.6141
CX11314	-27.9489
CX11315	-24.74
DL200	-11.8818
DL226	-13.4309
DL238	-39.3433
ECA246	-28.8071
ECA248	-17.3663
ECA250	-10.449
ECA251	-23.7741
ECA252	1.2386
ECA259	-26.1528
ECA348	-26.4543
ECA349	-24.3992
ECA36	-93.7817
ECA363	17.2756
ECA372	-45.6305
ECA396	-3.6904
ED3005	-39.4489
ED3011	-38.2551
ED3012	-34.4448
ED3017	-25.76
ED3040	-40.3321
ED3046	-12.8137
ED3048	-30.9175
ED3049	-12.2393
ED3052	-31.7577
ED3073	-18.0272
ED3077	-29.3534
EG4347	-43.0975
EG4349	-25.2981
EG4724	-20.0917
EG4725	-16.0429
EG4946	-59.8383
GXW1	-38.0186
JT11398	-31.7543
JU1088	-17.7802
JU1172	-50.0172
JU1200	-22.2847
JU1212	-39.7517
JU1213	-40.6772
JU1242	-30.8757
JU1246	-16.6983
JU1395	-35.2279
JU1400	-21.7535
JU1409	-51.3236
JU1440	-13.8565
JU1491	-10.5336
JU1530	-25.4849
JU1543	13.9105
JU1568	-17.8122
JU1580	-16.8306
JU1581	-42.8969
JU1586	1.5374
JU1652	-29.2558
JU1793	-8.9683
JU1808	-1.0278
JU1896	-10.7468
JU2001	-18.6543
JU2007	-21.8249
JU2131	-47.2406
JU2141	-44.2887
JU2234	15.8778
JU2464	-10.3291
JU2466	-23.7955
JU2513	-27.9922
JU2519	-18.5713
JU2522	-19.0768
JU2526	-59.4604
JU2534	-15.7867
JU2565	-3.6647
JU2566	-22.8589
JU2578	-0.57395
JU258	-33.6614
JU2587	-23.9806
JU2593	-42.5353
JU2600	-6.3282
JU2800	-32.7258
JU2862	-3.9654
JU2866	-53.5421
JU2878	-30.0292
JU2879	-32.2985
JU2906	-17.9466
JU310	-15.337
JU311	-33.85
JU3125	-11.0697
JU3127	-16.4908
JU3134	-30.7096
JU3135	-13.0146
JU3137	8.3901
JU3140	-17.5539
JU323	-41.5758
JU346	-22.5309
JU360	-74.7772
JU367	-50.0065
JU393	-20.6708
JU394	-5.1953
JU397	-17.8312
JU406	-11.9041
JU440	-40.6867
JU561	-35.3765
JU642	-15.7096
JU751	-36.6557
JU774	-24.7383
JU775	-32.7341
JU778	-6.3871
JU782	-24.1834
JU792	-32.2959
JU830	-0.83181
JU847	-6.3204
KR314	-20.1174
LKC34	-22.0742
LSJ1	-14.404
MY1	-27.2173
MY10	-20.9347
MY16	-21.8775
MY18	8.6797
MY2212	-32.3826
MY23	-64.0066
MY2453	-28.7765
MY2530	-10.7598
MY2535	-22.5431
MY2573	-43.4902
MY2693	-13.7128
MY2741	-47.4771
MY679	-23.9886
MY920	-22.5493
N2	-4.5742
NIC1	-19.7813
NIC1107	5.4494
NIC166	-37.1975
NIC195	-30.2125
NIC199	-31.7726
NIC2	-20.0218
NIC207	-31.7759
NIC231	-28.7872
NIC236	-28.6241
NIC242	-24.1075
NIC251	6.3847
NIC252	-4.705
NIC255	-17.7757
NIC256	-15.8011
NIC258	-6.8556
NIC259	-26.2915
NIC260	-38.6799
NIC261	-38.0565
NIC262	1.8963
NIC265	-28.4121
NIC266	-48.3068
NIC267	-30.6902
NIC268	-15.0467
NIC269	13.2486
NIC271	-40.835
NIC272	-26.3589
NIC274	-49.9789
NIC275	-35.6863
NIC276	-62.7631
NIC277	-45.6917
NIC3	-2.7527
NIC513	-20.8946
NIC514	-11.1347
NIC522	-32.0816
NIC523	-8.9205
PB303	-44.3461
PS2025	-24.238
PX179	-8.9917
QG2075	-31.4971
QG536	-23.5808
QG556	-2.3028
QG557	-13.6128
QW947	-11.3945
QX1212	-28.6729
QX1233	-17.5219
QX1791	-19.0355
QX1792	-30.6373
QX1793	-34.1062
QX1794	-23.4991
RC301	-13.4144
WN2001	-37.9654
WN2002	-33.1004
WN2033	-12.4761
XZ1513	-33.5016
XZ1514	1.7531
XZ1516	-6.5784
