strain	median
AB1	27.0168
BRC20067	27.8417
CB4852	44.1035
CB4854	35.9749
CB4856	28.1783
CB4932	25.4387
CX11254	34.6271
CX11262	-19.6649
CX11264	-5.5092
CX11271	25.5942
CX11276	21.5497
CX11285	-21.87
CX11292	35.9895
CX11307	18.5542
CX11314	39.2026
CX11315	55.8325
DL200	-11.9115
DL226	6.8737
DL238	42.6768
ECA246	17.4023
ECA248	40.8694
ECA250	45.0749
ECA251	57.0004
ECA252	7.2053
ECA259	33.8523
ECA348	30.8208
ECA349	45.6538
ECA36	-7.8424
ECA363	-1.9817
ECA372	43.2993
ECA396	-21.8749
ED3005	64.0389
ED3011	18.7463
ED3012	32.293
ED3017	5.1182
ED3040	38.2944
ED3046	33.7269
ED3048	24.8375
ED3049	34.1606
ED3052	53.7994
ED3073	40.9064
ED3077	-15.8345
EG4347	48.4072
EG4349	42.1304
EG4724	12.2623
EG4725	27.9637
EG4946	39.2671
GXW1	17.1172
JT11398	20.3563
JU1088	27.0322
JU1172	12.4934
JU1200	31.2374
JU1212	40.824
JU1213	42.0987
JU1242	39.2879
JU1246	23.1715
JU1395	52.9788
JU1400	21.7274
JU1409	33.3934
JU1440	11.9962
JU1491	37.5075
JU1530	62.3432
JU1543	-12.9301
JU1568	22.2803
JU1580	17.015
JU1581	9.7494
JU1586	29.6753
JU1652	27.7486
JU1793	15.7511
JU1808	6.5899
JU1896	43.3936
JU2001	27.0632
JU2007	36.0794
JU2131	48.5793
JU2141	51.8032
JU2234	18.3112
JU2464	14.1632
JU2466	8.871
JU2513	34.9624
JU2519	20.8744
JU2522	14.8656
JU2526	13.8418
JU2534	13.6711
JU2565	-4.7199
JU2566	26.6709
JU2578	40.8579
JU258	13.8808
JU2587	47.521
JU2593	67.5347
JU2600	1.7741
JU2800	38.357
JU2862	6.3122
JU2866	26.1447
JU2878	8.3068
JU2879	-4.3477
JU2906	-1.7582
JU310	31.1279
JU311	29.5084
JU3125	21.4204
JU3127	48.816
JU3134	37.9158
JU3135	2.5008
JU3137	1.8735
JU3140	6.8364
JU323	46.9563
JU346	42.7685
JU360	35.1588
JU367	29.2514
JU393	22.4887
JU394	38.3044
JU397	1.227
JU406	41.8687
JU440	22.3211
JU561	25.3011
JU642	27.8253
JU751	42.5977
JU774	25.8032
JU775	34.5204
JU778	6.6197
JU782	32.408
JU792	18.9315
JU830	24.2575
JU847	15.6721
KR314	29.3446
LKC34	34.1073
LSJ1	15.8763
MY1	63.1088
MY10	29.5748
MY16	28.6942
MY18	17.2773
MY2212	60.0452
MY23	32.5016
MY2453	28.2348
MY2530	7.9775
MY2535	38.3769
MY2573	37.6303
MY2693	13.5752
MY2741	33.7443
MY679	35.8429
MY920	51.5646
N2	2.3232
NIC1	6.0296
NIC1107	-1.4168
NIC166	44.3602
NIC195	0.98112
NIC199	39.8824
NIC2	33.1717
NIC207	31.4654
NIC231	37.4953
NIC236	25.4268
NIC242	45.249
NIC251	-11.5184
NIC252	3.9402
NIC255	14.6913
NIC256	8.0667
NIC258	-4.258
NIC259	-1.3121
NIC260	34.3099
NIC261	38.3754
NIC262	-1.64
NIC265	33.8468
NIC266	31.7028
NIC267	24.4201
NIC268	-4.6527
NIC269	-6.3254
NIC271	37.8409
NIC272	31.3595
NIC274	40.543
NIC275	45.7137
NIC276	30.7167
NIC277	12.7672
NIC3	8.0795
NIC513	23.014
NIC514	25.1129
NIC522	36.6618
NIC523	26.5403
PB303	32.2146
PS2025	12.0922
PX179	24.984
QG2075	21.9499
QG536	1.7328
QG556	29.6185
QG557	20.9066
QW947	23.1293
QX1212	35.6882
QX1233	17.9706
QX1791	37.1849
QX1792	19.2108
QX1793	48.1896
QX1794	33.1046
RC301	13.2858
WN2001	21.9895
WN2002	38.032
WN2033	1.3716
XZ1513	34.2094
XZ1514	-7.4462
XZ1516	-6.303
