strain	median
AB1	0.87178
BRC20067	1.1793
CB4852	0.78342
CB4854	0.21308
CB4856	0.49559
CB4932	0.83504
CX11254	0.72455
CX11262	-0.37067
CX11264	0.54689
CX11271	1.3231
CX11276	0.59023
CX11285	0.084214
CX11292	0.83508
CX11307	0.36444
CX11314	0.68634
CX11315	0.85059
DL200	0.25333
DL226	0.31339
DL238	-0.18564
ECA246	1.9362
ECA248	1.1924
ECA250	1.1463
ECA251	1.7072
ECA252	0.45017
ECA259	0.44241
ECA348	0.14612
ECA349	1.7197
ECA36	0.32414
ECA363	0.54679
ECA372	1.1034
ECA396	0.35996
ED3005	0.63225
ED3011	1.4754
ED3012	0.94909
ED3017	0.65641
ED3040	0.072826
ED3046	1.3154
ED3048	1.0009
ED3049	1.197
ED3052	1.168
ED3073	-0.10881
ED3077	0.49638
EG4347	0.91821
EG4349	1.026
EG4724	0.63819
EG4725	0.84082
EG4946	0.37682
GXW1	1.7176
JT11398	0.89323
JU1088	1.186
JU1172	0.67626
JU1200	0.1521
JU1212	0.78052
JU1213	0.50194
JU1242	0.79063
JU1246	1.2024
JU1395	1.4575
JU1400	0.53457
JU1409	0.33864
JU1440	0.59701
JU1491	1.5561
JU1530	1.3832
JU1543	-1.797
JU1568	0.65412
JU1580	1.397
JU1581	0.43938
JU1586	0.78474
JU1652	0.25565
JU1793	0.54383
JU1808	0.61114
JU1896	1.0811
JU2001	1.0703
JU2007	0.70824
JU2131	1.2114
JU2141	0.40405
JU2234	0.35849
JU2464	1.3916
JU2466	0.73932
JU2513	1.1664
JU2519	0.39011
JU2522	-0.36377
JU2526	0.44982
JU2534	0.93528
JU2565	0.36424
JU2566	-0.15573
JU2578	1.1446
JU258	0.040945
JU2587	1.8292
JU2593	0.98637
JU2600	0.7554
JU2800	0.1314
JU2862	0.63912
JU2866	0.64734
JU2878	0.63823
JU2879	-0.6464
JU2906	-0.5031
JU310	0.9724
JU311	-0.041582
JU3125	-0.77595
JU3127	0.9144
JU3134	1.1719
JU3135	-0.09725
JU3137	0.18725
JU3140	0.24645
JU323	0.087767
JU346	1.2958
JU360	0.31694
JU367	1.3952
JU393	0.95457
JU394	1.46
JU397	-0.34836
JU406	1.583
JU440	0.25967
JU561	0.82593
JU642	0.65811
JU751	1.1745
JU774	0.7027
JU775	1.215
JU778	0.53272
JU782	1.2423
JU792	1.1209
JU830	0.85199
JU847	-0.047119
KR314	0.45487
LKC34	1.3077
LSJ1	-0.41432
MY1	0.8454
MY10	1.32
MY16	0.56007
MY18	-0.34573
MY2212	1.044
MY23	0.34051
MY2453	1.0904
MY2530	0.80761
MY2535	1.284
MY2573	1.3135
MY2693	0.97192
MY2741	0.81517
MY679	0.64702
MY920	1.8991
N2	0.91824
NIC1	0.35635
NIC1107	0.26156
NIC166	0.53698
NIC195	0.42713
NIC199	0.63332
NIC2	0.93929
NIC207	0.52542
NIC231	1.275
NIC236	0.72342
NIC242	0.083296
NIC251	-0.13317
NIC252	0.48576
NIC255	0.3306
NIC256	0.47126
NIC258	0.6015
NIC259	0.28144
NIC260	-0.22671
NIC261	1.01
NIC262	-0.61727
NIC265	1.1101
NIC266	0.63065
NIC267	1.1902
NIC268	0.077274
NIC269	-0.22548
NIC271	1.5453
NIC272	1.0929
NIC274	0.73888
NIC275	0.5725
NIC276	0.74801
NIC277	0.56876
NIC3	0.98488
NIC513	0.55498
NIC514	0.12278
NIC522	1.2903
NIC523	0.30112
PB303	0.33166
PS2025	0.065826
PX179	1.2506
QG2075	1.9099
QG536	0.40702
QG556	1.0848
QG557	-0.18949
QW947	0.22215
QX1212	1.5901
QX1233	0.4144
QX1791	1.1476
QX1792	0.29964
QX1793	1.0684
QX1794	0.33154
RC301	-0.42415
WN2001	0.83427
WN2002	0.86307
WN2033	0.54773
XZ1513	0.93054
XZ1514	-0.3383
XZ1516	-0.29098
