strain	median
AB1	1349.1225
BRC20067	1120.1085
CB4852	378.999
CB4854	1890.4471
CB4856	1239.9802
CB4932	1956.865
CX11254	-1360.1031
CX11262	275.1217
CX11264	1542.1002
CX11271	1326.2183
CX11276	189.585
CX11285	329.8923
CX11292	870.2061
CX11307	1951.5553
CX11314	842.7837
CX11315	1660.8698
DL200	1487.1501
DL226	1668.3947
DL238	195.6923
ECA246	1321.0833
ECA248	657.798
ECA250	1337.3917
ECA251	3108.8007
ECA252	651.9604
ECA259	767.6843
ECA348	1476.2838
ECA349	585.3608
ECA36	1694.1783
ECA363	-283.142
ECA372	2156.2432
ECA396	2609.1525
ED3005	688.0446
ED3011	1130.8058
ED3012	1236.751
ED3017	1126.8264
ED3040	619.613
ED3046	1018.0117
ED3048	1370.5278
ED3049	2300.1486
ED3052	1271.0146
ED3073	-551.5116
ED3077	1542.2939
EG4347	2156.3583
EG4349	1358.2844
EG4724	299.5142
EG4725	799.5833
EG4946	968.9889
GXW1	2731.541
JT11398	2048.8824
JU1088	1362.9602
JU1172	2372.0531
JU1200	-1302.3391
JU1212	1366.5161
JU1213	1156.4713
JU1242	854.9679
JU1246	1647.3434
JU1395	563.9407
JU1400	2508.1125
JU1409	1181.1271
JU1440	1364.5343
JU1491	2271.2399
JU1530	1849.8136
JU1543	228.9739
JU1568	1025.176
JU1580	2601.9866
JU1581	1628.4343
JU1586	485.8649
JU1652	1793.2176
JU1793	1753.901
JU1808	2260.1499
JU1896	1812.0511
JU2001	1592.3511
JU2007	1474.2343
JU2131	1431.6026
JU2141	1430.3015
JU2234	397.2061
JU2464	1494.0706
JU2466	1900.0479
JU2513	2149.7062
JU2519	981.6417
JU2522	-897.3014
JU2526	1822.1214
JU2534	979.4963
JU2565	484.6162
JU2566	-320.0322
JU2578	1400.3828
JU258	378.2361
JU2587	1748.9979
JU2593	2128.9205
JU2600	1230.2405
JU2800	1.9854
JU2862	756.4832
JU2866	2240.1779
JU2878	567.3937
JU2879	2261.5085
JU2906	1199.8983
JU310	108.2092
JU311	403.3328
JU3125	1379.7206
JU3127	1458.0555
JU3134	2375.3619
JU3135	213.3022
JU3137	1843.1459
JU3140	1281.1268
JU323	-144.9036
JU346	1380.3597
JU360	1843.6176
JU367	1722.583
JU393	1451.5876
JU394	1532.3293
JU397	1662.4448
JU406	1485.871
JU440	1281.6411
JU561	2064.0112
JU642	1243.4943
JU751	1747.5156
JU774	384.1094
JU775	2285.4907
JU778	2225.6183
JU782	2405.6268
JU792	2377.574
JU830	1330.9961
JU847	-1295.8391
KR314	659.2936
LKC34	2264.943
LSJ1	1935.3085
MY1	1612.9336
MY10	1907.2476
MY16	1584.6943
MY18	-225.7838
MY2212	2356.6157
MY23	1764.6864
MY2453	2371.8284
MY2530	1285.4451
MY2535	2440.1824
MY2573	1914.8964
MY2693	1518.0673
MY2741	2297.777
MY679	1136.5597
MY920	1505.7474
N2	1086.0883
NIC1	1053.1636
NIC1107	754.1541
NIC166	507.3774
NIC195	1118.2324
NIC199	322.1013
NIC2	1339.0874
NIC207	756.1946
NIC231	605.3623
NIC236	1531.6022
NIC242	367.8445
NIC251	-232.8523
NIC252	290.7253
NIC255	982.9164
NIC256	415.4888
NIC258	1248.8281
NIC259	897.4817
NIC260	-338.3365
NIC261	1588.1511
NIC262	1976.979
NIC265	1878.201
NIC266	1850.3555
NIC267	1215.6326
NIC268	-611.7476
NIC269	1268.3394
NIC271	2559.4895
NIC272	1774.8212
NIC274	-367.1428
NIC275	1268.6314
NIC276	1649.2195
NIC277	1959.6985
NIC3	1869.9988
NIC513	1651.6302
NIC514	83.6816
NIC522	2259.1786
NIC523	442.0085
PB303	848.3943
PS2025	1658.4105
PX179	-847.9214
QG2075	2919.9026
QG536	1214.1045
QG556	1083.2747
QG557	188.8405
QW947	-215.9409
QX1212	2082.789
QX1233	1361.4309
QX1791	1830.5094
QX1792	896.9873
QX1793	1759.3663
QX1794	-375.574
RC301	-326.8069
WN2001	1723.0917
WN2002	1742.1503
WN2033	1003.145
XZ1513	829.5859
XZ1514	-750.8174
XZ1516	132.1666
