strain	median
AB1	313.0509
BRC20067	465.2384
CB4852	802.9231
CB4854	16.6928
CB4856	216.0495
CB4932	761.9647
CX11254	164.4058
CX11262	288.2332
CX11264	160.118
CX11271	566.541
CX11276	374.6141
CX11285	-182.5789
CX11292	493.1134
CX11307	173.6084
CX11314	435.9121
CX11315	427.2018
DL200	119.7621
DL226	757.5067
DL238	-3.7125
ECA246	621.8628
ECA248	571.4453
ECA250	691.1538
ECA251	926.128
ECA252	405.9655
ECA259	431.8947
ECA348	314.8239
ECA349	519.9665
ECA36	153.0133
ECA363	-354.9961
ECA372	703.4123
ECA396	456.7086
ED3005	471.955
ED3011	303.3683
ED3012	488.6418
ED3017	348.0978
ED3040	816.4088
ED3046	610.7009
ED3048	682.6395
ED3049	550.6819
ED3052	562.5856
ED3073	140.6174
ED3077	392.2361
EG4347	502.0227
EG4349	571.2638
EG4724	439.8501
EG4725	389.6127
EG4946	314.1457
GXW1	793.5546
JT11398	697.0821
JU1088	720.2505
JU1172	244.299
JU1200	333.3617
JU1212	265.2293
JU1213	606.9473
JU1242	380.3911
JU1246	452.5675
JU1395	475.5658
JU1400	310.5587
JU1409	438.2835
JU1440	112.3413
JU1491	540.1604
JU1530	561.6668
JU1543	-441.555
JU1568	713.1874
JU1580	465.0063
JU1581	663.428
JU1586	408.2475
JU1652	19.1772
JU1793	265.4679
JU1808	354.9608
JU1896	328.4903
JU2001	248.0041
JU2007	463.3073
JU2131	185.3054
JU2141	312.9961
JU2234	315.9201
JU2464	209.1508
JU2466	531.6553
JU2513	694.7178
JU2519	324.5255
JU2522	-609.2739
JU2526	499.1163
JU2534	248.9594
JU2565	185.6533
JU2566	322.883
JU2578	235.5606
JU258	394.0808
JU2587	651.935
JU2593	430.3202
JU2600	348.9168
JU2800	245.4686
JU2862	157.4194
JU2866	26.1125
JU2878	151.897
JU2879	550.2168
JU2906	244.9184
JU310	49.7683
JU311	448.783
JU3125	403.0677
JU3127	564.4695
JU3134	394.3535
JU3135	24.3428
JU3137	631.0879
JU3140	86.4911
JU323	344.2717
JU346	685.981
JU360	447.1022
JU367	672.8849
JU393	309.1386
JU394	674.7665
JU397	-29.733
JU406	741.4823
JU440	-69.366
JU561	258.1313
JU642	394.6559
JU751	212.0779
JU774	596.6899
JU775	814.2908
JU778	448.9258
JU782	683.8804
JU792	776.0545
JU830	708.8027
JU847	400.0791
KR314	524.9848
LKC34	659.9363
LSJ1	542.5918
MY1	463.5193
MY10	88.5867
MY16	571.1011
MY18	-80.8619
MY2212	418.7361
MY23	322.6464
MY2453	628.7332
MY2530	421.7884
MY2535	506.1243
MY2573	494.5249
MY2693	376.0029
MY2741	570.4353
MY679	-167.3742
MY920	407.8725
N2	613.0677
NIC1	267.3558
NIC1107	40.9673
NIC166	501.9053
NIC195	973.4523
NIC199	284.4339
NIC2	527.4377
NIC207	716.0095
NIC231	18.326
NIC236	619.2042
NIC242	411.4962
NIC251	87.7068
NIC252	300.6078
NIC255	566.3019
NIC256	172.8872
NIC258	216.1697
NIC259	393.9305
NIC260	298.8158
NIC261	770.6338
NIC262	245.2958
NIC265	712.3614
NIC266	367.0905
NIC267	205.6175
NIC268	-80.4734
NIC269	181.0829
NIC271	778.4774
NIC272	273.679
NIC274	216.0613
NIC275	494.5564
NIC276	249.3548
NIC277	368.7451
NIC3	270.9579
NIC513	236.4821
NIC514	206.4108
NIC522	764.8596
NIC523	612.5479
PB303	343.7154
PS2025	9.5067
PX179	150.7769
QG2075	730.2392
QG536	460.5531
QG556	224.937
QG557	-16.1227
QW947	241.6138
QX1212	594.0724
QX1233	148.7077
QX1791	643.7841
QX1792	332.9425
QX1793	201.9248
QX1794	774.965
RC301	-157.67
WN2001	507.8436
WN2002	414.0458
WN2033	314.9474
XZ1513	-203.2453
XZ1514	335.567
XZ1516	-52.6362
