strain	median
AB1	0.0027028
BRC20067	0.0087568
CB4852	0.014718
CB4854	0.0065584
CB4856	0.0056894
CB4932	0.0074607
CX11254	0.0065998
CX11262	0.009416
CX11264	0.0052868
CX11271	0.018431
CX11276	0.0097754
CX11285	0.0036685
CX11292	0.0042696
CX11307	0.0069351
CX11314	0.0063154
CX11315	0.010895
DL200	0.0072182
DL226	0.012334
DL238	0.0066284
ECA246	0.0099532
ECA248	0.0064622
ECA250	0.0069292
ECA251	0.0094001
ECA252	0.010984
ECA259	0.01237
ECA348	0.0056315
ECA349	0.0048515
ECA36	0.010082
ECA363	0.0072004
ECA372	0.015357
ECA396	0.0099323
ED3005	0.0041659
ED3011	0.0068562
ED3012	0.0077903
ED3017	0.013478
ED3040	0.012495
ED3046	0.0051151
ED3048	0.016312
ED3049	0.012269
ED3052	0.011561
ED3073	0.0040494
ED3077	0.0045066
EG4347	0.0052005
EG4349	0.0048742
EG4724	0.0054585
EG4725	0.006606
EG4946	0.0070084
GXW1	0.0066188
JT11398	0.0087698
JU1088	0.013542
JU1172	0.014531
JU1200	0.0068078
JU1212	0.0063321
JU1213	0.011738
JU1242	0.0057258
JU1246	0.0076577
JU1395	0.010113
JU1400	0.0031773
JU1409	0.018054
JU1440	0.0043958
JU1491	0.0087964
JU1530	0.010009
JU1543	0.0037356
JU1568	0.0066575
JU1580	0.0073539
JU1581	0.019556
JU1586	0.0048094
JU1652	0.0046867
JU1793	0.0062643
JU1808	0.004292
JU1896	0.0065131
JU2001	0.0021554
JU2007	0.0049366
JU2131	0.0020264
JU2141	0.0069431
JU2234	0.0084008
JU2464	0.0019771
JU2466	0.0069639
JU2513	0.011736
JU2519	0.0049326
JU2522	0.0019172
JU2526	0.0088602
JU2534	0.010086
JU2565	0.0037311
JU2566	0.0079428
JU2578	0.0024166
JU258	0.013956
JU2587	0.0069482
JU2593	0.010373
JU2600	0.0081052
JU2800	0.0031632
JU2862	0.0036926
JU2866	0.0089031
JU2878	0.0056129
JU2879	0.012941
JU2906	0.0046022
JU310	0.0014721
JU311	0.0159
JU3125	0.0058778
JU3127	0.011166
JU3134	0.0048274
JU3135	0.0030824
JU3137	0.0078628
JU3140	0.0030452
JU323	0.0090627
JU346	0.0087806
JU360	0.011944
JU367	0.0072867
JU393	0.0046682
JU394	0.0072833
JU397	0.016966
JU406	0.010301
JU440	0.011698
JU561	0.010741
JU642	0.011228
JU751	0.0072831
JU774	0.024413
JU775	0.0096413
JU778	0.0078732
JU782	0.0069035
JU792	0.010348
JU830	0.012612
JU847	0.0082077
KR314	0.0037566
LKC34	0.0089317
LSJ1	0.011003
MY1	0.0061469
MY10	0.0014345
MY16	0.010615
MY18	0.00057482
MY2212	0.0096936
MY23	0.019521
MY2453	0.010466
MY2530	0.004946
MY2535	0.0094025
MY2573	0.004266
MY2693	0.0061689
MY2741	0.0083253
MY679	0.0056508
MY920	0.0057756
N2	0.01038
NIC1	0.0061102
NIC1107	0.0029148
NIC166	0.010812
NIC195	0.024755
NIC199	0.01331
NIC2	0.013972
NIC207	0.0085445
NIC231	0.0023776
NIC236	0.013778
NIC242	0.010428
NIC251	0.0013134
NIC252	0.012655
NIC255	0.0044954
NIC256	0.0091163
NIC258	0.0042051
NIC259	0.0067982
NIC260	0.00898
NIC261	0.012652
NIC262	0.005575
NIC265	0.0048641
NIC266	0.010318
NIC267	0.0054914
NIC268	0.009379
NIC269	0.0097138
NIC271	0.012545
NIC272	0.0031275
NIC274	0.0092289
NIC275	0.0108
NIC276	0.0071189
NIC277	0.015605
NIC3	0.0055284
NIC513	0.004772
NIC514	0.0091674
NIC522	0.012153
NIC523	0.015452
PB303	0.0075527
PS2025	0.0028285
PX179	0.0045456
QG2075	0.0078776
QG536	0.0093339
QG556	0.0057574
QG557	0.0093059
QW947	0.013342
QX1212	0.0056284
QX1233	0.006278
QX1791	0.01183
QX1792	0.001914
QX1793	0.0028436
QX1794	0.01458
RC301	0.002687
WN2001	0.0042924
WN2002	0.0077663
WN2033	0.0044073
XZ1513	0.0055055
XZ1514	0.0066803
XZ1516	0.0059402
