strain	median
AB1	1.0982
BRC20067	6.049
CB4852	-1.3414
CB4854	10.7355
CB4856	9.2963
CB4932	16.35
CX11254	6.5775
CX11262	18.7196
CX11264	-2.1912
CX11271	18.9667
CX11276	14.0935
CX11285	7.6234
CX11292	17.0276
CX11307	-1.207
CX11314	14.9636
CX11315	11.0507
DL200	3.2023
DL226	9.1688
DL238	4.2116
ECA246	17.8744
ECA248	4.0437
ECA250	10.1376
ECA251	26.2254
ECA252	15.4663
ECA259	1.0447
ECA348	-3.0102
ECA349	13.13
ECA36	43.2355
ECA363	12.6175
ECA372	6.3894
ECA396	7.8387
ED3005	40.0195
ED3011	13.6535
ED3012	16.7087
ED3017	8.4457
ED3040	21.551
ED3046	9.6986
ED3048	7.5281
ED3049	0.13845
ED3052	24.8759
ED3073	-7.642
ED3077	-3.0663
EG4347	19.9027
EG4349	10.6274
EG4724	0.25109
EG4725	4.4447
EG4946	19.8405
GXW1	12.553
JT11398	14.5839
JU1088	10.9413
JU1172	11.0549
JU1200	-2.7475
JU1212	28.9029
JU1213	19.8412
JU1242	11.0639
JU1246	18.1619
JU1395	8.0678
JU1400	5.2345
JU1409	10.276
JU1440	0.64363
JU1491	-7.1763
JU1530	15.0977
JU1543	-9.1844
JU1568	8.1711
JU1580	9.7883
JU1581	17.9351
JU1586	6.0744
JU1652	14.6452
JU1793	2.8183
JU1808	2.1484
JU1896	11.382
JU2001	18.6072
JU2007	15.6991
JU2131	23.4772
JU2141	1.811
JU2234	1.9301
JU2464	7.5229
JU2466	6.1788
JU2513	20.3346
JU2519	8.2042
JU2522	6.3704
JU2526	32.8612
JU2534	2.1396
JU2565	1.7297
JU2566	13.4679
JU2578	-0.17068
JU258	5.8631
JU2587	10.763
JU2593	6.8971
JU2600	-4.9023
JU2800	5.1546
JU2862	8.4447
JU2866	-0.98036
JU2878	22.9433
JU2879	20.7609
JU2906	-8.295
JU310	0.14645
JU311	11.8394
JU3125	-16.1179
JU3127	-0.31994
JU3134	8.2948
JU3135	10.1215
JU3137	0.088264
JU3140	5.3704
JU323	22.0984
JU346	21.619
JU360	35.8501
JU367	32.0738
JU393	16.0736
JU394	5.1653
JU397	0.6406
JU406	-1.3681
JU440	22.1636
JU561	-5.6092
JU642	-4.1741
JU751	6.3139
JU774	1.0256
JU775	12.5121
JU778	2.3769
JU782	30.4942
JU792	8.4634
JU830	7.4092
JU847	9.1411
KR314	2.9567
LKC34	18.2772
LSJ1	12.4565
MY1	16.8379
MY10	13.6921
MY16	6.6849
MY18	11.7377
MY2212	38.1165
MY23	29.3268
MY2453	7.1242
MY2530	0.19566
MY2535	5.962
MY2573	9.941
MY2693	6.6927
MY2741	6.5678
MY679	10.1597
MY920	2.6451
N2	2.2015
NIC1	3.5488
NIC1107	-3.4923
NIC166	15.4981
NIC195	-8.077
NIC199	2.4442
NIC2	7.426
NIC207	8.7099
NIC231	-9.6442
NIC236	13.7057
NIC242	3.0623
NIC251	1.0375
NIC252	3.7193
NIC255	4.6297
NIC256	13.5807
NIC258	13.985
NIC259	26.8303
NIC260	13.7909
NIC261	22.8457
NIC262	3.6347
NIC265	17.7088
NIC266	23.4965
NIC267	14.8672
NIC268	7.5907
NIC269	-1.9529
NIC271	24.7838
NIC272	12.4433
NIC274	6.3779
NIC275	4.5586
NIC276	11.7524
NIC277	25.681
NIC3	-1.5683
NIC513	25.4829
NIC514	8.285
NIC522	9.4256
NIC523	-0.096199
PB303	-1.3087
PS2025	4.0945
PX179	5.4243
QG2075	26.8103
QG536	8.0847
QG556	1.7379
QG557	3.1046
QW947	9.1977
QX1212	7.4795
QX1233	4.0146
QX1791	24.7394
QX1792	-0.54353
QX1793	17.0911
QX1794	9.0161
RC301	3.0255
WN2001	8.9553
WN2002	11.1831
WN2033	6.6422
XZ1513	1.1885
XZ1514	2.1272
XZ1516	8.2009
