strain	median
AB1	6.244
BRC20067	3.0393
CB4852	0.64822
CB4854	7.0422
CB4856	3.687
CB4932	5.287
CX11254	2.3148
CX11262	4.7273
CX11264	4.175
CX11271	5.8429
CX11276	7.5814
CX11285	2.952
CX11292	8.9775
CX11307	0.6861
CX11314	7.1349
CX11315	5.4469
DL200	2.6834
DL226	1.6003
DL238	3.6771
ECA246	5.9908
ECA248	10.6712
ECA250	9.5098
ECA251	10.9708
ECA252	5.0205
ECA259	1.9844
ECA348	-2.5997
ECA349	8.6522
ECA36	1.3345
ECA363	5.2987
ECA372	2.2244
ECA396	1.35
ED3005	13.4521
ED3011	7.5413
ED3012	4.532
ED3017	4.4426
ED3040	7.8789
ED3046	4.8651
ED3048	2.2849
ED3049	8.4349
ED3052	3.3165
ED3073	3.3686
ED3077	0.60983
EG4347	3.5915
EG4349	7.7773
EG4724	6.4531
EG4725	0.7881
EG4946	8.698
GXW1	6.7546
JT11398	2.1429
JU1088	3.6291
JU1172	2.6093
JU1200	4.458
JU1212	8.3944
JU1213	6.7626
JU1242	7.3106
JU1246	4.5944
JU1395	4.9705
JU1400	0.3899
JU1409	3.0815
JU1440	1.2905
JU1491	2.3426
JU1530	7.8284
JU1543	-6.8298
JU1568	3.5588
JU1580	4.3214
JU1581	2.7732
JU1586	6.9535
JU1652	6.375
JU1793	-2.6948
JU1808	0.63645
JU1896	1.304
JU2001	9.5687
JU2007	7.7463
JU2131	7.2188
JU2141	4.1156
JU2234	1.7893
JU2464	8.4807
JU2466	9.6091
JU2513	2.3592
JU2519	7.3277
JU2522	-0.28065
JU2526	2.2915
JU2534	0.39433
JU2565	1.8063
JU2566	3.2188
JU2578	6.9361
JU258	-0.39993
JU2587	12.3984
JU2593	5.6038
JU2600	0.18254
JU2800	3.7746
JU2862	-0.75533
JU2866	0.52387
JU2878	5.6051
JU2879	-2.058
JU2906	0.74297
JU310	4.46
JU311	0.93952
JU3125	-4.3106
JU3127	3.3224
JU3134	7.4474
JU3135	0.58357
JU3137	0.89857
JU3140	-0.86092
JU323	8.0708
JU346	17.7851
JU360	2.9505
JU367	12.0945
JU393	9.0794
JU394	2.8401
JU397	-2.5605
JU406	-2.2694
JU440	4.4293
JU561	5.5151
JU642	3.4982
JU751	-0.22752
JU774	4.0478
JU775	4.2725
JU778	2.1815
JU782	9.4522
JU792	-0.98146
JU830	1.0741
JU847	2.819
KR314	7.3549
LKC34	9.7266
LSJ1	2.4809
MY1	7.8305
MY10	3.6102
MY16	5.5869
MY18	-2.7728
MY2212	7.281
MY23	3.517
MY2453	-0.31361
MY2530	5.5798
MY2535	5.332
MY2573	1.7446
MY2693	2.7903
MY2741	7.6086
MY679	4.5865
MY920	5.2791
N2	1.7662
NIC1	3.449
NIC1107	1.8913
NIC166	9.7788
NIC195	-4.0605
NIC199	2.711
NIC2	1.8484
NIC207	1.0346
NIC231	1.4343
NIC236	2.3763
NIC242	5.7932
NIC251	1.4535
NIC252	2.1045
NIC255	2.2303
NIC256	5.5556
NIC258	4.2854
NIC259	2.0553
NIC260	2.4586
NIC261	9.0313
NIC262	2.4965
NIC265	5.9477
NIC266	3.9462
NIC267	7.7433
NIC268	0.11274
NIC269	-1.1953
NIC271	6.5458
NIC272	11.3526
NIC274	8.753
NIC275	5.0443
NIC276	6.3698
NIC277	7.4074
NIC3	1.172
NIC513	9.7168
NIC514	5.313
NIC522	7.2513
NIC523	0.10309
PB303	1.1882
PS2025	7.1267
PX179	4.9631
QG2075	5.8088
QG536	5.118
QG556	0.31891
QG557	2.5599
QW947	3.2957
QX1212	2.199
QX1233	3.0783
QX1791	5.2239
QX1792	4.7284
QX1793	7.5612
QX1794	5.2803
RC301	3.0405
WN2001	0.83481
WN2002	8.1169
WN2033	4.701
XZ1513	1.5026
XZ1514	-0.21814
XZ1516	-2.051
