strain	median
AB1	19.8179
BRC20067	17.0838
CB4852	21.0492
CB4854	20.2149
CB4856	13.4382
CB4932	18.642
CX11254	20.9674
CX11262	4.8016
CX11264	4.973
CX11271	18.4145
CX11276	19.8952
CX11285	9.5604
CX11292	23.5232
CX11307	18.3797
CX11314	24.3579
CX11315	23.1359
DL200	-2.299
DL226	4.7343
DL238	9.6159
ECA246	22.5755
ECA248	29.428
ECA250	19.0865
ECA251	36.542
ECA252	14.0326
ECA259	2.6655
ECA348	11.3006
ECA349	27.0975
ECA36	4.7135
ECA363	11.2961
ECA372	16.9093
ECA396	2.619
ED3005	30.7175
ED3011	16.567
ED3012	19.3161
ED3017	8.8467
ED3040	17.4086
ED3046	26.9778
ED3048	21.6051
ED3049	22.9888
ED3052	29.5688
ED3073	14.803
ED3077	10.9778
EG4347	24.199
EG4349	28.987
EG4724	11.4102
EG4725	18.7982
EG4946	23.0152
GXW1	28.1998
JT11398	16.6059
JU1088	18.4754
JU1172	14.1717
JU1200	13.834
JU1212	24.3003
JU1213	26.5564
JU1242	24.7901
JU1246	19.4162
JU1395	18.8576
JU1400	15.2229
JU1409	18.8442
JU1440	13.0298
JU1491	30.7469
JU1530	33.2387
JU1543	-8.059
JU1568	15.9406
JU1580	20.8725
JU1581	9.1509
JU1586	23.2678
JU1652	18.0592
JU1793	7.4202
JU1808	0.74576
JU1896	18.9894
JU2001	23.9279
JU2007	19.8878
JU2131	25.03
JU2141	24.7399
JU2234	12.512
JU2464	23.3002
JU2466	25.696
JU2513	21.4776
JU2519	16.7305
JU2522	9.7558
JU2526	11.9435
JU2534	7.9043
JU2565	8.5487
JU2566	16.2368
JU2578	20.4893
JU258	6.3526
JU2587	38.6396
JU2593	17.6902
JU2600	0.44351
JU2800	18.3252
JU2862	4.4915
JU2866	5.4925
JU2878	13.844
JU2879	-2.2366
JU2906	-0.87115
JU310	13.7805
JU311	8.1661
JU3125	0.3025
JU3127	20.3747
JU3134	26.8538
JU3135	9.183
JU3137	4.9557
JU3140	0.35319
JU323	28.4054
JU346	35.5356
JU360	19.5669
JU367	28.0294
JU393	24.6349
JU394	28.2278
JU397	11.7735
JU406	19.8934
JU440	9.9364
JU561	19.9871
JU642	15.7346
JU751	4.6654
JU774	18.5804
JU775	24.6181
JU778	12.9719
JU782	22.7641
JU792	17.8957
JU830	19.7533
JU847	8.8614
KR314	29.6013
LKC34	25.3598
LSJ1	16.8335
MY1	39.6342
MY10	22.3353
MY16	17.7842
MY18	-8.5025
MY2212	31.7437
MY23	14.7986
MY2453	12.5733
MY2530	18.3884
MY2535	17.2618
MY2573	16.4819
MY2693	10.3804
MY2741	15.6371
MY679	19.0905
MY920	19.7183
N2	8.7334
NIC1	15.1421
NIC1107	5.3628
NIC166	21.8444
NIC195	-2.8147
NIC199	10.6885
NIC2	10.891
NIC207	12.1687
NIC231	13.5504
NIC236	10.355
NIC242	21.8359
NIC251	4.655
NIC252	7.9787
NIC255	16.9418
NIC256	20.1519
NIC258	12.6873
NIC259	11.1177
NIC260	9.6558
NIC261	32.2086
NIC262	0.55919
NIC265	29.7012
NIC266	25.9816
NIC267	19.6879
NIC268	4.4178
NIC269	0.52671
NIC271	38.6617
NIC272	24.9805
NIC274	16.1245
NIC275	23.2228
NIC276	22.6565
NIC277	14.1415
NIC3	11.3333
NIC513	19.0631
NIC514	13.3681
NIC522	29.624
NIC523	17.659
PB303	11.5817
PS2025	17.3401
PX179	16.5191
QG2075	22.6839
QG536	10.1228
QG556	20.7626
QG557	4.115
QW947	15.9145
QX1212	21.1157
QX1233	12.1603
QX1791	20.8064
QX1792	9.834
QX1793	32.5914
QX1794	20.5549
RC301	9.522
WN2001	17.1255
WN2002	20.9714
WN2033	6.9703
XZ1513	-0.58296
XZ1514	2.1469
XZ1516	1.1029
