strain	median
AB1	0.00058053
BRC20067	-0.012868
CB4852	-0.0035054
CB4854	-0.0060829
CB4856	-0.013369
CB4932	-0.012893
CX11254	-0.0087351
CX11262	-0.014893
CX11264	-0.0067479
CX11271	-0.028383
CX11276	-0.018295
CX11285	-0.021586
CX11292	-0.0078393
CX11307	-0.01891
CX11314	-0.014065
CX11315	-0.011278
DL200	-0.021602
DL226	-0.014275
DL238	-0.013889
ECA246	0.0020717
ECA248	0.00010015
ECA250	-0.013709
ECA251	-0.020747
ECA252	-0.018495
ECA259	-0.020528
ECA348	-0.0086834
ECA349	-0.0052714
ECA36	-0.020301
ECA363	-0.023435
ECA372	-0.0059196
ECA396	-0.028433
ED3005	-0.008158
ED3011	-0.009298
ED3012	-0.015139
ED3017	-0.0095626
ED3040	-0.0084327
ED3046	-0.0094908
ED3048	-0.024431
ED3049	-0.0046674
ED3052	-0.014192
ED3073	-0.0084151
ED3077	-0.025164
EG4347	-0.01287
EG4349	-0.0083871
EG4724	-0.016693
EG4725	-0.015057
EG4946	-0.014975
GXW1	-0.022577
JT11398	-0.008064
JU1088	0.00021403
JU1172	-0.020721
JU1200	-0.0022608
JU1212	-0.025425
JU1213	-0.009266
JU1242	-0.019826
JU1246	-0.0049896
JU1395	-0.0061718
JU1400	-0.015639
JU1409	-0.012522
JU1440	-0.0094769
JU1491	-0.018055
JU1530	-0.006016
JU1543	-0.0087491
JU1568	0.0046502
JU1580	-0.010608
JU1581	-0.019686
JU1586	-0.020127
JU1652	-0.012497
JU1793	-0.01088
JU1808	0.007306
JU1896	-0.0074469
JU2001	-0.029059
JU2007	-0.018109
JU2131	-0.011792
JU2141	-0.012515
JU2234	0.010977
JU2464	-0.018875
JU2466	-0.026707
JU2513	-0.011368
JU2519	-0.014105
JU2522	-0.011753
JU2526	-0.020464
JU2534	-0.026309
JU2565	0.0011844
JU2566	-0.0023057
JU2578	-0.0010723
JU258	-0.017491
JU2587	-0.025148
JU2593	-0.0097952
JU2600	-0.016025
JU2800	-0.015154
JU2862	-0.021963
JU2866	-0.0106
JU2878	-0.020966
JU2879	-0.026308
JU2906	-0.010362
JU310	-0.010203
JU311	-0.011027
JU3125	-0.012707
JU3127	-0.0053244
JU3134	-0.020796
JU3135	-0.0052122
JU3137	-0.018372
JU3140	-0.00030813
JU323	-0.013763
JU346	-0.016794
JU360	-0.012617
JU367	-0.012941
JU393	-0.017694
JU394	-0.019397
JU397	-0.007774
JU406	-0.0057994
JU440	0.0023708
JU561	-0.011084
JU642	-0.026194
JU751	-0.018298
JU774	-0.016957
JU775	-0.017257
JU778	-0.024255
JU782	-0.006271
JU792	-0.021251
JU830	-0.0066367
JU847	-0.015063
KR314	-0.0078065
LKC34	-0.0068449
LSJ1	-0.021735
MY1	-0.010017
MY10	-0.01131
MY16	-0.017555
MY18	-0.015096
MY2212	-0.013872
MY23	-0.017288
MY2453	-0.0047437
MY2530	-0.0068622
MY2535	-0.0076174
MY2573	-0.0068179
MY2693	-0.01948
MY2741	-0.012332
MY679	-0.0011108
MY920	-0.0016636
N2	-0.00859
NIC1	-0.018387
NIC1107	-0.00754
NIC166	-0.0055487
NIC195	-0.026089
NIC199	-0.015385
NIC2	-0.0094528
NIC207	-0.0089673
NIC231	-0.02217
NIC236	-0.014272
NIC242	-0.017062
NIC251	0.00078517
NIC252	-0.015035
NIC255	-0.025039
NIC256	-0.017909
NIC258	-0.014461
NIC259	-0.0082261
NIC260	-0.0022383
NIC261	-0.013353
NIC262	-0.0024293
NIC265	-0.014515
NIC266	-0.011472
NIC267	-0.013189
NIC268	-0.017429
NIC269	-0.021874
NIC271	-0.014024
NIC272	-0.016534
NIC274	-0.011294
NIC275	-0.0072123
NIC276	-0.010789
NIC277	-0.021883
NIC3	-0.020441
NIC513	-0.026262
NIC514	-0.0069458
NIC522	-0.0026128
NIC523	-0.0103
PB303	-0.018619
PS2025	-0.015735
PX179	-0.015113
QG2075	-0.016668
QG536	-0.016069
QG556	-0.028149
QG557	-0.028418
QW947	-0.010488
QX1212	-0.010863
QX1233	-0.025903
QX1791	-0.026628
QX1792	-0.015572
QX1793	0.0016777
QX1794	-0.014536
RC301	-0.018521
WN2001	-0.013487
WN2002	-0.011022
WN2033	-0.016615
XZ1513	-0.0038584
XZ1514	-0.00020698
XZ1516	-0.014041
