strain	median
AB1	1.5827
BRC20067	3.181
CB4852	7.4593
CB4854	3.51
CB4856	3.6564
CB4932	4.3659
CX11254	6.219
CX11262	-0.07344
CX11264	0.75724
CX11271	3.09
CX11276	0.15527
CX11285	0.71955
CX11292	2.962
CX11307	2.9318
CX11314	5.7191
CX11315	4.0622
DL200	1.5439
DL226	3.9193
DL238	5.7079
ECA246	3.7208
ECA248	0.5324
ECA250	4.5603
ECA251	3.6537
ECA252	0.76637
ECA259	2.7792
ECA348	7.8715
ECA349	5.9149
ECA36	3.2522
ECA363	0.30646
ECA372	3.0836
ECA396	-0.3439
ED3005	4.5924
ED3011	6.6868
ED3012	2.9782
ED3017	3.1048
ED3040	4.1813
ED3046	4.2891
ED3048	3.5294
ED3049	3.1525
ED3052	2.8564
ED3073	4.3103
ED3077	0.086665
EG4347	6.1845
EG4349	5.7436
EG4724	2.1425
EG4725	2.9671
EG4946	7.6847
GXW1	8.8473
JT11398	5.6807
JU1088	2.8047
JU1172	3.305
JU1200	3.3425
JU1212	6.9241
JU1213	3.9426
JU1242	2.959
JU1246	2.1359
JU1395	2.5766
JU1400	1.1268
JU1409	5.4124
JU1440	2.8173
JU1491	4.4537
JU1530	3.0962
JU1543	-2.7656
JU1568	3.0186
JU1580	-0.027999
JU1581	4.1562
JU1586	2.4347
JU1652	3.8637
JU1793	0.62279
JU1808	-0.55143
JU1896	4.4292
JU2001	4.4462
JU2007	4.2238
JU2131	5.8247
JU2141	3.1896
JU2234	1.898
JU2464	1.1227
JU2466	6.0001
JU2513	2.0674
JU2519	4.065
JU2522	3.2071
JU2526	10.7247
JU2534	4.2581
JU2565	0.47317
JU2566	4.2888
JU2578	-1.3017
JU258	4.2281
JU2587	7.2669
JU2593	5.89
JU2600	2.7566
JU2800	7.237
JU2862	1.7714
JU2866	3.3055
JU2878	3.1345
JU2879	6.9464
JU2906	3.5685
JU310	3.8867
JU311	6.4451
JU3125	5.1105
JU3127	5.5529
JU3134	4.5543
JU3135	5.6147
JU3137	2.977
JU3140	9.998
JU323	4.3006
JU346	3.2863
JU360	5.0566
JU367	6.5899
JU393	0.92275
JU394	1.7434
JU397	2.0062
JU406	2.712
JU440	5.2954
JU561	5.9609
JU642	6.3575
JU751	-6.3358
JU774	2.9267
JU775	4.1085
JU778	2.9581
JU782	3.2331
JU792	7.4494
JU830	5.4091
JU847	2.9277
KR314	5.4476
LKC34	3.3104
LSJ1	2.758
MY1	6.5472
MY10	1.0943
MY16	2.9024
MY18	4.3626
MY2212	4.397
MY23	4.6542
MY2453	2.201
MY2530	1.3508
MY2535	1.7847
MY2573	7.6022
MY2693	5.5271
MY2741	5.4722
MY679	3.5551
MY920	1.2774
N2	1.7637
NIC1	4.0338
NIC1107	1.9431
NIC166	5.9339
NIC195	4.4459
NIC199	2.5096
NIC2	3.1604
NIC207	4.6049
NIC231	1.8018
NIC236	3.5443
NIC242	4.622
NIC251	-0.35615
NIC252	4.0369
NIC255	1.7024
NIC256	4.0296
NIC258	-1.3635
NIC259	2.8649
NIC260	3.9178
NIC261	3.4134
NIC262	-1.2745
NIC265	4.5575
NIC266	4.7969
NIC267	1.5025
NIC268	4.9194
NIC269	1.337
NIC271	4.5892
NIC272	-0.38542
NIC274	6.7762
NIC275	3.7678
NIC276	6.2249
NIC277	4.2382
NIC3	3.3085
NIC513	3.9584
NIC514	3.7739
NIC522	2.4436
NIC523	2.0493
PB303	5.0071
PS2025	3.2204
PX179	4.8413
QG2075	-0.41787
QG536	-2.8494
QG556	2.8926
QG557	7.2679
QW947	1.9954
QX1212	4.0753
QX1233	3.0726
QX1791	1.5664
QX1792	3.3194
QX1793	3.6488
QX1794	5.658
RC301	1.477
WN2001	4.4269
WN2002	4.4518
WN2033	4.2881
XZ1513	8.0732
XZ1514	-0.45344
XZ1516	0.11304
