strain	median
AB1	0.0014703
BRC20067	0.0018556
CB4852	0.00095686
CB4854	0.00041369
CB4856	0.0015208
CB4932	0.0012663
CX11254	0.0032889
CX11262	0.0021683
CX11264	0.000954
CX11271	0.0031823
CX11276	0.00069413
CX11285	0.0014668
CX11292	0.0024846
CX11307	-0.00042254
CX11314	0.0018103
CX11315	0.0025969
DL200	0.00075568
DL226	0.00069053
DL238	0.0016141
ECA246	0.0014244
ECA248	0.0034843
ECA250	0.0015122
ECA251	0.0012868
ECA252	0.00047518
ECA259	0.00056708
ECA348	0.001389
ECA349	0.0005336
ECA36	0.0023579
ECA363	0.0010372
ECA372	0.0007866
ECA396	-0.00099973
ED3005	0.00068154
ED3011	0.00036056
ED3012	0.0025657
ED3017	0.0013704
ED3040	0.0032529
ED3046	0.0030062
ED3048	0.0017711
ED3049	0.0019539
ED3052	0.00069197
ED3073	0.0015145
ED3077	0.00018748
EG4347	0.0024611
EG4349	0.0019746
EG4724	-5.9139e-05
EG4725	0.0010078
EG4946	0.0035017
GXW1	0.00089575
JT11398	0.0024491
JU1088	0.0022069
JU1172	0.0029275
JU1200	0.00068755
JU1212	0.0026878
JU1213	0.0014525
JU1242	0.002502
JU1246	0.0022287
JU1395	0.0025734
JU1400	0.0012528
JU1409	0.0019792
JU1440	0.0015186
JU1491	0.00195
JU1530	0.0026672
JU1543	-0.00071181
JU1568	0.0036024
JU1580	0.0025164
JU1581	0.0019237
JU1586	0.0014978
JU1652	0.0023301
JU1793	0.0010089
JU1808	-0.00109
JU1896	0.0033166
JU2001	0.00065808
JU2007	0.0020506
JU2131	0.0024994
JU2141	0.0016627
JU2234	0.0017134
JU2464	3.8184e-06
JU2466	0.0027006
JU2513	0.0033906
JU2519	0.00032708
JU2522	0.00080606
JU2526	0.0029386
JU2534	0.0015305
JU2565	-0.00019446
JU2566	-0.00021987
JU2578	0.0014856
JU258	0.0012549
JU2587	0.0031434
JU2593	0.0019312
JU2600	5.8394e-05
JU2800	0.0013992
JU2862	0.0025724
JU2866	0.00119
JU2878	0.0020573
JU2879	0.0026088
JU2906	0.0037619
JU310	0.0010109
JU311	0.0027007
JU3125	0.0012276
JU3127	0.0010022
JU3134	0.0017354
JU3135	0.0020754
JU3137	0.0025207
JU3140	0.0024442
JU323	0.0032495
JU346	0.0031483
JU360	0.0013222
JU367	0.0030115
JU393	0.0022222
JU394	0.0029214
JU397	0.0011853
JU406	0.001993
JU440	0.0026413
JU561	0.00084797
JU642	0.0019745
JU751	0.0011818
JU774	0.0029256
JU775	0.0031048
JU778	0.0005531
JU782	0.0012897
JU792	0.0023469
JU830	0.0006902
JU847	-0.00026759
KR314	0.0031758
LKC34	0.002306
LSJ1	0.0022237
MY1	0.0027188
MY10	0.0019453
MY16	0.0023497
MY18	0.00084671
MY2212	0.0033306
MY23	0.0030943
MY2453	0.0021523
MY2530	0.0030298
MY2535	0.0016555
MY2573	0.0025096
MY2693	0.0013067
MY2741	0.00051227
MY679	5.7183e-05
MY920	-0.00013537
N2	0.00043237
NIC1	0.00041866
NIC1107	0.0021953
NIC166	0.0025389
NIC195	0.0011869
NIC199	0.0012368
NIC2	0.0020487
NIC207	0.0020309
NIC231	0.00011753
NIC236	0.0029669
NIC242	0.0022425
NIC251	0.00034449
NIC252	0.00061634
NIC255	0.0016142
NIC256	0.0020518
NIC258	0.0017989
NIC259	0.002549
NIC260	0.0026558
NIC261	0.0034931
NIC262	-0.00033379
NIC265	0.0021463
NIC266	0.0024272
NIC267	0.0034106
NIC268	0.0013701
NIC269	0.00097693
NIC271	0.002977
NIC272	0.0025345
NIC274	0.0012658
NIC275	0.0018346
NIC276	0.0035076
NIC277	0.0027769
NIC3	0.0014577
NIC513	0.001935
NIC514	0.00163
NIC522	0.0024931
NIC523	0.0023999
PB303	0.00071926
PS2025	0.0042018
PX179	0.0024947
QG2075	0.0016529
QG536	0.00014743
QG556	0.0027539
QG557	0.001805
QW947	0.00055917
QX1212	0.0020078
QX1233	0.0026686
QX1791	0.0013378
QX1792	3.2783e-05
QX1793	0.0032233
QX1794	0.0037735
RC301	0.00032852
WN2001	0.0026993
WN2002	0.0017144
WN2033	0.00022955
XZ1513	0.0019695
XZ1514	0.00092803
XZ1516	0.0004129
