strain	median
AB1	0.00058142
BRC20067	3.6368e-05
CB4852	0.00046426
CB4854	0.000217
CB4856	0.00042412
CB4932	0.00028741
CX11254	0.00060601
CX11262	1.1735e-05
CX11264	0.0001248
CX11271	0.00045635
CX11276	0.00018356
CX11285	0.00033579
CX11292	0.00052135
CX11307	0.00039358
CX11314	0.00055935
CX11315	0.00035763
DL200	0.0001573
DL226	0.00028294
DL238	0.00063526
ECA246	0.0005309
ECA248	0.00050515
ECA250	0.00034049
ECA251	0.00030594
ECA252	-5.1036e-05
ECA259	0.00029448
ECA348	0.00070008
ECA349	0.00039618
ECA36	0.00041146
ECA363	5.8115e-05
ECA372	0.00043092
ECA396	-0.00021681
ED3005	0.00047749
ED3011	0.00056941
ED3012	0.00037383
ED3017	0.00049882
ED3040	0.00032932
ED3046	0.00065574
ED3048	0.0002929
ED3049	0.00044648
ED3052	0.00040084
ED3073	0.00039805
ED3077	0.00010049
EG4347	0.00046305
EG4349	0.00047609
EG4724	0.00036126
EG4725	0.00034766
EG4946	0.00040643
GXW1	0.00056494
JT11398	0.00060555
JU1088	0.00032596
JU1172	0.00037421
JU1200	0.00033453
JU1212	0.0005912
JU1213	0.00020098
JU1242	0.00057351
JU1246	0.00029365
JU1395	0.00039991
JU1400	-2.8685e-05
JU1409	0.00036638
JU1440	0.00029923
JU1491	0.00048438
JU1530	0.00050496
JU1543	0.00022585
JU1568	0.00032028
JU1580	0.00038836
JU1581	0.00045104
JU1586	0.00039507
JU1652	0.00052177
JU1793	0.00022957
JU1808	0.00012591
JU1896	0.00051791
JU2001	0.00045914
JU2007	0.00048969
JU2131	0.00079405
JU2141	0.00032708
JU2234	0.00042384
JU2464	0.00028284
JU2466	0.00045188
JU2513	0.00069011
JU2519	0.00029942
JU2522	0.00062194
JU2526	0.00091624
JU2534	0.00030762
JU2565	0.00012303
JU2566	0.0001845
JU2578	0.00023339
JU258	0.00025034
JU2587	0.00076145
JU2593	0.00042543
JU2600	0.00041798
JU2800	0.00063591
JU2862	0.00075344
JU2866	-0.00013458
JU2878	0.00052825
JU2879	0.00061598
JU2906	0.00084229
JU310	0.00041928
JU311	0.00038622
JU3125	0.00029374
JU3127	0.0012172
JU3134	0.00065826
JU3135	0.00028685
JU3137	0.00051595
JU3140	0.00033993
JU323	0.00070482
JU346	0.00043642
JU360	0.00031721
JU367	0.00044806
JU393	0.0002224
JU394	0.00042766
JU397	0.00014892
JU406	0.00054277
JU440	0.00028722
JU561	0.00040103
JU642	0.00058282
JU751	0.00025593
JU774	0.00010375
JU775	0.00055772
JU778	0.0001559
JU782	0.0002021
JU792	0.00035958
JU830	0.00024289
JU847	0.00017695
KR314	0.00055982
LKC34	0.00026226
LSJ1	0.00021141
MY1	0.00059204
MY10	0.00054091
MY16	0.00032373
MY18	0.00016904
MY2212	0.00063777
MY23	0.00064517
MY2453	1.3225e-05
MY2530	0.00042375
MY2535	0.00028331
MY2573	0.00052974
MY2693	0.00046268
MY2741	0.00037011
MY679	0.00026915
MY920	-1.0151e-05
N2	0.00022501
NIC1	0.00011045
NIC1107	0.0001004
NIC166	0.00039423
NIC195	0.00048364
NIC199	0.00026189
NIC2	0.0003201
NIC207	0.00039106
NIC231	0.00017472
NIC236	0.00046901
NIC242	0.00040065
NIC251	0.00013513
NIC252	0.00043749
NIC255	0.00024959
NIC256	0.00029784
NIC258	0.00015516
NIC259	0.00024997
NIC260	0.00028256
NIC261	0.00021961
NIC262	-0.00010785
NIC265	0.00055982
NIC266	0.00057425
NIC267	0.00034682
NIC268	0.00052601
NIC269	0.00022417
NIC271	0.0005695
NIC272	0.00046268
NIC274	7.9069e-05
NIC275	0.000556
NIC276	0.00074888
NIC277	0.00057197
NIC3	9.4995e-06
NIC513	0.00046818
NIC514	0.00051241
NIC522	0.0003289
NIC523	0.00043511
PB303	0.00018217
PS2025	0.00058804
PX179	0.00084508
QG2075	7.4832e-05
QG536	5.0291e-05
QG556	0.00065053
QG557	0.00051903
QW947	0.00029323
QX1212	0.0003852
QX1233	0.00048019
QX1791	9.0897e-05
QX1792	7.4506e-05
QX1793	0.00087768
QX1794	0.00076573
RC301	0.00026561
WN2001	0.00043474
WN2002	0.00042515
WN2033	0.00043809
XZ1513	0.00069365
XZ1514	-0.00018738
XZ1516	0.00010375
