strain	median
AB1	-9.0936e-05
BRC20067	-0.00041384
CB4852	-1.6296e-05
CB4854	-0.00028741
CB4856	-0.0004202
CB4932	-0.0003204
CX11254	-6.2095e-05
CX11262	-0.00044876
CX11264	-0.00051511
CX11271	-9.5185e-05
CX11276	-0.00054138
CX11285	-0.00047398
CX11292	-0.00036417
CX11307	-0.00024746
CX11314	-0.00021528
CX11315	-8.8443e-05
DL200	-0.0004992
DL226	-0.00044209
DL238	-0.00014702
ECA246	-0.00035434
ECA248	-0.00025631
ECA250	-0.00030957
ECA251	-0.00035309
ECA252	-5.271e-05
ECA259	-0.00051999
ECA348	-0.00023889
ECA349	3.4909e-05
ECA36	-0.00083745
ECA363	-0.00084814
ECA372	-4.2607e-05
ECA396	-0.0012713
ED3005	-0.00021226
ED3011	-0.00027677
ED3012	-0.00038175
ED3017	-0.00020872
ED3040	-0.00022176
ED3046	-1.7404e-07
ED3048	-0.00039753
ED3049	-0.00019656
ED3052	-0.00050793
ED3073	-6.2771e-05
ED3077	-0.00076503
EG4347	-0.00031275
EG4349	-0.00011363
EG4724	-0.00018456
EG4725	-0.00030356
EG4946	-0.00015284
GXW1	-0.00045414
JT11398	-0.00011714
JU1088	-0.00036062
JU1172	-0.00046881
JU1200	-6.4497e-05
JU1212	-0.0003516
JU1213	-0.00046245
JU1242	-0.00023803
JU1246	-0.00028801
JU1395	-0.00017698
JU1400	-0.00052574
JU1409	-0.00034909
JU1440	-0.00030652
JU1491	-0.00012784
JU1530	-0.0002025
JU1543	-0.00034247
JU1568	-2.8249e-05
JU1580	-6.3949e-05
JU1581	-0.00043991
JU1586	-0.0002944
JU1652	-0.00027254
JU1793	-0.00058454
JU1808	-0.00042519
JU1896	-0.00018089
JU2001	-0.00046194
JU2007	-0.00023231
JU2131	2.5611e-05
JU2141	-0.0001858
JU2234	-0.00032195
JU2464	-3.4882e-05
JU2466	-0.00037147
JU2513	-0.00027842
JU2519	-0.00050247
JU2522	-2.4112e-05
JU2526	-0.00028502
JU2534	-0.00041127
JU2565	-0.00032243
JU2566	-0.00045684
JU2578	-0.00030933
JU258	-0.000623
JU2587	-3.6621e-05
JU2593	-7.6932e-05
JU2600	-0.00035097
JU2800	-0.00019877
JU2862	-0.00043571
JU2866	-0.00035722
JU2878	-0.00033539
JU2879	-0.00058911
JU2906	-3.9157e-05
JU310	4.3626e-05
JU311	-0.00035179
JU3125	-0.00031886
JU3127	0.00014191
JU3134	0.00014883
JU3135	-0.00019853
JU3137	-0.0003778
JU3140	-0.00022144
JU323	-0.00020674
JU346	-7.2531e-05
JU360	-0.00048707
JU367	-0.00024292
JU393	-0.00054308
JU394	-0.00023005
JU397	-0.00073669
JU406	-0.00015516
JU440	-0.00054975
JU561	-0.00028447
JU642	-0.00040741
JU751	-0.00069518
JU774	-0.0006883
JU775	-0.00036875
JU778	-0.0005366
JU782	-0.00047467
JU792	-0.00030452
JU830	-0.00021927
JU847	-0.00032558
KR314	-5.5703e-05
LKC34	-0.00030663
LSJ1	-0.00021196
MY1	-0.00010504
MY10	-0.00011569
MY16	-0.00033091
MY18	-0.00016036
MY2212	-5.8674e-05
MY23	-0.0004957
MY2453	-0.0002908
MY2530	-8.1613e-05
MY2535	-0.00019764
MY2573	-0.00022443
MY2693	-0.00024376
MY2741	-0.00016986
MY679	-0.00035086
MY920	-0.00015702
N2	-0.00017078
NIC1	-0.00054705
NIC1107	-0.00048277
NIC166	-0.00029627
NIC195	-0.00053038
NIC199	-0.00056718
NIC2	-0.00022502
NIC207	-0.00017161
NIC231	-0.000363
NIC236	-0.00024934
NIC242	-0.00026587
NIC251	-0.00036151
NIC252	-0.00016904
NIC255	-0.00041478
NIC256	-0.00046202
NIC258	-0.00018495
NIC259	-0.00062386
NIC260	0.00030737
NIC261	-0.00037099
NIC262	-0.00021863
NIC265	-0.0003097
NIC266	-0.00022718
NIC267	-0.00035634
NIC268	-0.00045706
NIC269	-0.00059164
NIC271	-0.00021931
NIC272	-0.00043254
NIC274	-0.00023623
NIC275	-0.00022261
NIC276	-2.7772e-05
NIC277	-0.00042289
NIC3	-0.00039154
NIC513	-0.00045327
NIC514	-0.00025506
NIC522	-0.00026057
NIC523	-0.00018671
PB303	-0.00029464
PS2025	-0.00031916
PX179	-0.00026325
QG2075	-0.00030333
QG536	-0.00061194
QG556	-0.00012058
QG557	-0.00042477
QW947	-0.00040897
QX1212	-6.2252e-05
QX1233	-0.00011616
QX1791	-0.00033363
QX1792	-0.00027821
QX1793	2.0348e-05
QX1794	-0.00013991
RC301	-0.00039242
WN2001	-0.00043172
WN2002	-0.00034827
WN2033	-0.00017022
XZ1513	-0.00049468
XZ1514	-0.00057885
XZ1516	-0.0002214
