strain	median
AB1	-3.6943e-05
BRC20067	-0.00015884
CB4852	3.5602e-05
CB4854	-0.00010837
CB4856	-0.000221
CB4932	-0.00011476
CX11254	-8.7644e-05
CX11262	-0.00021055
CX11264	-0.00017103
CX11271	-0.00013091
CX11276	-5.7354e-05
CX11285	-0.0003014
CX11292	-0.00018357
CX11307	-6.3369e-05
CX11314	-0.00016176
CX11315	-1.6177e-06
DL200	-0.00025035
DL226	-0.00012882
DL238	-3.3016e-05
ECA246	-0.00024299
ECA248	-1.3356e-05
ECA250	-0.00026911
ECA251	-0.00025213
ECA252	-5.9626e-05
ECA259	-0.00022748
ECA348	-0.00014196
ECA349	-3.9493e-05
ECA36	-0.00057376
ECA363	-0.0004032
ECA372	6.511e-05
ECA396	-0.0005553
ED3005	-8.8997e-05
ED3011	-0.00010064
ED3012	-0.00014805
ED3017	-5.3057e-05
ED3040	-0.00011864
ED3046	-3.8425e-05
ED3048	-0.00016261
ED3049	-8.2497e-05
ED3052	-0.00019657
ED3073	-0.00010381
ED3077	-0.00034537
EG4347	-0.00011852
EG4349	-2.9481e-05
EG4724	-5.5529e-05
EG4725	-6.4901e-05
EG4946	-8.7306e-05
GXW1	-0.00025766
JT11398	-7.3526e-05
JU1088	-0.00011656
JU1172	-0.00023609
JU1200	1.3038e-05
JU1212	-0.00010965
JU1213	-0.00013537
JU1242	-0.00012273
JU1246	-0.00011954
JU1395	-3.3683e-05
JU1400	-0.00010427
JU1409	-0.00010301
JU1440	-0.00018145
JU1491	-9.9904e-06
JU1530	-3.157e-05
JU1543	8.1125e-06
JU1568	-2.4931e-05
JU1580	-7.2819e-05
JU1581	-0.00024282
JU1586	-0.000149
JU1652	-0.0001353
JU1793	-8.1042e-05
JU1808	-0.00019382
JU1896	-1.7452e-05
JU2001	-0.00033405
JU2007	-0.00019811
JU2131	-4.872e-05
JU2141	-1.0465e-05
JU2234	-0.00022765
JU2464	6.0694e-06
JU2466	-0.00016367
JU2513	-0.00014349
JU2519	-9.0017e-05
JU2522	-2.5044e-05
JU2526	-0.00019324
JU2534	-0.00014558
JU2565	-0.0001823
JU2566	-9.8846e-05
JU2578	-0.00015733
JU258	-0.0002856
JU2587	3.469e-06
JU2593	5.7876e-05
JU2600	-0.00018371
JU2800	-0.00014476
JU2862	-0.00023624
JU2866	3.6468e-05
JU2878	-0.00014572
JU2879	-0.00019873
JU2906	-7.9515e-05
JU310	7.6328e-05
JU311	-0.0001238
JU3125	-9.1956e-05
JU3127	1.4164e-05
JU3134	4.2157e-05
JU3135	-0.00017322
JU3137	-0.00013627
JU3140	-0.00010115
JU323	-0.00017188
JU346	-2.4233e-05
JU360	-0.00017435
JU367	-0.00015231
JU393	-0.00018962
JU394	-1.4266e-05
JU397	-0.00027464
JU406	-0.00011521
JU440	-0.0002706
JU561	-0.00019968
JU642	-0.00013668
JU751	-6.8894e-05
JU774	-0.00036976
JU775	-7.5136e-05
JU778	-0.00025203
JU782	-0.00020585
JU792	-1.9945e-05
JU830	-0.00022577
JU847	-3.2717e-05
KR314	5.339e-06
LKC34	-0.00017191
LSJ1	-0.00010284
MY1	-3.3938e-05
MY10	2.7973e-05
MY16	-0.00017732
MY18	-0.0002153
MY2212	-0.00010958
MY23	-0.00018309
MY2453	-5.3837e-05
MY2530	-1.6085e-05
MY2535	-4.0552e-05
MY2573	-0.0001192
MY2693	-0.00019243
MY2741	-9.0908e-05
MY679	-0.00012972
MY920	6.5887e-05
N2	-4.1704e-05
NIC1	-0.00025043
NIC1107	-0.00018745
NIC166	-0.00015281
NIC195	-0.00020913
NIC199	-0.00020496
NIC2	-8.8075e-05
NIC207	-0.00016309
NIC231	-0.00014302
NIC236	-0.00011218
NIC242	-0.00013289
NIC251	-0.00029
NIC252	-0.00015926
NIC255	-0.00019552
NIC256	-0.0002312
NIC258	-7.1741e-05
NIC259	-0.00030652
NIC260	0.00012688
NIC261	-0.00022489
NIC262	-0.00012798
NIC265	-7.262e-05
NIC266	-7.924e-05
NIC267	-0.00015458
NIC268	-0.00043891
NIC269	-0.00025355
NIC271	-8.7659e-05
NIC272	-0.00015759
NIC274	-0.00013694
NIC275	-0.00011697
NIC276	-0.00016185
NIC277	-0.00026871
NIC3	-0.00014173
NIC513	-0.00032186
NIC514	-0.00015847
NIC522	-9.684e-05
NIC523	-2.471e-05
PB303	-5.8968e-05
PS2025	-0.0002334
PX179	-8.3259e-05
QG2075	-8.2994e-05
QG536	-0.0002426
QG556	-0.00010784
QG557	-8.1978e-05
QW947	-0.00024265
QX1212	-2.9596e-05
QX1233	-6.6569e-05
QX1791	-0.00012204
QX1792	-0.00010465
QX1793	-9.0453e-06
QX1794	-0.0001881
RC301	-0.00017474
WN2001	-0.00014172
WN2002	-8.7921e-05
WN2033	-7.8339e-06
XZ1513	-0.00012629
XZ1514	-0.00030608
XZ1516	-0.00017267
