strain	median
AB1	0.0004161
BRC20067	3.645e-05
CB4852	0.00031397
CB4854	0.00012805
CB4856	0.00028368
CB4932	0.00027606
CX11254	0.00028778
CX11262	6.6834e-05
CX11264	0.00010617
CX11271	0.00038103
CX11276	6.6973e-05
CX11285	0.00024358
CX11292	0.00040712
CX11307	0.00041182
CX11314	0.00034499
CX11315	0.00016308
DL200	6.4667e-05
DL226	0.00026034
DL238	0.00037895
ECA246	0.0003574
ECA248	0.00030247
ECA250	0.00032681
ECA251	0.00027118
ECA252	-0.00010007
ECA259	0.00036698
ECA348	0.00041749
ECA349	0.00022819
ECA36	0.00019007
ECA363	4.8281e-05
ECA372	0.00033511
ECA396	-0.00025556
ED3005	0.00037954
ED3011	0.00026794
ED3012	0.00033936
ED3017	0.00045863
ED3040	0.00030625
ED3046	0.00042315
ED3048	0.00016995
ED3049	0.00023977
ED3052	0.00020461
ED3073	0.00028257
ED3077	-5.9927e-06
EG4347	0.00033925
EG4349	0.0004049
EG4724	0.00018359
EG4725	0.000296
EG4946	0.00028188
GXW1	0.00051879
JT11398	0.00041313
JU1088	0.00030888
JU1172	6.6191e-05
JU1200	0.00034471
JU1212	0.00042948
JU1213	0.00020088
JU1242	0.00043309
JU1246	0.00020553
JU1395	0.0002746
JU1400	4.45e-05
JU1409	0.00030614
JU1440	0.00023931
JU1491	0.00033937
JU1530	0.00031959
JU1543	0.00014573
JU1568	0.0002053
JU1580	0.00026531
JU1581	0.00025886
JU1586	0.00029791
JU1652	0.00034559
JU1793	0.00014324
JU1808	0.00011643
JU1896	0.00036842
JU2001	0.0002698
JU2007	0.00033935
JU2131	0.00056136
JU2141	0.00025825
JU2234	0.0002812
JU2464	0.00013945
JU2466	0.00028348
JU2513	0.00054335
JU2519	0.00018648
JU2522	0.00043097
JU2526	0.00062901
JU2534	0.00016146
JU2565	0.00016374
JU2566	0.00012665
JU2578	0.00033308
JU258	0.00018283
JU2587	0.00061639
JU2593	0.00048583
JU2600	0.00037597
JU2800	0.00045268
JU2862	0.00063867
JU2866	0.00012678
JU2878	0.0002942
JU2879	0.00053562
JU2906	0.000616
JU310	0.00013844
JU311	0.00036015
JU3125	0.00034984
JU3127	0.00084222
JU3134	0.00049019
JU3135	0.00018672
JU3137	0.00029483
JU3140	0.00025909
JU323	0.00055612
JU346	0.00028854
JU360	0.00035678
JU367	0.00021532
JU393	7.2476e-05
JU394	0.00023417
JU397	4.9902e-05
JU406	0.00040471
JU440	0.00026997
JU561	0.0004163
JU642	0.00050213
JU751	0.00016998
JU774	0.00030045
JU775	0.00041431
JU778	0.00012164
JU782	0.00013684
JU792	0.00051188
JU830	0.00018126
JU847	0.00031476
KR314	0.00039394
LKC34	0.0002078
LSJ1	0.00022805
MY1	0.00054859
MY10	0.00032823
MY16	0.00024176
MY18	0.00017183
MY2212	0.00040017
MY23	0.00040744
MY2453	0.00010035
MY2530	0.00036573
MY2535	0.00029389
MY2573	0.00039538
MY2693	0.00026816
MY2741	0.00023027
MY679	0.00035194
MY920	6.3032e-05
N2	0.00010458
NIC1	0.00015859
NIC1107	6.7896e-05
NIC166	0.00039113
NIC195	0.00036804
NIC199	0.00030529
NIC2	0.00015479
NIC207	0.00027523
NIC231	0.00011703
NIC236	0.00031446
NIC242	0.00030401
NIC251	8.1059e-05
NIC252	0.00016588
NIC255	0.0001883
NIC256	0.00024989
NIC258	0.0001829
NIC259	0.00021055
NIC260	0.00020807
NIC261	0.0002389
NIC262	-0.00014351
NIC265	0.0003978
NIC266	0.00043444
NIC267	0.00024415
NIC268	0.00038912
NIC269	0.00017778
NIC271	0.00038732
NIC272	0.00016675
NIC274	0.00011644
NIC275	0.0004015
NIC276	0.00055258
NIC277	0.00035178
NIC3	3.2105e-05
NIC513	0.00027257
NIC514	0.00038269
NIC522	0.00024948
NIC523	0.0002019
PB303	0.00019278
PS2025	0.00029757
PX179	0.00046654
QG2075	2.4315e-05
QG536	-4.1041e-05
QG556	0.00037577
QG557	0.00029224
QW947	0.00020027
QX1212	0.00028633
QX1233	0.00023375
QX1791	-1.9548e-05
QX1792	2.5028e-05
QX1793	0.00054285
QX1794	0.00057398
RC301	0.00017911
WN2001	0.00022637
WN2002	0.00024592
WN2033	0.00025664
XZ1513	0.00038819
XZ1514	3.0397e-05
XZ1516	-5.4971e-06
