strain	median
AB1	-0.14
BRC20067	-2.51
CB4852	0.04
CB4854	-0.76
CB4856	-3.92
CB4932	-1.8
CX11254	-1.72
CX11262	-7.82
CX11264	-2.76
CX11271	-2.12
CX11276	-1.96
CX11285	-2.01
CX11292	-1.3
CX11307	-1.6
CX11314	-2.44
CX11315	-1.8
DL200	-3.64
DL226	-7.22
DL238	-3.33
ECA246	-1.69
ECA248	0.48
ECA250	-3
ECA251	-1.72
ECA252	-1.1
ECA259	-4.96
ECA348	-1.64
ECA349	-0.52
ECA36	-7.96
ECA363	-7.04
ECA372	-1.3
ECA396	-3.32
ED3005	-0.4
ED3011	-3.7
ED3012	-2.58
ED3017	-3.12
ED3040	-1.92
ED3046	0.12
ED3048	-3.2
ED3049	-1.34
ED3052	-1.3
ED3073	-1.08
ED3077	-3.5
EG4347	-1.96
EG4349	-1.44
EG4724	-3.18
EG4725	-3.03
EG4946	-1.58
GXW1	-3.04
JT11398	-1.62
JU1088	-1.84
JU1172	-2.64
JU1200	-3.56
JU1212	-1.24
JU1213	-2.04
JU1242	-1.08
JU1246	-2.88
JU1395	-1.12
JU1400	0.12
JU1409	-3.08
JU1440	-2.22
JU1491	-1.44
JU1530	-0.64
JU1543	-4.72
JU1568	-2
JU1580	-2.08
JU1581	-4.24
JU1586	-2
JU1652	-5.34
JU1793	-2.22
JU1808	-2.9
JU1896	-0.74
JU2001	-1.2
JU2007	-2.2
JU2131	-0.44
JU2141	-0.44
JU2234	-6
JU2464	-0.76
JU2466	-1.72
JU2513	-2
JU2519	-2.1
JU2522	-2.28
JU2526	-4.34
JU2534	-2.76
JU2565	-1.16
JU2566	-1.84
JU2578	-1.2
JU258	-3.5
JU2587	-2.76
JU2593	-2.88
JU2600	-1.16
JU2800	-2.44
JU2862	-4.52
JU2866	-3.36
JU2878	-1.22
JU2879	-8.56
JU2906	-7.26
JU310	-2.92
JU311	-2.38
JU3125	-4.52
JU3127	-1.62
JU3134	-2.12
JU3135	-3.28
JU3137	-4.32
JU3140	-1
JU323	-0.76
JU346	-1.02
JU360	-8
JU367	-1.48
JU393	-2.56
JU394	-0.38
JU397	-6.72
JU406	-0.16
JU440	-4.04
JU561	-1.64
JU642	-6.28
JU751	-1.52
JU774	-2.86
JU775	-1.03
JU778	-2.12
JU782	-0.46
JU792	-1.88
JU830	-2.44
JU847	-3.34
KR314	-1.24
LKC34	-1.52
LSJ1	-5
MY1	-1.84
MY10	-6.04
MY16	-4.88
MY18	-2.36
MY2212	0
MY23	-7.9
MY2453	-0.68
MY2530	-2.36
MY2535	-2.06
MY2573	-1.46
MY2693	-1.68
MY2741	-2.52
MY679	-1.52
MY920	-0.8
N2	-1.04
NIC1	-3.26
NIC1107	-1.54
NIC166	-1.88
NIC195	-4.96
NIC199	-2.52
NIC2	-2.16
NIC207	-2.52
NIC231	-3.16
NIC236	-2.38
NIC242	-1.42
NIC251	-1.36
NIC252	-2.31
NIC255	-2.18
NIC256	-2.69
NIC258	-1.84
NIC259	-3.48
NIC260	-2
NIC261	-2.48
NIC262	-0.52
NIC265	-1.04
NIC266	-0.96
NIC267	-1.62
NIC268	-7.06
NIC269	-3.62
NIC271	-1.22
NIC272	0.32
NIC274	-2.98
NIC275	-2.2
NIC276	-2.48
NIC277	-2.93
NIC3	-1.52
NIC513	-2.96
NIC514	-1.52
NIC522	-1.28
NIC523	-1.08
PB303	-2.6
PS2025	-0.66
PX179	-2.2
QG2075	-2.59
QG536	-3.2
QG556	-1.32
QG557	-5.04
QW947	-1.04
QX1212	-0.92
QX1233	-4.28
QX1791	-2.18
QX1792	-3.76
QX1793	0.08
QX1794	-1.48
RC301	-3.04
WN2001	-3.52
WN2002	-2.6
WN2033	-3.04
XZ1513	-3.2
XZ1514	1.2
XZ1516	-10.36
