strain	median
AB1	-8.8182
BRC20067	-4.7798
CB4852	-7.1486
CB4854	-9.4027
CB4856	-5.4719
CB4932	-6.1667
CX11254	-8.8385
CX11262	-0.59601
CX11264	-3.2099
CX11271	-6.4672
CX11276	-4.9398
CX11285	-2.2024
CX11292	-10.6676
CX11307	-7.3236
CX11314	-10.1197
CX11315	-12.2713
DL200	-0.31549
DL226	-1.1575
DL238	-4.3352
ECA246	-1.7441
ECA248	-20.4819
ECA250	-5.5281
ECA251	-15.2564
ECA252	-2.7402
ECA259	-2.0165
ECA348	-11.0168
ECA349	-9.1132
ECA36	-0.39194
ECA363	-2.1287
ECA372	-8.089
ECA396	0.71703
ED3005	-7.4657
ED3011	-2.4685
ED3012	-7.2438
ED3017	-2.8155
ED3040	-9.8172
ED3046	-11.6122
ED3048	-5.8356
ED3049	-10.7038
ED3052	-11.3481
ED3073	-5.7829
ED3077	-1.2958
EG4347	-3.8685
EG4349	-12.3504
EG4724	-2.9985
EG4725	-5.3464
EG4946	-5.4236
GXW1	-7.9792
JT11398	-4.4971
JU1088	-9.1343
JU1172	-8.3558
JU1200	-3.6557
JU1212	-8.6081
JU1213	-6.2398
JU1242	-8.7744
JU1246	-4.3282
JU1395	-5.4677
JU1400	-8.9071
JU1409	-8.4559
JU1440	-1.5346
JU1491	-12.1749
JU1530	-7.5075
JU1543	-1.4762
JU1568	-4.3055
JU1580	-9.1879
JU1581	-2.4426
JU1586	-4.3643
JU1652	-7.7517
JU1793	-5.007
JU1808	-2.075
JU1896	-7.9203
JU2001	-11.2822
JU2007	-6.405
JU2131	-8.5852
JU2141	-9.1942
JU2234	-3.481
JU2464	-11.7222
JU2466	-6.7136
JU2513	-5.1108
JU2519	-7.7268
JU2522	-4.6165
JU2526	-4.4086
JU2534	-5.9581
JU2565	-5.7308
JU2566	-1.3699
JU2578	-5.921
JU258	-3.1716
JU2587	-22.9703
JU2593	-2.1025
JU2600	-1.3395
JU2800	-9.6118
JU2862	-1.9477
JU2866	-2.5798
JU2878	-7.7815
JU2879	-3.42
JU2906	1.7877
JU310	-8.9578
JU311	-0.76057
JU3125	-6.6638
JU3127	-10.4918
JU3134	-11.5082
JU3135	-1.5285
JU3137	0.011009
JU3140	-2.547
JU323	-9.1761
JU346	-14.345
JU360	-6.8386
JU367	-8.3659
JU393	-3.3694
JU394	-11.5256
JU397	-2.0258
JU406	-5.5221
JU440	-0.68679
JU561	-10.3744
JU642	-5.3295
JU751	-3.7676
JU774	-7.31
JU775	-11.8936
JU778	-6.1178
JU782	-7.8901
JU792	-8.4273
JU830	-6.1408
JU847	-1.8507
KR314	-8.315
LKC34	-12.5624
LSJ1	-3.8593
MY1	-17.3338
MY10	-9.1793
MY16	-4.2232
MY18	5.1137
MY2212	-9.2755
MY23	-5.1922
MY2453	-4.5574
MY2530	-5.6658
MY2535	-11.3968
MY2573	-3.4355
MY2693	-7.4775
MY2741	-4.3192
MY679	-3.7305
MY920	-12.6811
N2	-3.6366
NIC1	-2.5767
NIC1107	-3.2718
NIC166	-6.092
NIC195	-2.3705
NIC199	-0.97025
NIC2	-2.2278
NIC207	-2.409
NIC231	-4.0698
NIC236	-2.4564
NIC242	-7.934
NIC251	-3.2208
NIC252	-2.4149
NIC255	-6.4324
NIC256	-6.066
NIC258	-0.83363
NIC259	-2.0302
NIC260	-4.3697
NIC261	-10.1316
NIC262	-2.5185
NIC265	-10.4008
NIC266	-6.3784
NIC267	-5.0537
NIC268	-1.7809
NIC269	1.7605
NIC271	-7.7587
NIC272	-7.528
NIC274	-6.9985
NIC275	-8.4548
NIC276	-6.3674
NIC277	-2.0658
NIC3	-4.4477
NIC513	-6.8928
NIC514	-3.4755
NIC522	-9.852
NIC523	-4.2551
PB303	-5.4126
PS2025	-11.2101
PX179	-6.5233
QG2075	-9.2107
QG536	-4.8971
QG556	-5.4896
QG557	-1.0396
QW947	-5.6102
QX1212	-7.1597
QX1233	-6.628
QX1791	-8.7097
QX1792	-3.5349
QX1793	-8.2443
QX1794	-7.737
RC301	-3.2413
WN2001	-1.7098
WN2002	-7.6192
WN2033	0.1356
XZ1513	-2.2448
XZ1514	-2.478
XZ1516	-1.2539
