strain,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_length_w_backward_10th_medianDiff_all,d_length_w_backward_50th_medianDiff_all,d_length_w_backward_IQR_medianDiff_all,length_norm_10th_medianDiff_all,length_norm_90th_medianDiff_all,length_norm_IQR_medianDiff_all
AB1,43.8228,486.3881,100.3932,-17.0713,17.0821,2.8088,1.3106,-2.2192,0.0075967,-0.0077924,-0.012466
BRC20067,22.6782,208.2603,58.198,-11.5746,13.5761,3.3181,1.0488,-1.1625,0.0074808,-0.0041418,-0.0070526
CB4852,18.4705,321.3491,136.4674,-23.91,23.9802,10.3342,2.0753,-5.3972,0.0121,-0.00771,-0.010456
CB4854,13.7656,60.557,5.897,-11.502,9.4857,2.4607,0.70705,-4.0361,0.0089003,-0.003963,-0.0086359
CB4856,18.6075,205.1447,133.3868,-12.6826,13.039,7.607,1.1456,-5.0898,0.0066116,-0.0024727,-0.0049779
CB4932,32.2735,130.7328,150.9791,-13.794,16.013,4.9861,0.57312,-3.6367,0.011522,-0.0066832,-0.010547
CX11254,-0.85079,415.5101,160.6538,-19.2353,17.6855,2.0814,-0.29826,-2.1968,0.0099813,-0.0090063,-0.010878
CX11262,5.1559,51.0853,176.8597,-2.4508,4.2779,4.1376,0.61737,-10.5527,0.0032857,0.00040281,0.00020456
CX11264,8.8272,302.7971,93.9359,0.75531,1.3309,3.1637,0.62744,-2.3557,0.004886,-0.002268,-0.0043317
CX11271,12.9674,27.3887,95.1093,-5.497,7.32,16.4448,2.4784,-9.0418,0.011414,-0.003297,-0.008396
CX11276,30.0443,293.9808,52.1574,-7.1097,6.6625,-3.09,0.87902,1.2007,0.00071871,0.00065827,-0.0027961
CX11285,-25.7198,345.4201,8.0029,2.4923,-3.9251,11.0371,1.3481,-8.1464,0.0046511,-0.00035369,-0.0029811
CX11292,18.1477,179.642,137.7358,-7.2598,8.0155,9.776,1.3302,-6.8654,0.0083839,-0.0045263,-0.0084896
CX11307,36.0242,346.3144,151.619,-11.5859,11.6017,3.1393,1.1153,-1.2304,0.0078174,-0.0053636,-0.0078627
CX11314,35.3929,185.1478,80.2111,-13.7708,14.1755,18.5848,2.0188,-11.2053,0.010435,-0.0033807,-0.0080403
CX11315,18.2893,456.3479,165.3287,-19.6643,18.4074,4.8141,0.92149,-3.4092,0.00836,-0.0060167,-0.0079917
DL200,24.5844,482.3436,240.2028,-0.08239,1.2912,3.1831,0.75901,-2.5734,0.0078879,-0.003383,-0.0054101
DL226,26.7353,274.8882,231.5351,-12.2295,13.5712,2.0277,1.3855,-2.4798,0.0055234,-0.0028105,-0.0041618
DL238,17.3805,308.2761,107.8034,-17.5043,17.5018,5.3861,1.1249,-4.1844,0.0082955,-0.0051053,-0.0068787
ECA246,0.40354,353.0458,133.2313,-11.8825,12.7596,6.9466,0.90542,-4.1585,0.01649,-0.0043324,-0.015373
ECA248,35.4588,507.607,106.5092,-9.1419,6.892,15.2196,0.85428,-8.7958,0.010521,-0.0046705,-0.0089318
ECA250,30.0669,247.1298,91.658,-13.1941,11.5012,11.6063,0.13598,-7.3232,0.013297,-0.005903,-0.011529
ECA251,22.1019,141.7877,59.1002,-5.5007,5.9953,21.2002,1.9662,-14.3122,0.012014,-0.0075618,-0.010678
ECA252,48.372,403.3489,66.1639,-3.3879,3.3705,6.1777,0.46854,-3.1726,0.0064377,-0.0097263,-0.0086846
ECA259,21.8668,310.3483,211.6662,-13.3081,12.7213,3.1119,1.6673,-1.9279,0.0060279,-0.0034243,-0.0049215
ECA348,24.2487,437.5621,28.7319,-17.9897,17.163,-1.6468,-0.16214,0.1643,0.0084131,-0.0048065,-0.007263
ECA349,36.5376,429.4749,195.9816,-17.471,17.568,0.68119,0.23762,-0.45221,0.0072068,-0.0082175,-0.0096148
ECA36,30.7939,181.8094,80.8052,-6.3829,8.3946,3.9082,0.92719,-2.5764,0.0045513,-0.0006448,-0.0022751
ECA363,21.318,73.3829,70.6845,2.86,-2.7161,4.7254,0.55515,-3.907,0.0051279,-0.00024307,-0.0030061
ECA372,12.958,512.123,142.1288,-15.0758,13.8471,5.6405,0.99237,-4.9915,0.0070038,-0.0030979,-0.0067066
ECA396,15.2385,108.2198,-95.1927,2.2614,-0.41438,9.3159,1.0857,-8.4246,0.0062214,-0.0014346,-0.0043987
ED3005,23.1493,219.8252,85.3501,-14.9254,15.8265,5.4455,0.91605,-3.6812,0.010722,-0.007659,-0.010147
ED3011,34.7197,557.4526,179.47,-19.3046,19.2971,5.8011,1.0038,-4.7812,0.008378,-0.0045812,-0.0064572
ED3012,31.1685,447.1702,175.6838,-14.7087,13.4823,10.5178,1.0037,-6.8295,0.0092237,-0.0041618,-0.0085588
ED3017,35.3071,241.6177,123.216,-11.0267,12.2948,7.2194,2.6852,-7.1259,0.0096545,-0.0028309,-0.0079907
ED3040,51.8935,97.7791,-36.7216,-10.4221,10.6703,12.7397,2.0756,-7.9719,0.0093879,-0.005727,-0.0089393
ED3046,37.8485,304.6546,177.2305,-13.4824,13.9146,3.005,0.59455,-2.5812,0.010078,-0.0065663,-0.010477
ED3048,35.0984,256.6851,165.1086,-11.6249,11.6754,8.6575,2.1099,-7.0939,0.0079832,-0.0043253,-0.0069899
ED3049,27.4034,308.3422,263.4345,-6.1167,6.9865,9.6149,1.8309,-6.2491,0.0074838,-0.0035986,-0.0081302
