strain	median
AB1	1.3106
BRC20067	1.0488
CB4852	2.0753
CB4854	0.70705
CB4856	1.1456
CB4932	0.57312
CX11254	-0.29826
CX11262	0.61737
CX11264	0.62744
CX11271	2.4784
CX11276	0.87902
CX11285	1.3481
CX11292	1.3302
CX11307	1.1153
CX11314	2.0188
CX11315	0.92149
DL200	0.75901
DL226	1.3855
DL238	1.1249
ECA246	0.90542
ECA248	0.85428
ECA250	0.13598
ECA251	1.9662
ECA252	0.46854
ECA259	1.6673
ECA348	-0.16214
ECA349	0.23762
ECA36	0.92719
ECA363	0.55515
ECA372	0.99237
ECA396	1.0857
ED3005	0.91605
ED3011	1.0038
ED3012	1.0037
ED3017	2.6852
ED3040	2.0756
ED3046	0.59455
ED3048	2.1099
ED3049	1.8309
ED3052	1.5108
ED3073	0.47364
ED3077	0.77819
EG4347	1.1479
EG4349	1.4083
EG4724	0.51754
EG4725	1.791
EG4946	1.5264
GXW1	2.1565
JT11398	1.5631
JU1088	0.51131
JU1172	2.625
JU1200	1.1781
JU1212	1.9527
JU1213	1.4986
JU1242	2.1872
JU1246	1.4495
JU1395	0.75698
JU1400	1.1811
JU1409	0.82185
JU1440	1.2939
JU1491	1.4791
JU1530	0.9827
JU1543	0.99267
JU1568	1.0604
JU1580	0.9322
JU1581	1.3988
JU1586	1.539
JU1652	-0.52492
JU1793	0.36638
JU1808	0.57454
JU1896	1.3383
JU2001	0.29965
JU2007	0.66695
JU2131	1.2342
JU2141	1.9797
JU2234	1.4531
JU2464	0.4967
JU2466	0.54795
JU2513	1.4189
JU2519	1.1672
JU2522	1.4073
JU2526	0.76084
JU2534	1.0123
JU2565	0.61795
JU2566	1.5752
JU2578	1.726
JU258	1.2598
JU2587	0.24615
JU2593	2.0597
JU2600	0.72715
JU2800	1.4712
JU2862	2.742
JU2866	1.6072
JU2878	1.0074
JU2879	0.77794
JU2906	0.65062
JU310	0.73839
JU311	1.9864
JU3125	0.80967
JU3127	0.852
JU3134	1.6537
JU3135	1.1276
JU3137	0.23082
JU3140	1.0001
JU323	0.62871
JU346	0.55614
JU360	3.0354
JU367	0.47693
JU393	1.3204
JU394	0.92697
JU397	2.4789
JU406	1.3684
JU440	2.2082
JU561	1.6217
JU642	0.6793
JU751	1.6256
JU774	1.5948
JU775	1.5622
JU778	1.1469
JU782	1.821
JU792	1.5207
JU830	1.0539
JU847	0.78124
KR314	0.29755
LKC34	1.0328
LSJ1	0.39852
MY1	1.8608
MY10	0.70583
MY16	1.0129
MY18	0.91718
MY2212	1.6467
MY23	0.86658
MY2453	0.92617
MY2530	0.63225
MY2535	1.8165
MY2573	1.2259
MY2693	0.6938
MY2741	0.79231
MY679	0.60035
MY920	0.89034
N2	0.28406
NIC1	1.3652
NIC1107	0.44915
NIC166	1.1291
NIC195	1.3204
NIC199	1.1102
NIC2	1.283
NIC207	0.85205
NIC231	2.4909
NIC236	0.77647
NIC242	1.2925
NIC251	2.9506
NIC252	1.2938
NIC255	2.4752
NIC256	1.1838
NIC258	0.68869
NIC259	0.72875
NIC260	1.0835
NIC261	1.939
NIC262	0.1719
NIC265	0.90809
NIC266	1.8586
NIC267	2.1311
NIC268	1.2044
NIC269	0.77302
NIC271	2.5656
NIC272	1.4031
NIC274	0.98578
NIC275	0.59956
NIC276	1.7235
NIC277	2.2452
NIC3	0.89182
NIC513	0.58814
NIC514	0.55947
NIC522	1.0586
NIC523	0.77837
PB303	1.1872
PS2025	1.1883
PX179	1.4017
QG2075	0.86411
QG536	1.7984
QG556	1.043
QG557	0.60844
QW947	1.1344
QX1212	0.6178
QX1233	1.0225
QX1791	1.1465
QX1792	0.90917
QX1793	2.4284
QX1794	0.9489
RC301	1.7373
WN2001	0.40713
WN2002	1.5087
WN2033	0.134
XZ1513	0.68093
XZ1514	-0.79417
XZ1516	1.0247
