strain	median
AB1	-2.2192
BRC20067	-1.1625
CB4852	-5.3972
CB4854	-4.0361
CB4856	-5.0898
CB4932	-3.6367
CX11254	-2.1968
CX11262	-10.5527
CX11264	-2.3557
CX11271	-9.0418
CX11276	1.2007
CX11285	-8.1464
CX11292	-6.8654
CX11307	-1.2304
CX11314	-11.2053
CX11315	-3.4092
DL200	-2.5734
DL226	-2.4798
DL238	-4.1844
ECA246	-4.1585
ECA248	-8.7958
ECA250	-7.3232
ECA251	-14.3122
ECA252	-3.1726
ECA259	-1.9279
ECA348	0.1643
ECA349	-0.45221
ECA36	-2.5764
ECA363	-3.907
ECA372	-4.9915
ECA396	-8.4246
ED3005	-3.6812
ED3011	-4.7812
ED3012	-6.8295
ED3017	-7.1259
ED3040	-7.9719
ED3046	-2.5812
ED3048	-7.0939
ED3049	-6.2491
ED3052	-4.5595
ED3073	-2.5862
ED3077	-2.3435
EG4347	-8.6494
EG4349	-3.4175
EG4724	-2.3059
EG4725	-4.5418
EG4946	-13.0062
GXW1	-7.3696
JT11398	-8.7944
JU1088	-3.7899
JU1172	-14.7022
JU1200	-1.2692
JU1212	-9.6966
JU1213	-9.7634
JU1242	-11.3243
JU1246	-2.8007
JU1395	-3.0411
JU1400	-4.1178
JU1409	-6.197
JU1440	-4.3198
JU1491	-4.3391
JU1530	-10.2139
JU1543	3.4934
JU1568	-4.5906
JU1580	-2.0146
JU1581	-5.1579
JU1586	-5.3984
JU1652	-2.8128
JU1793	-0.82823
JU1808	1.7257
JU1896	-6.2115
JU2001	-6.613
JU2007	-10.3683
JU2131	-1.9907
JU2141	-7.1283
JU2234	-4.3197
JU2464	-3.2505
JU2466	-8.7479
JU2513	-13.2482
JU2519	-1.6603
JU2522	0.61689
JU2526	-11.6025
JU2534	-7.2102
JU2565	-0.27396
JU2566	-4.2697
JU2578	0.37145
JU258	-4.9765
JU2587	-1.5608
JU2593	-6.7475
JU2600	-2.8239
JU2800	-6.8315
JU2862	-5.4892
JU2866	4.055
JU2878	-5.3852
JU2879	-5.7624
JU2906	-3.4293
JU310	-2.5601
JU311	-7.5726
JU3125	-0.62318
JU3127	-4.495
JU3134	-7.2095
JU3135	1.0321
JU3137	-4.0766
JU3140	-5.2491
JU323	-1.9563
JU346	-4.74
JU360	-11.0701
JU367	-6.1913
JU393	-6.0393
JU394	-3.393
JU397	-2.675
JU406	-4.1685
JU440	-11.443
JU561	-2.0273
JU642	-4.6511
JU751	-3.7263
JU774	-5.8655
JU775	-13.78
JU778	-4.1281
JU782	-2.4316
JU792	-2.937
JU830	-3.7074
JU847	-2.7182
KR314	-3.2994
LKC34	-6.6698
LSJ1	-7.81
MY1	-7.1544
MY10	-1.9434
MY16	-0.42852
MY18	-5.7387
MY2212	-12.1661
MY23	-7.4883
MY2453	-6.3673
MY2530	-5.9565
MY2535	-3.6428
MY2573	-7.7473
MY2693	-0.91016
MY2741	-3.9464
MY679	-2.6175
MY920	0.34382
N2	-0.93424
NIC1	-4.8969
NIC1107	-2.1625
NIC166	-6.6056
NIC195	1.4481
NIC199	-4.4499
NIC2	-2.5741
NIC207	-3.3709
NIC231	0.41247
NIC236	-5.0279
NIC242	-5.1633
NIC251	1.3763
NIC252	-1.4981
NIC255	-1.9305
NIC256	-2.9079
NIC258	-1.6022
NIC259	-3.9101
NIC260	0.72234
NIC261	-10.0655
NIC262	-6.5482
NIC265	-10.9711
NIC266	-9.9501
NIC267	-6.5774
NIC268	-0.74531
NIC269	-2.0691
NIC271	-13.8075
NIC272	-7.085
NIC274	-3.7381
NIC275	-2.2132
NIC276	-8.0832
NIC277	-7.1648
NIC3	-3.5833
NIC513	-4.9601
NIC514	-4.6995
NIC522	-7.8114
NIC523	-3.2926
PB303	0.060387
PS2025	-8.799
PX179	-5.4802
QG2075	-4.5041
QG536	-5.3252
QG556	-5.0766
QG557	-2.7948
QW947	-4.447
QX1212	-1.3901
QX1233	-0.096001
QX1791	-3.7513
QX1792	-0.55998
QX1793	-12.08
QX1794	-4.6803
RC301	-3.1365
WN2001	-4.4059
WN2002	-4.2188
WN2033	0.10526
XZ1513	-2.8404
XZ1514	0.27868
XZ1516	-8.0377
