strain	median
AB1	-0.012466
BRC20067	-0.0070526
CB4852	-0.010456
CB4854	-0.0086359
CB4856	-0.0049779
CB4932	-0.010547
CX11254	-0.010878
CX11262	0.00020456
CX11264	-0.0043317
CX11271	-0.008396
CX11276	-0.0027961
CX11285	-0.0029811
CX11292	-0.0084896
CX11307	-0.0078627
CX11314	-0.0080403
CX11315	-0.0079917
DL200	-0.0054101
DL226	-0.0041618
DL238	-0.0068787
ECA246	-0.015373
ECA248	-0.0089318
ECA250	-0.011529
ECA251	-0.010678
ECA252	-0.0086846
ECA259	-0.0049215
ECA348	-0.007263
ECA349	-0.0096148
ECA36	-0.0022751
ECA363	-0.0030061
ECA372	-0.0067066
ECA396	-0.0043987
ED3005	-0.010147
ED3011	-0.0064572
ED3012	-0.0085588
ED3017	-0.0079907
ED3040	-0.0089393
ED3046	-0.010477
ED3048	-0.0069899
ED3049	-0.0081302
ED3052	-0.011768
ED3073	-0.0065445
ED3077	-0.0061022
EG4347	-0.013179
EG4349	-0.013941
EG4724	-0.0049769
EG4725	-0.0081576
EG4946	-0.011519
GXW1	-0.0091512
JT11398	-0.0094151
JU1088	-0.01045
JU1172	-0.011613
JU1200	-0.0067402
JU1212	-0.012127
JU1213	-0.011735
JU1242	-0.0073296
JU1246	-0.004735
JU1395	-0.0097322
JU1400	-0.0074263
JU1409	-0.0078443
JU1440	-0.0085461
JU1491	-0.010458
JU1530	-0.010771
JU1543	0.00065482
JU1568	-0.00778
JU1580	-0.0057524
JU1581	-0.0070242
JU1586	-0.0077728
JU1652	-0.0043805
JU1793	-0.0025985
JU1808	-0.0010512
JU1896	-0.0078002
JU2001	-0.0058502
JU2007	-0.0085597
JU2131	-0.0096567
JU2141	-0.013792
JU2234	-0.0072489
JU2464	-0.0064852
JU2466	-0.010206
JU2513	-0.011764
JU2519	-0.0062482
JU2522	-0.0033124
JU2526	-0.0051277
JU2534	-0.0064366
JU2565	-0.0034312
JU2566	-0.011385
JU2578	-0.0028195
JU258	-0.0078835
JU2587	-0.006896
JU2593	-0.0068173
JU2600	-0.0058505
JU2800	-0.005502
JU2862	-0.00052643
JU2866	-0.01015
JU2878	-0.0079096
JU2879	-0.0037028
JU2906	-0.0037135
JU310	-0.0036483
JU311	-0.014647
JU3125	-0.0049367
JU3127	-0.0084307
JU3134	-0.0064737
JU3135	-0.0027793
JU3137	-0.0046909
JU3140	-0.0080141
JU323	-0.0097215
JU346	-0.010845
JU360	-0.0080307
JU367	-0.016935
JU393	-0.0029016
JU394	-0.0095906
JU397	-0.0022279
JU406	-0.0084879
JU440	-0.0085758
JU561	-0.005637
JU642	-0.0040751
JU751	-0.0048072
JU774	-0.0067199
JU775	-0.012745
JU778	-0.0047905
JU782	-0.01096
JU792	-0.0082686
JU830	-0.0077575
JU847	-0.0056372
KR314	-0.010914
LKC34	-0.0092103
LSJ1	-0.0052029
MY1	-0.011294
MY10	-0.0028913
MY16	-0.0061766
MY18	-0.004558
MY2212	-0.0092004
MY23	-0.0081611
MY2453	-0.01004
MY2530	-0.0049031
MY2535	-0.0090684
MY2573	-0.0084609
MY2693	-0.004707
MY2741	-0.0065436
MY679	-0.0063218
MY920	-0.007055
N2	-0.0055643
NIC1	-0.0059367
NIC1107	-0.0041053
NIC166	-0.012501
NIC195	-0.0039419
NIC199	-0.0086076
NIC2	-0.0069029
NIC207	-0.0076483
NIC231	-0.0068237
NIC236	-0.0068988
NIC242	-0.0096117
NIC251	-0.0035963
NIC252	-0.0038744
NIC255	-0.0050976
NIC256	-0.0080353
NIC258	-0.0027313
NIC259	-0.0023973
NIC260	-0.011303
NIC261	-0.0069785
NIC262	-0.0052449
NIC265	-0.010209
NIC266	-0.010769
NIC267	-0.0027332
NIC268	-0.001403
NIC269	-0.003445
NIC271	-0.016318
NIC272	-0.006366
NIC274	-0.0078844
NIC275	-0.0098335
NIC276	-0.011551
NIC277	-0.0098161
NIC3	-0.0097986
NIC513	-0.0064225
NIC514	-0.0035062
NIC522	-0.0096206
NIC523	-0.0077482
PB303	-0.0075408
PS2025	-0.0050576
PX179	-0.0085923
QG2075	-0.0077306
QG536	-0.0044737
QG556	-0.0047444
QG557	-0.0024973
QW947	-0.0090749
QX1212	-0.010204
QX1233	-0.0036223
QX1791	-0.008709
QX1792	-0.0069588
QX1793	-0.0077006
QX1794	-0.007524
RC301	-0.0034544
WN2001	-0.0028152
WN2002	-0.013096
WN2033	-0.00093752
XZ1513	-0.0045114
XZ1514	-0.005401
XZ1516	-0.0033544
