strain	median
AB1	283850
BRC20067	214200
CB4852	91600
CB4854	118600
CB4856	164090
CB4932	221250
CX11254	94350
CX11262	49650
CX11264	106200
CX11271	79850
CX11276	156695
CX11285	50350
CX11292	253250
CX11307	108495
CX11314	192642.5
CX11315	139000
DL200	251565
DL226	262200
DL238	165800
ECA246	102852.5
ECA248	308700
ECA250	301125
ECA251	196750
ECA252	107100
ECA259	124850
ECA348	168100
ECA349	260200
ECA36	109400
ECA363	14700
ECA372	193125
ECA396	38800
ED3005	160550
ED3011	180350
ED3012	241650
ED3017	130900
ED3040	256800
ED3046	270350
ED3048	222237.5
ED3049	128700
ED3052	152050
ED3073	177300
ED3077	268670
EG4347	197450
EG4349	337050
EG4724	129550
EG4725	85217.5
EG4946	163250
GXW1	250850
JT11398	305800
JU1088	172900
JU1172	102550
JU1200	232050
JU1212	87750
JU1213	251150
JU1242	186000
JU1246	260450
JU1395	169000
JU1400	110950
JU1409	95700
JU1440	261450
JU1491	180850
JU1530	209840
JU1543	255250
JU1568	189850
JU1580	151500
JU1581	122100
JU1586	74500
JU1652	124950
JU1793	83675
JU1808	273680
JU1896	166250
JU2001	90530
JU2007	195850
JU2131	172610
JU2141	98160
JU2234	208370
JU2464	189050
JU2466	191450
JU2513	196840
JU2519	120150
JU2522	86500
JU2526	186200
JU2534	219280
JU2565	213085
JU2566	136200
JU2578	295250
JU258	136875
JU2587	199950
JU2593	198400
JU2600	116650
JU2800	188750
JU2862	235750
JU2866	210900
JU2878	144305
JU2879	159585
JU2906	242000
JU310	141270
JU311	173250
JU3125	237600
JU3127	170100
JU3134	223000
JU3135	264655
JU3137	202500
JU3140	156700
JU323	135520
JU346	134250
JU360	95600
JU367	167550
JU393	178750
JU394	138600
JU397	109700
JU406	139650
JU440	87035
JU561	272000
JU642	106850
JU751	135550
JU774	163900
JU775	129665
JU778	163070
JU782	148650
JU792	218050
JU830	351550
JU847	202200
KR314	115350
LKC34	216930
LSJ1	163340
MY1	116300
MY10	221700
MY16	175350
MY18	107700
MY2212	163350
MY23	273480
MY2453	255950
MY2530	149800
MY2535	192350
MY2573	159050
MY2693	264350
MY2741	216700
MY679	183550
MY920	217600
N2	85800
NIC1	170390
NIC1107	145250
NIC166	179300
NIC195	99220
NIC199	74800
NIC2	143050
NIC207	81200
NIC231	180150
NIC236	181000
NIC242	132215
NIC251	219400
NIC252	160142.5
NIC255	198800
NIC256	148742.5
NIC258	67200
NIC259	85400
NIC260	197565
NIC261	68095
NIC262	70650
NIC265	156160
NIC266	77320
NIC267	193050
NIC268	218450
NIC269	-1525
NIC271	167100
NIC272	244200
NIC274	103680
NIC275	194180
NIC276	229325
NIC277	76825
NIC3	105650
NIC513	159450
NIC514	226000
NIC522	189457.5
NIC523	108850
PB303	263440
PS2025	52400
PX179	163675
QG2075	109950
QG536	232600
QG556	144570
QG557	67600
QW947	118050
QX1212	152100
QX1233	170595
QX1791	101900
QX1792	222385
QX1793	247700
QX1794	114690
RC301	189925
WN2001	248600
WN2002	187950
WN2033	177150
XZ1513	202250
XZ1514	101550
XZ1516	162900
