strain	median
AB1	83.7704
BRC20067	26.9071
CB4852	31.9875
CB4854	33.3932
CB4856	37.5552
CB4932	31.6192
CX11254	78.2802
CX11262	24.5587
CX11264	42.3231
CX11271	60.2878
CX11276	9.6096
CX11285	8.9213
CX11292	19.6184
CX11307	6.4107
CX11314	68.6677
CX11315	52.1025
DL200	26.9094
DL226	44.2133
DL238	15.0084
ECA246	17.1285
ECA248	61.9439
ECA250	50.8947
ECA251	28.4991
ECA252	21.4495
ECA259	50.2834
ECA348	4.3971
ECA349	42.7153
ECA36	8.3276
ECA363	-13.6789
ECA372	66.0003
ECA396	-25.7535
ED3005	38.0812
ED3011	38.2941
ED3012	26.7669
ED3017	27.4025
ED3040	27.3996
ED3046	30.4186
ED3048	68.5964
ED3049	-51.5358
ED3052	40.3923
ED3073	25.6056
ED3077	50.6741
EG4347	19.6812
EG4349	57.8776
EG4724	26.067
EG4725	21.1228
EG4946	28.0852
GXW1	30.8542
JT11398	36.0876
JU1088	40.8428
JU1172	14.3676
JU1200	19.0641
JU1212	10.9864
JU1213	60.6349
JU1242	59.106
JU1246	8.2583
JU1395	55.1531
JU1400	2.8338
JU1409	6.1606
JU1440	8.9491
JU1491	49.3205
JU1530	1.6597
JU1543	29.9867
JU1568	-10.5145
JU1580	11.1126
JU1581	29.4482
JU1586	25.4591
JU1652	14.905
JU1793	24.4465
JU1808	62.3244
JU1896	40.2826
JU2001	-26.1733
JU2007	46.2504
JU2131	32.2842
JU2141	42.1664
JU2234	9.1204
JU2464	24.5924
JU2466	11.5979
JU2513	47.3998
JU2519	44.0262
JU2522	14.1869
JU2526	62.8495
JU2534	27.9218
JU2565	25.4997
JU2566	39.8421
JU2578	-0.0017738
JU258	28.7504
JU2587	60.9279
JU2593	79.3597
JU2600	38.9021
JU2800	49.5853
JU2862	28.3083
JU2866	50.6024
JU2878	27.0929
JU2879	31.7656
JU2906	-7.5858
JU310	39.1321
JU311	22.0266
JU3125	50.141
JU3127	7.2969
JU3134	34.9214
JU3135	50.2879
JU3137	29.4606
JU3140	37.6496
JU323	49.9253
JU346	21.4334
JU360	45.0585
JU367	28.0281
JU393	14.0422
JU394	25.6067
JU397	21.7234
JU406	20.7997
JU440	61.216
JU561	38.9013
JU642	30.2342
JU751	25.8308
JU774	43.5462
JU775	21.3709
JU778	44.6754
JU782	50.246
JU792	33.2782
JU830	-15.7821
JU847	35.9921
KR314	24.5639
LKC34	46.7189
LSJ1	47.0975
MY1	26.0198
MY10	29.8919
MY16	37.1539
MY18	16.4291
MY2212	31.6154
MY23	24.431
MY2453	47.3659
MY2530	58.1318
MY2535	23.006
MY2573	28.6256
MY2693	23.9717
MY2741	-5.6309
MY679	4.6663
MY920	-4.2778
N2	8.3024
NIC1	27.17
NIC1107	10.7472
NIC166	34.5142
NIC195	56.4783
NIC199	33.9364
NIC2	39.8622
NIC207	23.5846
NIC231	4.352
NIC236	62.9072
NIC242	29.9556
NIC251	19.4727
NIC252	56.5761
NIC255	32.1826
NIC256	-7.7527
NIC258	5.5465
NIC259	44.3572
NIC260	42.5176
NIC261	35.7575
NIC262	-7.0692
NIC265	29.6591
NIC266	5.279
NIC267	-5.5596
NIC268	35.4797
NIC269	26.5276
NIC271	59.745
NIC272	48.8752
NIC274	37.0466
NIC275	-13.0448
NIC276	50.3528
NIC277	55.8782
NIC3	28.5198
NIC513	17.1377
NIC514	50.8999
NIC522	57.0535
NIC523	35.1708
PB303	60.198
PS2025	6.7808
PX179	12.4469
QG2075	7.9371
QG536	14.5384
QG556	28.1329
QG557	10.1538
QW947	5.2057
QX1212	39.9301
QX1233	52.0942
QX1791	13.9563
QX1792	69.7263
QX1793	84.2756
QX1794	16.0519
RC301	18.5779
WN2001	56.8918
WN2002	19.7169
WN2033	26.6285
XZ1513	39.1733
XZ1514	21.696
XZ1516	26.8534
