strain	median
AB1	2261.0764
BRC20067	746.091
CB4852	1527.1069
CB4854	747.6367
CB4856	965.5991
CB4932	1162.9646
CX11254	1864.5079
CX11262	948.3713
CX11264	1223.2591
CX11271	622.67
CX11276	1121.2488
CX11285	663.8376
CX11292	1463.6752
CX11307	579.7859
CX11314	1243.1726
CX11315	2262.185
DL200	2635.2187
DL226	1608.5281
DL238	1368.5283
ECA246	1294.3983
ECA248	1570.9546
ECA250	1848.9171
ECA251	1087.6956
ECA252	2048.9444
ECA259	1893.2773
ECA348	1926.5181
ECA349	2151.7873
ECA36	827.9039
ECA363	473.5951
ECA372	2132.8683
ECA396	417.7401
ED3005	1505.5605
ED3011	2041.1009
ED3012	1873.6308
ED3017	1038.8226
ED3040	1630.2681
ED3046	1927.5645
ED3048	1563.7242
ED3049	1341.8378
ED3052	1112.2295
ED3073	2124.5079
ED3077	1910.9402
EG4347	1858.2339
EG4349	1815.2355
EG4724	929.7412
EG4725	908.8225
EG4946	1134.386
GXW1	2190.3659
JT11398	1604.5733
JU1088	1322.254
JU1172	1929.7828
JU1200	1866.3933
JU1212	696.3962
JU1213	1584.4447
JU1242	1166.2224
JU1246	2106.9345
JU1395	1309.1168
JU1400	1438.8225
JU1409	898.7016
JU1440	1821.6653
JU1491	1327.6754
JU1530	1451.5433
JU1543	1306.7953
JU1568	1027.1069
JU1580	807.1066
JU1581	1636.989
JU1586	736.2671
JU1652	1513.5087
JU1793	802.1498
JU1808	1906.9545
JU1896	1023.259
JU2001	855.6467
JU2007	1173.6855
JU2131	985.6854
JU2141	1331.0723
JU2234	1945.513
JU2464	1161.8378
JU2466	1673.915
JU2513	962.1708
JU2519	1519.8276
JU2522	672.0317
JU2526	1045.0967
JU2534	2165.9291
JU2565	1374.132
JU2566	1571.0034
JU2578	1509.1168
JU258	1772.6443
JU2587	1104.4307
JU2593	1483.8073
JU2600	1105.6854
JU2800	1116.6977
JU2862	1582.0813
JU2866	2340.0714
JU2878	901.3493
JU2879	2070.4836
JU2906	2207.5374
JU310	878.8223
JU311	2378.442
JU3125	2682.0815
JU3127	1016.0528
JU3134	1506.5179
JU3135	1350.0014
JU3137	1543.0449
JU3140	1405.0966
JU323	1247.1066
JU346	1130.9888
JU360	1357.5817
JU367	1411.7098
JU393	1110.1218
JU394	1077.8174
JU397	1041.8378
JU406	1588.4134
JU440	1582.0813
JU561	1287.1069
JU642	1925.9293
JU751	651.3137
JU774	2343.0864
JU775	1056.1808
JU778	523.8477
JU782	1949.9493
JU792	1627.3982
JU830	2447.0803
JU847	1752.3759
KR314	1406.5179
LKC34	1502.6703
LSJ1	2126.9342
MY1	1179.6552
MY10	1684.5079
MY16	1694.4276
MY18	204.4022
MY2212	445.4212
MY23	2106.2443
MY2453	2251.8288
MY2530	817.4011
MY2535	1502.254
MY2573	1581.2489
MY2693	1618.2339
MY2741	1787.9395
MY679	1384.6805
MY920	1348.0285
N2	1744.1779
NIC1	940.8325
NIC1107	1774.0988
NIC166	1485.7456
NIC195	1219.1413
NIC199	1194.386
NIC2	1089.5331
NIC207	1178.254
NIC231	1381.6653
NIC236	1378.4061
NIC242	1320.0702
NIC251	1018.7048
NIC252	1709.4397
NIC255	853.9697
NIC256	1063.6436
NIC258	1332.9646
NIC259	436.5686
NIC260	2768.0572
NIC261	381.3065
NIC262	560
NIC265	1038.4064
NIC266	1542.8426
NIC267	1209.1793
NIC268	1482.6703
NIC269	1580.5411
NIC271	1512.514
NIC272	1669.6552
NIC274	1675.8073
NIC275	1419.523
NIC276	1472.8268
NIC277	676.9416
NIC3	1025.6854
NIC513	793.5532
NIC514	1102.6703
NIC522	1345.9367
NIC523	1075.9799
PB303	1724.8468
PS2025	1434.9332
PX179	1190.5383
QG2075	743.3214
QG536	1203.7299
QG556	1153.2562
QG557	1130.9402
QW947	1968.442
QX1212	1479.5921
QX1233	1729.0165
QX1791	831.9595
QX1792	1579.114
QX1793	1036.3962
QX1794	1212.5482
RC301	1249.2417
WN2001	1838.4344
WN2002	1504.0916
WN2033	836.5208
XZ1513	2290.6988
XZ1514	1330.7879
XZ1516	2221.4095
