strain	median
AB1	-6875
BRC20067	-4843.75
CB4852	-3437.5
CB4854	-3281.25
CB4856	-4843.75
CB4932	-5000
CX11254	-3125
CX11262	2968.75
CX11264	-4218.75
CX11271	-3906.25
CX11276	-5468.75
CX11285	-2812.5
CX11292	-4218.75
CX11307	-2031.25
CX11314	-4609.375
CX11315	-7812.5
DL200	-4687.5
DL226	-7187.5
DL238	-5156.25
ECA246	-2578.125
ECA248	-3437.5
ECA250	-5468.75
ECA251	-3437.5
ECA252	-1093.75
ECA259	-7187.5
ECA348	-3593.75
ECA349	-7343.75
ECA36	-3484.375
ECA363	312.5
ECA372	-3359.375
ECA396	468.75
ED3005	-4375
ED3011	-6875
ED3012	-6406.25
ED3017	-5468.75
ED3040	-4062.5
ED3046	-7031.25
ED3048	-6484.375
ED3049	8906.25
ED3052	-4687.5
ED3073	-5781.25
ED3077	-9062.5
EG4347	-4843.75
EG4349	-5468.75
EG4724	-4375
EG4725	-2265.625
EG4946	-4218.75
GXW1	-6875
JT11398	-5625
JU1088	-6406.25
JU1172	-3125
JU1200	-4843.75
JU1212	-1875
JU1213	-5937.5
JU1242	-4843.75
JU1246	-5312.5
JU1395	-5000
JU1400	-2812.5
JU1409	-3593.75
JU1440	-6093.75
JU1491	-5625
JU1530	-4687.5
JU1543	-7203.125
JU1568	-4687.5
JU1580	-3281.25
JU1581	-6406.25
JU1586	-1562.5
JU1652	-5156.25
JU1793	-2968.75
JU1808	-10781.25
JU1896	-4062.5
JU2001	-937.5
JU2007	-4843.75
JU2131	-4218.75
JU2141	-3593.75
JU2234	-4531.25
JU2464	-3593.75
JU2466	-3750
JU2513	-4218.75
JU2519	-4687.5
JU2522	-2968.75
JU2526	-4687.5
JU2534	-6406.25
JU2565	-3593.75
JU2566	-5000
JU2578	-6250
JU258	-4140.625
JU2587	-3750
JU2593	-7343.75
JU2600	-4531.25
JU2800	-8125
JU2862	-5156.25
JU2866	-6875
JU2878	-3828.125
JU2879	-5312.5
JU2906	-3750
JU310	-4062.5
JU311	-5156.25
JU3125	-7343.75
JU3127	-5625
JU3134	-6250
JU3135	-7812.5
JU3137	-5000
JU3140	-5468.75
JU323	-4687.5
JU346	-4062.5
JU360	-6406.25
JU367	-2031.25
JU393	-5156.25
JU394	-2500
JU397	-5468.75
JU406	-4843.75
JU440	-4390.625
JU561	-5468.75
JU642	-4093.75
JU751	-5312.5
JU774	-6562.5
JU775	-4359.375
JU778	-5937.5
JU782	-4187.5
JU792	-5312.5
JU830	-5312.5
JU847	-3906.25
KR314	-3281.25
LKC34	-4687.5
LSJ1	-3906.25
MY1	-3906.25
MY10	3593.75
MY16	-6718.75
MY18	-4375
MY2212	-4843.75
MY23	-8203.125
MY2453	-6718.75
MY2530	-5625
MY2535	-4375
MY2573	-3750
MY2693	-6406.25
MY2741	-5937.5
MY679	-2968.75
MY920	-1875
N2	-1093.75
NIC1	-2812.5
NIC1107	5312.5
NIC166	-4531.25
NIC195	-5937.5
NIC199	-4062.5
NIC2	-4843.75
NIC207	-3437.5
NIC231	-3281.25
NIC236	-4218.75
NIC242	-3906.25
NIC251	-4375
NIC252	-7343.75
NIC255	-3437.5
NIC256	-2187.5
NIC258	-937.5
NIC259	-3125
NIC260	-5781.25
NIC261	-1406.25
NIC262	-1875
NIC265	-3281.25
NIC266	-4843.75
NIC267	-5468.75
NIC268	-6718.75
NIC269	-4843.75
NIC271	-3906.25
NIC272	-7343.75
NIC274	-3281.25
NIC275	-6640.625
NIC276	-7343.75
NIC277	-3984.375
NIC3	-2968.75
NIC513	-2187.5
NIC514	-6250
NIC522	-5007.8125
NIC523	-3593.75
PB303	-7031.25
PS2025	-3437.5
PX179	-5468.75
QG2075	-1328.125
QG536	-2812.5
QG556	-5781.25
QG557	-1718.75
QW947	-3125
QX1212	-4843.75
QX1233	-4687.5
QX1791	-2046.875
QX1792	-5312.5
QX1793	-5156.25
QX1794	-4531.25
RC301	-6562.5
WN2001	-1718.75
WN2002	-3750
WN2033	-4375
XZ1513	-7500
XZ1514	-3906.25
XZ1516	-3750
