strain	median
AB1	-0.002115
BRC20067	-0.001972
CB4852	0.00010887
CB4854	-0.0022335
CB4856	-0.0015877
CB4932	-0.0027495
CX11254	-0.00092531
CX11262	0.00050471
CX11264	-0.0012868
CX11271	0.00051092
CX11276	0.00027552
CX11285	0.0015192
CX11292	-0.0038111
CX11307	-0.00076532
CX11314	-0.0017895
CX11315	-0.0053062
DL200	-0.0042329
DL226	-0.00244
DL238	-0.00035906
ECA246	-0.0016654
ECA248	-0.0037489
ECA250	-0.0016183
ECA251	-0.0025433
ECA252	-0.002011
ECA259	-0.002027
ECA348	-0.0034695
ECA349	-0.0023137
ECA36	-0.0069282
ECA363	7.8227e-05
ECA372	-0.00058451
ECA396	-0.0068313
ED3005	-0.0014164
ED3011	-0.0015936
ED3012	-0.0011527
ED3017	-0.00020864
ED3040	-0.0058864
ED3046	-0.0033465
ED3048	-0.0029993
ED3049	0.00040106
ED3052	-0.0039951
ED3073	-0.0016816
ED3077	-0.0037766
EG4347	-0.0047458
EG4349	-0.0023094
EG4724	-0.0014032
EG4725	-0.0023443
EG4946	-0.00074508
GXW1	-0.0041605
JT11398	-0.00084444
JU1088	-0.0022871
JU1172	0.00097725
JU1200	-0.0012259
JU1212	-0.0014506
JU1213	-0.0035989
JU1242	-0.0028731
JU1246	0.0006501
JU1395	-0.0018844
JU1400	-0.0015257
JU1409	-0.00019674
JU1440	-0.00079558
JU1491	-0.0032114
JU1530	0.00032105
JU1543	-0.00059025
JU1568	-0.0019094
JU1580	-0.0018593
JU1581	-0.0024918
JU1586	-0.00099393
JU1652	-0.0020866
JU1793	-0.001609
JU1808	-0.0054477
JU1896	-0.0050218
JU2001	-0.0025145
JU2007	7.4134e-05
JU2131	-0.0018497
JU2141	-0.00073022
JU2234	-0.0028602
JU2464	-0.0008553
JU2466	-0.0035248
JU2513	-0.003601
JU2519	-0.001708
JU2522	-0.0020536
JU2526	-0.0052763
JU2534	-0.0036214
JU2565	-0.0016449
JU2566	0.00067358
JU2578	-0.0013711
JU258	-0.0021508
JU2587	-0.0034073
JU2593	-0.0024814
JU2600	-0.0024977
JU2800	-0.0022965
JU2862	-0.00066267
JU2866	-0.0015632
JU2878	0.00052644
JU2879	-0.00085495
JU2906	-0.00017039
JU310	-0.0014771
JU311	-0.00070014
JU3125	-0.004059
JU3127	-0.0017485
JU3134	-0.0022105
JU3135	-0.0040935
JU3137	-0.00017908
JU3140	-0.00076557
JU323	-0.0058697
JU346	-0.0015775
JU360	0.0014909
JU367	-0.0020295
JU393	-0.0014268
JU394	-0.0028026
JU397	-0.002541
JU406	-0.0012147
JU440	-0.0011064
JU561	-0.0047455
JU642	-0.0063659
JU751	-0.0010244
JU774	0.00075972
JU775	-0.0016005
JU778	-0.0015738
JU782	-0.0017271
JU792	-0.00027454
JU830	-0.00099524
JU847	-0.00066061
KR314	-0.0015317
LKC34	-0.0012835
LSJ1	-0.0023032
MY1	-0.0024333
MY10	-0.001598
MY16	-0.0016326
MY18	-0.015722
MY2212	-0.0056269
MY23	-0.0058802
MY2453	-0.0011469
MY2530	-0.0029743
MY2535	-0.0024515
MY2573	-0.0022837
MY2693	-0.0039609
MY2741	-0.00098599
MY679	-0.0017227
MY920	-0.00083238
N2	-0.0018087
NIC1	-0.0012691
NIC1107	0.00050687
NIC166	-0.0021282
NIC195	-0.0081054
NIC199	0.00068197
NIC2	-0.00091292
NIC207	-0.0039356
NIC231	0.0004918
NIC236	-0.0020014
NIC242	-0.0035565
NIC251	-0.0034497
NIC252	2.7564e-05
NIC255	-0.0019589
NIC256	-0.00041811
NIC258	-0.0017336
NIC259	-0.0020866
NIC260	-0.0016109
NIC261	-0.00047485
NIC262	-0.0010552
NIC265	-0.0014995
NIC266	-0.00074254
NIC267	-0.0041214
NIC268	-0.0011825
NIC269	-0.00050204
NIC271	-0.0015748
NIC272	-0.0022451
NIC274	5.3158e-05
NIC275	-0.0026905
NIC276	-0.0037164
NIC277	-0.0016676
NIC3	-0.0014175
NIC513	-0.0022515
NIC514	-0.0010491
NIC522	-0.0027454
NIC523	-0.0033957
PB303	-0.0012746
PS2025	-0.0040018
PX179	-0.00367
QG2075	-0.0013755
QG536	-0.0031172
QG556	-0.0033491
QG557	-0.001663
QW947	0.0007235
QX1212	-0.0042682
QX1233	-0.0020553
QX1791	-0.00068936
QX1792	-0.0022053
QX1793	-0.004076
QX1794	-0.0010216
RC301	-0.0028286
WN2001	-0.0027776
WN2002	-0.0026205
WN2033	-0.0010204
XZ1513	-0.0017483
XZ1514	0.0004892
XZ1516	-0.00016503
