strain	median
AB1	-0.033372
BRC20067	-0.039892
CB4852	0.010843
CB4854	-0.079706
CB4856	-0.033229
CB4932	-0.045806
CX11254	-0.025078
CX11262	-0.079819
CX11264	-0.037915
CX11271	-0.035934
CX11276	0.0045465
CX11285	-0.022173
CX11292	-0.047922
CX11307	0.0043099
CX11314	-0.041295
CX11315	-0.021054
DL200	-0.027168
DL226	-0.034727
DL238	-0.0079936
ECA246	-0.01824
ECA248	-0.021439
ECA250	-0.037376
ECA251	-0.031227
ECA252	-0.0054574
ECA259	-0.013297
ECA348	-0.0082681
ECA349	-0.034506
ECA36	-0.069481
ECA363	-0.0021222
ECA372	-0.017007
ECA396	-0.030848
ED3005	-0.010231
ED3011	-0.017929
ED3012	-0.027215
ED3017	-0.015974
ED3040	-0.10455
ED3046	-0.035005
ED3048	-0.026506
ED3049	-0.016687
ED3052	-0.02057
ED3073	-0.03586
ED3077	-0.032016
EG4347	-0.03569
EG4349	-0.038169
EG4724	-0.025759
EG4725	-0.0216
EG4946	-0.033685
GXW1	-0.063954
JT11398	-0.032458
JU1088	-0.017004
JU1172	-0.010271
JU1200	-0.040308
JU1212	-0.0088735
JU1213	-0.034207
JU1242	-0.03833
JU1246	-0.039924
JU1395	-0.035084
JU1400	-0.035659
JU1409	0.0022747
JU1440	-0.027904
JU1491	-0.033171
JU1530	-0.018678
JU1543	-0.049996
JU1568	-0.018761
JU1580	-0.018164
JU1581	-0.009026
JU1586	-0.014182
JU1652	-0.014187
JU1793	-0.013192
JU1808	-0.032444
JU1896	-0.040218
JU2001	-0.022221
JU2007	-0.037515
JU2131	-0.019822
JU2141	0.0015501
JU2234	-0.021777
JU2464	-0.0528
JU2466	-0.046188
JU2513	-0.030117
JU2519	-0.024842
JU2522	-0.0078871
JU2526	-0.038631
JU2534	-0.027014
JU2565	-0.021835
JU2566	-0.011173
JU2578	-0.028063
JU258	-0.011411
JU2587	-0.042138
JU2593	-0.047156
JU2600	-0.008715
JU2800	-0.034363
JU2862	-0.025262
JU2866	-0.0083173
JU2878	-0.031993
JU2879	-0.032801
JU2906	-0.0149
JU310	-0.027936
JU311	-0.010189
JU3125	-0.0060693
JU3127	-0.02053
JU3134	-0.030839
JU3135	-0.024538
JU3137	-0.03554
JU3140	-0.01596
JU323	-0.028635
JU346	-0.015343
JU360	-0.0038626
JU367	-0.049218
JU393	-0.01361
JU394	-0.041815
JU397	-0.0066863
JU406	-0.021937
JU440	0.0081061
JU561	-0.040813
JU642	-0.025998
JU751	-0.026968
JU774	0.032952
JU775	-0.024508
JU778	-0.029318
JU782	-0.010211
JU792	0.0026185
JU830	-0.025705
JU847	-0.015631
KR314	-0.009805
LKC34	-0.032943
LSJ1	-0.014712
MY1	-0.028588
MY10	-0.029218
MY16	-0.019771
MY18	-0.10286
MY2212	-0.057045
MY23	-0.029005
MY2453	-0.021878
MY2530	-0.034838
MY2535	-0.01563
MY2573	-0.014272
MY2693	-0.03129
MY2741	-0.016316
MY679	-0.0098185
MY920	-0.020075
N2	-0.0052796
NIC1	-0.020041
NIC1107	-0.030544
NIC166	-0.033111
NIC195	0.0040323
NIC199	-0.0056659
NIC2	-0.029621
NIC207	0.013041
NIC231	-0.01078
NIC236	-0.048231
NIC242	-0.024923
NIC251	-0.024922
NIC252	-0.032066
NIC255	-0.047864
NIC256	-0.016158
NIC258	-0.0080753
NIC259	-0.067271
NIC260	-0.01885
NIC261	-0.013664
NIC262	-0.0058953
NIC265	-0.026873
NIC266	0.0093722
NIC267	-0.030437
NIC268	-0.044949
NIC269	0.0015548
NIC271	-0.026527
NIC272	-0.035405
NIC274	-0.076437
NIC275	-0.043544
NIC276	-0.027673
NIC277	-0.030278
NIC3	-0.012244
NIC513	-0.027409
NIC514	-0.041229
NIC522	-0.02346
NIC523	-0.01945
PB303	-0.032548
PS2025	-0.0060882
PX179	-0.039371
QG2075	-0.029052
QG536	-0.029613
QG556	-0.027687
QG557	-0.027292
QW947	0.0045702
QX1212	-0.028236
QX1233	-0.041486
QX1791	-0.052054
QX1792	-0.029245
QX1793	-0.047991
QX1794	-0.013036
RC301	-0.023756
WN2001	-0.028503
WN2002	-0.017158
WN2033	-0.020513
XZ1513	0.0015827
XZ1514	0.00096606
XZ1516	-0.0081066
