strain	median
AB1	155.3297
BRC20067	117.4176
CB4852	44.1942
CB4854	7.5817
CB4856	144.876
CB4932	88.3882
CX11254	140.1649
CX11262	47.0657
CX11264	95.9713
CX11271	121.8589
CX11276	91.5291
CX11285	52.4663
CX11292	5.743
CX11307	62.4995
CX11314	103.5528
CX11315	205.8058
DL200	95.9716
DL226	140.1644
DL238	59.3596
ECA246	32.9829
ECA248	140.1648
ECA250	54.9164
ECA251	87.0872
ECA252	7.5831
ECA259	231.6942
ECA348	62.499
ECA349	161.6116
ECA36	17.5202
ECA363	-41.0528
ECA372	95.9713
ECA396	-95.1856
ED3005	114.2769
ED3011	137.0239
ED3012	173.635
ED3017	103.5533
ED3040	-36.6113
ED3046	120.5592
ED3048	210.247
ED3049	-100.4128
ED3052	74.5234
ED3073	109.8347
ED3077	199.5249
EG4347	48.6364
EG4349	117.4173
EG4724	91.5294
EG4725	73.2236
EG4946	95.3193
GXW1	73.2231
JT11398	45.1152
JU1088	164.7515
JU1172	102.2525
JU1200	114.2762
JU1212	-1.3018
JU1213	176.7764
JU1242	146.4462
JU1246	92.8302
JU1395	135.7236
JU1400	44.1942
JU1409	77.6644
JU1440	80.8058
JU1491	135.7236
JU1530	99.1116
JU1543	128.141
JU1568	100.4114
JU1580	73.2231
JU1581	179.9173
JU1586	59.3591
JU1652	117.4181
JU1793	67.8616
JU1808	217.8297
JU1896	76.3636
JU2001	-33.4706
JU2007	92.8302
JU2131	48.6364
JU2141	59.3586
JU2234	114.2774
JU2464	62.5
JU2466	44.1928
JU2513	91.5298
JU2519	102.2525
JU2522	70.0831
JU2526	111.1355
JU2534	140.1653
JU2565	59.3596
JU2566	154.0289
JU2578	29.1693
JU258	112.056
JU2587	83.9462
JU2593	169.1942
JU2600	184.3596
JU2800	176.7769
JU2862	92.8304
JU2866	173.636
JU2878	132.5822
JU2879	124.9998
JU2906	36.6116
JU310	70.0831
JU311	188.4207
JU3125	286.6116
JU3127	129.4422
JU3134	109.8351
JU3135	169.1937
JU3137	109.8347
JU3140	114.2764
JU323	140.1644
JU346	62.5005
JU360	176.7759
JU367	-7.5827
JU393	95.9706
JU394	18.3058
JU397	143.3058
JU406	129.4413
JU440	137.0244
JU561	125.0005
JU642	112.9749
JU751	103.5523
JU774	202.6649
JU775	101.3327
JU778	103.5533
JU782	114.2769
JU792	125
JU830	95.9706
JU847	88.3884
KR314	102.252
LKC34	88.3889
LSJ1	103.5528
MY1	103.5533
MY10	-13.864
MY16	150.8884
MY18	132.5822
MY2212	41.0523
MY23	210.248
MY2453	126.3008
MY2530	161.6116
MY2535	77.6649
MY2573	88.388
MY2693	117.4183
MY2741	91.527
MY679	73.2236
MY920	41.0542
N2	18.3053
NIC1	7.5827
NIC1107	15.1649
NIC166	106.6942
NIC195	216.5284
NIC199	172.3347
NIC2	169.1942
NIC207	114.2766
NIC231	117.4178
NIC236	105.3929
NIC242	161.6106
NIC251	80.806
NIC252	175.2067
NIC255	-35.6917
NIC256	31.5754
NIC258	7.5827
NIC259	29.0298
NIC260	161.6116
NIC261	36.6116
NIC262	62.5
NIC265	70.0831
NIC266	120.5587
NIC267	95.3197
NIC268	187.5005
NIC269	176.7778
NIC271	54.9173
NIC272	135.7231
NIC274	114.2764
NIC275	143.9557
NIC276	195.0827
NIC277	115.8462
NIC3	62.5
NIC513	48.6344
NIC514	187.5
NIC522	131.012
NIC523	140.1656
PB303	176.7769
PS2025	103.5542
PX179	162.9128
QG2075	-7.5829
QG536	-25.8875
QG556	128.1402
QG557	30.3302
QW947	117.4173
QX1212	125.0005
QX1233	150.8884
QX1791	21.4462
QX1792	117.4178
QX1793	117.4173
QX1794	100.4119
RC301	147.7473
WN2001	-10.7234
WN2002	39.7525
WN2033	128.6557
XZ1513	147.7475
XZ1514	106.694
XZ1516	73.2236
