strain	median
AB1	0.053077
BRC20067	0.015504
CB4852	0.022653
CB4854	0.040871
CB4856	0.041222
CB4932	0.05347
CX11254	0.038693
CX11262	0.042263
CX11264	0.022364
CX11271	0.037698
CX11276	-0.0021702
CX11285	0.01204
CX11292	0.02906
CX11307	0.017084
CX11314	0.043243
CX11315	0.078135
DL200	0.057153
DL226	0.065828
DL238	0.043971
ECA246	-0.015387
ECA248	0.048452
ECA250	0.036696
ECA251	0.049376
ECA252	0.0089408
ECA259	0.072073
ECA348	0.027535
ECA349	0.068715
ECA36	-0.0096916
ECA363	0.0079171
ECA372	0.03429
ECA396	-0.091558
ED3005	0.049601
ED3011	0.034362
ED3012	0.074383
ED3017	0.052838
ED3040	0.025065
ED3046	0.051804
ED3048	0.058198
ED3049	0.042018
ED3052	0.047658
ED3073	0.051849
ED3077	0.036617
EG4347	0.038559
EG4349	0.02887
EG4724	0.02985
EG4725	0.029162
EG4946	0.051966
GXW1	0.073802
JT11398	0.053034
JU1088	0.071705
JU1172	0.061103
JU1200	0.06824
JU1212	0.044586
JU1213	0.047814
JU1242	0.064988
JU1246	0.052901
JU1395	0.044935
JU1400	0.038908
JU1409	0.066338
JU1440	0.042364
JU1491	0.070889
JU1530	0.050054
JU1543	0.039497
JU1568	0.030286
JU1580	0.0301
JU1581	0.078071
JU1586	0.048228
JU1652	0.05239
JU1793	0.044837
JU1808	0.080966
JU1896	0.027112
JU2001	0.014256
JU2007	0.046315
JU2131	0.046372
JU2141	0.026828
JU2234	0.0088255
JU2464	0.065062
JU2466	0.039985
JU2513	0.030173
JU2519	0.049333
JU2522	0.03103
JU2526	0.042992
JU2534	0.057742
JU2565	0.041863
JU2566	0.030295
JU2578	0.041519
JU258	0.046824
JU2587	0.029389
JU2593	0.048618
JU2600	0.0035204
JU2800	0.059813
JU2862	-0.0034623
JU2866	0.026268
JU2878	0.028184
JU2879	0.030576
JU2906	0.050551
JU310	0.051282
JU311	0.069007
JU3125	0.090371
JU3127	0.055101
JU3134	0.061193
JU3135	0.036429
JU3137	0.076162
JU3140	0.05111
JU323	0.046535
JU346	0.046058
JU360	0.041433
JU367	0.041057
JU393	0.027399
JU394	0.028585
JU397	0.052272
JU406	0.055218
JU440	-0.016901
JU561	0.049068
JU642	0.048327
JU751	0.023157
JU774	0.057454
JU775	0.041506
JU778	0.058433
JU782	0.02957
JU792	0.038089
JU830	0.061119
JU847	0.048849
KR314	0.042296
LKC34	0.037793
LSJ1	8.2105e-05
MY1	0.038431
MY10	0.031448
MY16	0.059267
MY18	-0.020721
MY2212	0.048083
MY23	0.064051
MY2453	0.031891
MY2530	0.037403
MY2535	0.052746
MY2573	0.047979
MY2693	0.063368
MY2741	0.043776
MY679	0.033687
MY920	0.047829
N2	0.0090104
NIC1	0.042884
NIC1107	0.055665
NIC166	0.049016
NIC195	0.036251
NIC199	0.0488
NIC2	0.03965
NIC207	0.027155
NIC231	0.018357
NIC236	0.059599
NIC242	0.028623
NIC251	0.016275
NIC252	0.061027
NIC255	0.0047227
NIC256	0.010777
NIC258	0.0071039
NIC259	0.0040353
NIC260	0.036874
NIC261	0.029794
NIC262	0.029963
NIC265	0.039794
NIC266	0.035417
NIC267	0.054906
NIC268	0.05273
NIC269	0.05295
NIC271	0.054035
NIC272	0.046963
NIC274	0.058145
NIC275	0.041637
NIC276	0.071002
NIC277	0.061552
NIC3	0.032509
NIC513	0.040655
NIC514	0.064015
NIC522	0.045596
NIC523	0.048002
PB303	0.078745
PS2025	0.032224
PX179	0.052141
QG2075	0.028561
QG536	0.043319
QG556	0.07445
QG557	0.023334
QW947	0.033289
QX1212	0.032729
QX1233	0.037229
QX1791	0.03897
QX1792	0.030055
QX1793	0.041417
QX1794	0.066947
RC301	0.046483
WN2001	0.016793
WN2002	0.025651
WN2033	0.025165
XZ1513	0.085258
XZ1514	0.035694
XZ1516	-0.010015
