strain	median
AB1	9.22337203685477e+18
BRC20067	9.22337203685477e+18
CB4852	9.22337203685477e+18
CB4854	9.22337203685477e+18
CB4856	9.22337203685477e+18
CB4932	9.22337203685477e+18
CX11254	9.22337203685477e+18
CX11262	4.611686018427385e+18
CX11264	9.22337203685477e+18
CX11271	9.22337203685477e+18
CX11276	9.22337203685477e+18
CX11285	9.22337203685477e+18
CX11292	0
CX11307	0.013854
CX11314	9.22337203685477e+18
CX11315	9.22337203685477e+18
DL200	9.22337203685477e+18
DL226	9.22337203685477e+18
DL238	9.22337203685477e+18
ECA246	9.22337203685477e+18
ECA248	9.22337203685477e+18
ECA250	9.22337203685477e+18
ECA251	9.22337203685477e+18
ECA252	0.0091681
ECA259	9.22337203685477e+18
ECA348	0.61063
ECA349	9.22337203685477e+18
ECA36	9.22337203685477e+18
ECA363	0
ECA372	9.22337203685477e+18
ECA396	0.026365
ED3005	9.22337203685477e+18
ED3011	9.22337203685477e+18
ED3012	9.22337203685477e+18
ED3017	9.22337203685477e+18
ED3040	4.611686018427385e+18
ED3046	9.22337203685477e+18
ED3048	9.22337203685477e+18
ED3049	9.22337203685477e+18
ED3052	9.22337203685477e+18
ED3073	9.22337203685477e+18
ED3077	9.22337203685477e+18
EG4347	9.22337203685477e+18
EG4349	9.22337203685477e+18
EG4724	9.22337203685477e+18
EG4725	9.22337203685477e+18
EG4946	9.22337203685477e+18
GXW1	9.22337203685477e+18
JT11398	9.22337203685477e+18
JU1088	9.22337203685477e+18
JU1172	9.22337203685477e+18
JU1200	9.22337203685477e+18
JU1212	9.22337203685477e+18
JU1213	9.22337203685477e+18
JU1242	9.22337203685477e+18
JU1246	0
JU1395	9.22337203685477e+18
JU1400	9.22337203685477e+18
JU1409	0
JU1440	0.58156
JU1491	9.22337203685477e+18
JU1530	9.22337203685477e+18
JU1543	9.22337203685477e+18
JU1568	0
JU1580	9.22337203685477e+18
JU1581	9.22337203685477e+18
JU1586	9.22337203685477e+18
JU1652	9.22337203685477e+18
JU1793	4.611686018427385e+18
