strain,d_speed_head_base_w_backward_10th_medianDiff_all,d_speed_head_base_w_backward_50th_medianDiff_all,d_speed_head_base_w_backward_90th_medianDiff_all,d_speed_head_base_w_backward_IQR_medianDiff_all,d_speed_head_tip_w_backward_10th_medianDiff_all,d_speed_head_tip_w_backward_90th_medianDiff_all,d_speed_head_tip_w_backward_IQR_medianDiff_all,d_speed_hips_w_backward_50th_medianDiff_all,d_speed_hips_w_backward_IQR_medianDiff_all,d_speed_midbody_w_backward_10th_medianDiff_all,d_speed_midbody_w_backward_50th_medianDiff_all,d_speed_midbody_w_backward_IQR_medianDiff_all,d_speed_neck_w_backward_10th_medianDiff_all,d_speed_neck_w_backward_50th_medianDiff_all,d_speed_neck_w_backward_90th_medianDiff_all,d_speed_neck_w_backward_IQR_medianDiff_all,d_speed_tail_base_w_backward_50th_medianDiff_all,d_speed_tail_tip_w_backward_50th_medianDiff_all,d_speed_w_backward_50th_medianDiff_all,d_speed_w_backward_IQR_medianDiff_all,speed_head_base_norm_10th_medianDiff_all,speed_head_tip_10th_medianDiff_all,speed_head_tip_norm_10th_medianDiff_all,speed_hips_norm_10th_medianDiff_all,speed_midbody_norm_10th_medianDiff_all,speed_neck_norm_10th_medianDiff_all,speed_norm_10th_medianDiff_all,speed_tail_base_10th_medianDiff_all,speed_tail_base_norm_10th_medianDiff_all,speed_tail_tip_10th_medianDiff_all,speed_tail_tip_norm_10th_medianDiff_all
AB1,30.3735,-6.5364,-62.0396,-46.2877,56.4369,-208.8032,-71.3342,-7.69,-31.4336,22.9696,-6.8473,-30.0096,28.7302,-5.8849,-49.885,-39.0257,-7.4753,-6.0493,-5.3993,-26.7822,-0.011199,-12.3355,-0.013366,-0.012515,-0.010664,-0.0099137,-0.0090673,-12.0795,-0.013644,-13.911,-0.015539
BRC20067,11.9353,-8.5994,-3.8771,-7.3528,25.7834,-71.1676,-53.8222,-7.669,6.9442,-1.5949,-8.143,3.9015,4.9487,-8.1446,-1.7694,-1.4097,-7.4203,-6.497,-8.4383,5.6447,-0.045084,-41.0615,-0.051843,-0.046588,-0.044136,-0.046178,-0.039987,-41.5166,-0.049727,-47.7702,-0.05669
CB4852,29.9532,-10.2083,-45.3881,-40.8324,36.9217,-133.1551,-88.4681,-10.9915,5.1198,1.0916,-9.7337,-7.2926,17.7307,-10.1415,-39.4349,-25.828,-10.6555,-8.1482,-9.1417,-10.6595,-0.020191,-19.4319,-0.021968,-0.025612,-0.021717,-0.022173,-0.019551,-22.7567,-0.027746,-26.3114,-0.031712
CB4854,58.7648,-16.0112,-44.6888,-71.0744,74.2629,-132.6589,-101.5607,-20.9548,-59.271,51.6651,-20.5346,-55.1366,52.6516,-16.6669,-38.3888,-68.8107,-19.8325,-20.4509,-18.7374,-60.5961,-0.034051,-28.3352,-0.033305,-0.035591,-0.034511,-0.036083,-0.03205,-31.6986,-0.036513,-35.4842,-0.040812
CB4856,82.9805,-12.5846,-86.967,-88.6115,87.1696,-266.3272,-100.1601,-14.7858,-64.0992,65.4312,-13.6903,-67.3438,76.4182,-10.9474,-74.5382,-81.0088,-12.9365,-11.7002,-13.2392,-73.7444,-0.058011,-73.0724,-0.091499,-0.044568,-0.04122,-0.048385,-0.037913,-39.0023,-0.047862,-45.6015,-0.05592
CB4932,19.8892,-8.3117,-7.9657,-32.3853,23.9724,-60.4839,-70.3947,-7.1334,-7.7206,11.9482,-8.8511,-19.1956,15.5663,-8.7076,-6.7915,-25.9749,-7.5335,-6.1797,-7.7014,-20.0255,-0.040627,-33.7476,-0.038971,-0.043727,-0.040253,-0.041493,-0.038166,-39.5109,-0.047217,-46.6071,-0.055832
CX11254,35.5987,-7.5778,-1.1998,-26.7698,40.502,-28.1801,-56.9712,-8.9075,-19.2855,20.797,-7.5675,-15.8413,25.6918,-5.9367,-4.8395,-25.5499,-10.1411,-8.6384,-7.7101,-19.1664,-0.0034615,-8.2889,0.0052056,-0.0032658,-0.0044206,-0.0042497,-0.0035257,-11.5223,-0.0033264,-17.8236,-0.013699
CX11262,77.2304,-15.589,-133.4066,-90.7175,89.6721,-368.9619,-97.7774,-16.6623,-97.3557,75.8496,-16.5932,-68.1671,70.796,-15.5846,-119.1638,-78.4022,-16.5847,-16.4383,-15.604,-69.5203,-0.067244,-92.9995,-0.10906,-0.045152,-0.043969,-0.054482,-0.041138,-39.7118,-0.047751,-44.5043,-0.053713
CX11264,11.2112,0.64022,-17.93,-9.0649,47.6178,-94.2513,-53.938,-0.040359,-4.8148,-3.3061,0.16225,8.8598,0.16138,-1.3329,-15.0309,2.2859,0.89635,2.4754,-0.5835,12.2697,-0.031891,-37.9165,-0.054803,-0.03108,-0.028196,-0.031001,-0.025054,-23.4152,-0.033589,-26.2077,-0.03435
CX11271,144.7248,-18.9091,-152.4991,-151.343,150.0172,-247.4482,-188.9646,-16.5765,-95.388,107.5482,-16.4918,-110.4508,130.4779,-17.9102,-142.443,-139.0856,-17.3658,-15.4917,-16.2145,-112.6752,-0.1071,-79.1922,-0.10741,-0.10643,-0.098801,-0.10745,-0.090967,-83.4384,-0.1115,-86.8689,-0.11572
CX11276,43.9731,-14.0094,-28.2997,-54.2794,76.6572,-207.1705,-119.1587,-15.7186,-50.0815,49.0889,-15.2254,-38.0826,43.3021,-13.5216,-20.3036,-39.434,-15.682,-14.0489,-12.4096,-37.4749,-0.029468,-31.5412,-0.035799,-0.031812,-0.030827,-0.032808,-0.029223,-29.0194,-0.034571,-31.7901,-0.039551
CX11285,174.9794,-13.4797,-164.2481,-146.366,190.6577,-347.6094,-119.5188,-16.776,-130.2883,132.9147,-14.9579,-123.3504,146.7929,-12.9413,-154.4705,-142.1579,-12.4866,-11.8944,-14.6521,-122.1095,-0.05515,-79.351,-0.10288,-0.044821,-0.040562,-0.046501,-0.037279,-36.2587,-0.048921,-41.7892,-0.056785
CX11292,93.0461,-14.0259,-91.421,-104.6424,94.7152,-266.9442,-130.4456,-20.3446,-87.9642,80.1877,-16.0734,-84.5315,83.8974,-15.0315,-90.6832,-92.611,-18.8087,-17.9833,-15.6035,-86.8594,-0.018292,-23.8708,-0.02596,-0.019923,-0.017025,-0.016851,-0.016143,-20.1268,-0.022152,-22.5268,-0.025483
