strain	median
AB1	-6.5364
BRC20067	-8.5994
CB4852	-10.2083
CB4854	-16.0112
CB4856	-12.5846
CB4932	-8.3117
CX11254	-7.5778
CX11262	-15.589
CX11264	0.64022
CX11271	-18.9091
CX11276	-14.0094
CX11285	-13.4797
CX11292	-14.0259
CX11307	-11.9214
CX11314	-7.2322
CX11315	-8.407
DL200	-7.6724
DL226	-0.90653
DL238	-6.1284
ECA246	-5.0496
ECA248	-16.8475
ECA250	-12.7955
ECA251	-22.2201
ECA252	0.36523
ECA259	-17.716
ECA348	5.5962
ECA349	-6.9442
ECA36	-18.1255
ECA363	-9.1925
ECA372	-6.908
ECA396	-23.0439
ED3005	-8.9707
ED3011	-17.2745
ED3012	-13.3635
ED3017	-26.6482
ED3040	-13.6901
ED3046	-2.9938
ED3048	-10.7749
ED3049	-8.5015
ED3052	-13.1055
ED3073	-8.275
ED3077	-12.3257
EG4347	-12.3221
EG4349	-6.6108
EG4724	-2.6656
EG4725	-5.9261
EG4946	-2.8017
GXW1	-15.966
JT11398	-14.3667
JU1088	-4.8518
JU1172	-14.761
JU1200	-10.8145
JU1212	-14.6701
JU1213	-17.1221
JU1242	-5.3587
JU1246	-12.0515
JU1395	-19.0711
JU1400	-0.53544
JU1409	-17.0128
JU1440	-3.8602
JU1491	-7.3836
JU1530	-11.4192
JU1543	-10.2338
JU1568	-3.1154
JU1580	-9.7568
JU1581	-21.3456
JU1586	-19.6178
JU1652	-7.9218
JU1793	-14.0754
JU1808	-13.579
JU1896	-17.3168
JU2001	-12.5115
JU2007	-2.7175
JU2131	-1.434
JU2141	-5.6964
JU2234	-2.6277
JU2464	-4.6575
JU2466	-1.5722
JU2513	-21.3253
JU2519	-8.6548
JU2522	-11.2142
JU2526	-12.2046
JU2534	-1.7246
JU2565	-6.7252
JU2566	-10.4033
JU2578	-20.0494
JU258	-15.7523
JU2587	-5.82
JU2593	-11.8612
JU2600	-7.8997
JU2800	-24.1829
JU2862	-21.2168
JU2866	-8.0464
JU2878	-36.5314
JU2879	-9.4485
JU2906	-13.4604
JU310	-7.7034
JU311	-10.4688
JU3125	-4.6607
JU3127	-11.1838
JU3134	-22.4462
JU3135	-20.3289
JU3137	-13.9791
JU3140	-15.011
JU323	-11.9563
JU346	-5.6993
JU360	-23.723
JU367	-5.5677
JU393	-9.4504
JU394	-17.5467
JU397	-17.7254
JU406	-5.5989
JU440	-7.6416
JU561	-12.3133
JU642	-19.8362
JU751	0.53618
JU774	-17.1299
JU775	-2.3871
JU778	-12.7129
JU782	0.64107
JU792	-3.8531
JU830	2.8951
JU847	-15.5267
KR314	-8.349
LKC34	-16.8201
LSJ1	-6.5479
MY1	-7.1356
MY10	-13.1423
MY16	-5.4602
MY18	-7.7632
MY2212	-24.7548
MY23	-9.7292
MY2453	-1.9159
MY2530	-16.298
MY2535	-15.1828
MY2573	-12.1687
MY2693	-11.5798
MY2741	-13.4248
MY679	-7.7282
MY920	-16.0485
N2	0.89333
NIC1	-13.3075
NIC1107	-0.99678
NIC166	-10.7879
NIC195	-17.9585
NIC199	-10.039
NIC2	-16.9216
NIC207	-15.1038
NIC231	-19.0621
NIC236	-17.7453
NIC242	-20.0155
NIC251	-13.5562
NIC252	-8.6966
NIC255	-11.609
NIC256	-17.6026
NIC258	-3.2464
NIC259	-18.8099
NIC260	-7.4246
NIC261	-17.7913
NIC262	-7.0031
NIC265	-12.3126
NIC266	-9.8524
NIC267	-23.825
NIC268	-20.4736
NIC269	-0.050856
NIC271	-18.3736
NIC272	-15.0679
NIC274	-9.9566
NIC275	-9.9814
NIC276	-9.8201
NIC277	-26.4803
NIC3	-6.2359
NIC513	-14.7212
NIC514	-15.5903
NIC522	-6.1867
NIC523	-4.5056
PB303	-3.4945
PS2025	-5.6611
PX179	-18.4174
QG2075	-7.8063
QG536	-14.2755
QG556	-9.0862
QG557	-23.021
QW947	-21.4304
QX1212	-0.025589
QX1233	-10.8144
QX1791	-5.1544
QX1792	-15.7904
QX1793	-8.6301
QX1794	-6.6584
RC301	-9.1515
WN2001	-9.8378
WN2002	-8.3656
WN2033	-8.9068
XZ1513	-4.5322
XZ1514	0.34956
XZ1516	-6.246
