strain	median
AB1	-46.2877
BRC20067	-7.3528
CB4852	-40.8324
CB4854	-71.0744
CB4856	-88.6115
CB4932	-32.3853
CX11254	-26.7698
CX11262	-90.7175
CX11264	-9.0649
CX11271	-151.343
CX11276	-54.2794
CX11285	-146.366
CX11292	-104.6424
CX11307	-33.361
CX11314	-109.2129
CX11315	-65.437
DL200	-40.9121
DL226	-41.8358
DL238	-1.8291
ECA246	-20.1412
ECA248	-81.1565
ECA250	-64.3644
ECA251	-119.5165
ECA252	-11.2086
ECA259	-91.2018
ECA348	71.2365
ECA349	1.4508
ECA36	-128.8676
ECA363	-57.0254
ECA372	-14.8002
ECA396	-123.6908
ED3005	-28.751
ED3011	-35.6009
ED3012	-109.6349
ED3017	-113.9036
ED3040	-99.3509
ED3046	-23.5607
ED3048	-79.545
ED3049	-106.6964
ED3052	-73.4912
ED3073	-25.648
ED3077	-91.2165
EG4347	-75.468
EG4349	-5.4901
EG4724	-57.9724
EG4725	-59.393
EG4946	-49.0889
GXW1	-88.0738
JT11398	-101.8775
JU1088	-81.1814
JU1172	-154.461
JU1200	-44.3707
JU1212	-103.4199
JU1213	-76.2301
JU1242	-83.6562
JU1246	-127.5961
JU1395	-70.8162
JU1400	-21.6983
JU1409	-129.885
JU1440	-24.1673
JU1491	-32.5733
JU1530	-74.9914
JU1543	3.985
JU1568	19.3126
JU1580	-44.8794
JU1581	-132.0236
JU1586	-122.4268
JU1652	-29.9812
JU1793	-56.3103
JU1808	-53.3944
JU1896	-69.7943
JU2001	-93.276
JU2007	-60.1919
JU2131	-15.6888
JU2141	-28.3858
JU2234	-30.213
JU2464	-45.4489
JU2466	-60.2976
JU2513	-108.9963
JU2519	-24.0819
JU2522	-65.3281
JU2526	-88.0511
JU2534	-57.9554
JU2565	-46.6444
JU2566	-71.4344
JU2578	-113.6111
JU258	-50.4428
JU2587	-27.6512
JU2593	-51.8388
JU2600	-61.4914
JU2800	-124.7055
JU2862	-162.5029
JU2866	-32.5468
JU2878	-143.584
JU2879	-87.5578
JU2906	-11.829
JU310	-42.1969
JU311	-81.4288
JU3125	8.5548
JU3127	-106.3218
JU3134	-108.075
JU3135	-117.1676
JU3137	-41.7582
JU3140	-90.231
JU323	-22.259
JU346	-20.914
JU360	-149.1651
JU367	-56.783
JU393	-92.5202
JU394	-49.4474
JU397	-101.0234
JU406	-29.9691
JU440	-109.779
JU561	-53.7805
JU642	-62.675
JU751	-83.3547
JU774	-64.6854
JU775	-56.5704
JU778	-63.5214
JU782	-24.8672
JU792	0.88904
JU830	7.3378
JU847	-68.2654
KR314	21.8534
LKC34	-79.3214
LSJ1	-45.4362
MY1	-31.2215
MY10	-4.2432
MY16	-29.6395
MY18	-157.6965
MY2212	-140.7652
MY23	-107.442
MY2453	11.107
MY2530	-57.3325
MY2535	-67.7257
MY2573	-10.0194
MY2693	-39.2751
MY2741	-37.7722
MY679	0.47885
MY920	-55.8562
N2	3.7033
NIC1	-69.0536
NIC1107	5.8605
NIC166	-100.3777
NIC195	-79.2946
NIC199	-41.6831
NIC2	-61.1735
NIC207	-70.7785
NIC231	-111.2399
NIC236	-65.7448
NIC242	-93.6299
NIC251	-77.7798
NIC252	-91.9541
NIC255	-68.4528
NIC256	-74.082
NIC258	-24.0244
NIC259	-132.1958
NIC260	16.0268
NIC261	-121.9135
NIC262	-42.978
NIC265	-64.4851
NIC266	-89.8313
NIC267	-125.9395
NIC268	-124.3558
NIC269	-13.0975
NIC271	-115.4903
NIC272	-66.7855
NIC274	-54.7415
NIC275	-56.1393
NIC276	-92.766
NIC277	-137.407
NIC3	-39.0941
NIC513	-119.6632
NIC514	-74.0492
NIC522	-63.5156
NIC523	-46.9788
PB303	21.9533
PS2025	-49.1268
PX179	-98.7024
QG2075	-73.8141
QG536	-120.1973
QG556	-42.7762
QG557	-60.887
QW947	-58.429
QX1212	3.3617
QX1233	-64.6602
QX1791	-35.4991
QX1792	-65.7337
QX1793	-48.1218
QX1794	-56.4561
RC301	-58.9868
WN2001	-64.8313
WN2002	-6.5728
WN2033	-30.4672
XZ1513	14.9407
XZ1514	1.7749
XZ1516	-58.296
