strain	median
AB1	-7.69
BRC20067	-7.669
CB4852	-10.9915
CB4854	-20.9548
CB4856	-14.7858
CB4932	-7.1334
CX11254	-8.9075
CX11262	-16.6623
CX11264	-0.040359
CX11271	-16.5765
CX11276	-15.7186
CX11285	-16.776
CX11292	-20.3446
CX11307	-12.1278
CX11314	-13.0896
CX11315	-5.4081
DL200	-7.0205
DL226	-3.3563
DL238	-3.2674
ECA246	-7.7673
ECA248	-19.6595
ECA250	-14.0898
ECA251	-23.0452
ECA252	-1.9249
ECA259	-13.5955
ECA348	8.2042
ECA349	-6.4614
ECA36	-17.1074
ECA363	-21.5323
ECA372	-4.782
ECA396	-25.0337
ED3005	-11.476
ED3011	-14.0687
ED3012	-19.9077
ED3017	-19.446
ED3040	-13.9309
ED3046	-3.574
ED3048	-13.0569
ED3049	-12.0484
ED3052	-24.1657
ED3073	-8.7353
ED3077	-15.9834
EG4347	-15.8986
EG4349	-7.2244
EG4724	-0.11255
EG4725	-6.9201
EG4946	-8.4917
GXW1	-13.0708
JT11398	-17.4342
JU1088	-5.2917
JU1172	-20.1766
JU1200	-14.4572
JU1212	-20.0661
JU1213	-16.242
JU1242	-11.1465
JU1246	-14.263
JU1395	-12.9787
JU1400	-3.3342
JU1409	-15.7138
JU1440	-4.4786
JU1491	-7.6568
JU1530	-13.1229
JU1543	-8.2551
JU1568	-2.5048
JU1580	-8.5919
JU1581	-24.2251
JU1586	-20.9713
JU1652	-6.1775
JU1793	-10.8602
JU1808	-10.7507
JU1896	-13.5533
JU2001	-17.9714
JU2007	-5.2905
JU2131	-1.1601
JU2141	-2.4231
JU2234	-4.1857
JU2464	-5.7581
JU2466	-6.3963
JU2513	-21.0393
JU2519	1.3378
JU2522	-6.1289
JU2526	-13.822
JU2534	-1.8132
JU2565	-8.4154
JU2566	-7.782
JU2578	-23.1914
JU258	-14.4761
JU2587	-4.9065
JU2593	-10.1218
JU2600	-9.8561
JU2800	-14.7967
JU2862	-21.366
JU2866	-8.9531
JU2878	-31.6861
JU2879	-17.2237
JU2906	-18.729
JU310	-5.0501
JU311	-13.5113
JU3125	-1.8804
JU3127	-13.8004
JU3134	-20.0559
JU3135	-17.4447
JU3137	-10.8782
JU3140	-13.3143
JU323	-13.1122
JU346	-9.3069
JU360	-24.0559
JU367	-9.3043
JU393	-9.933
JU394	-14.6033
JU397	-13.886
JU406	-7.6219
JU440	-15.3844
JU561	-8.6127
JU642	-17.3032
JU751	-6.6487
JU774	-11.316
JU775	-4.7921
JU778	-12.9882
JU782	-1.3647
JU792	-4.5237
JU830	-2.3672
JU847	-9.0278
KR314	-4.3407
LKC34	-20.4703
LSJ1	-9.314
MY1	-6.1871
MY10	-8.3859
MY16	-8.6144
MY18	-14.1103
MY2212	-22.6617
MY23	-10.185
MY2453	0.2817
MY2530	-14.9236
MY2535	-15.4922
MY2573	-9.3967
MY2693	-11.5859
MY2741	-10.6381
MY679	-7.3267
MY920	-14.0794
N2	0.51745
NIC1	-12.8778
NIC1107	-4.0501
NIC166	-15.6891
NIC195	-18.4002
NIC199	-7.0522
NIC2	-13.0279
NIC207	-18.5295
NIC231	-22.498
NIC236	-18.7294
NIC242	-21.4862
NIC251	-8.3928
NIC252	-6.5669
NIC255	-10.3868
NIC256	-14.6293
NIC258	-2.4636
NIC259	-18.5136
NIC260	-4.1689
NIC261	-20.0295
NIC262	-8.1095
NIC265	-13.3889
NIC266	-14.5746
NIC267	-22.394
NIC268	-18.1863
NIC269	-4.8908
NIC271	-16.2389
NIC272	-16.849
NIC274	-12.2137
NIC275	-9.4026
NIC276	-13.5403
NIC277	-23.8852
NIC3	-6.0837
NIC513	-20.2588
NIC514	-16.7239
NIC522	-11.149
NIC523	-5.7047
PB303	1.0521
PS2025	-6.6082
PX179	-22.9723
QG2075	-8.8013
QG536	-17.2688
QG556	-16.5018
QG557	-19.9113
QW947	-20.6935
QX1212	-0.16103
QX1233	-9.3038
QX1791	-8.318
QX1792	-12.8496
QX1793	-8.3471
QX1794	-6.6139
RC301	-8.1622
WN2001	-14.5478
WN2002	-7.114
WN2033	-7.4374
XZ1513	-1.8536
XZ1514	-0.029574
XZ1516	-11.9363
