strain	median
AB1	-31.4336
BRC20067	6.9442
CB4852	5.1198
CB4854	-59.271
CB4856	-64.0992
CB4932	-7.7206
CX11254	-19.2855
CX11262	-97.3557
CX11264	-4.8148
CX11271	-95.388
CX11276	-50.0815
CX11285	-130.2883
CX11292	-87.9642
CX11307	5.0219
CX11314	-51.0194
CX11315	-9.437
DL200	-22.9909
DL226	-14.0635
DL238	33.7333
ECA246	-6.3548
ECA248	-54.117
ECA250	-29.8106
ECA251	-46.1765
ECA252	-4.0551
ECA259	-33.9096
ECA348	100.7594
ECA349	37.2893
ECA36	-160.8342
ECA363	-97.8888
ECA372	17.3046
ECA396	-128.6629
ED3005	-3.6967
ED3011	-30.7823
ED3012	-81.3012
ED3017	-81.0114
ED3040	-87.384
ED3046	-26.0672
ED3048	-47.205
ED3049	-79.2279
ED3052	-73.7947
ED3073	-12.8591
ED3077	-55.5682
EG4347	-50.0588
EG4349	16.0699
EG4724	-43.6478
EG4725	-27.2051
EG4946	4.1992
GXW1	-41.9733
JT11398	-46.1775
JU1088	-52.1136
JU1172	-102.728
JU1200	-39.3806
JU1212	-73.6799
JU1213	-39.3893
JU1242	-27.6071
JU1246	-101.9803
JU1395	-20.8912
JU1400	-8.2836
JU1409	-108.3579
JU1440	9.9574
JU1491	10.134
JU1530	-20.0468
JU1543	-4.7633
JU1568	40.1935
JU1580	-50.3018
JU1581	-113.2823
JU1586	-96.3877
JU1652	-26.2832
JU1793	-48.3255
JU1808	-27.2827
JU1896	-52.7448
JU2001	-77.174
JU2007	19.5376
JU2131	-26.9743
JU2141	5.2206
JU2234	12.2253
JU2464	-31.11
JU2466	-19.0328
JU2513	-88.6809
JU2519	-3.2868
JU2522	-30.157
JU2526	-62.5728
JU2534	-27.8826
JU2565	-41.3691
JU2566	-54.5559
JU2578	-101.5307
JU258	-28.8521
JU2587	37.8815
JU2593	17.1347
JU2600	-53.7484
JU2800	-103.0639
JU2862	-107.7717
JU2866	-11.1615
JU2878	-151.1915
JU2879	-77.4311
JU2906	-21.484
JU310	-8.1572
JU311	-57.6069
JU3125	43.5531
JU3127	-48.737
JU3134	-66.1942
JU3135	-110.393
JU3137	-29.5067
JU3140	-71.4733
JU323	1.6988
JU346	-1.7822
JU360	-128.1349
JU367	-6.2316
JU393	-70.8444
JU394	-35.2599
JU397	-91.2958
JU406	11.0412
JU440	-63.8616
JU561	-44.7525
JU642	-57.8015
JU751	-52.6124
JU774	-57.5693
JU775	9.1625
JU778	-46.2436
JU782	3.308
JU792	30.3959
JU830	-8.1684
JU847	-44.2935
KR314	11.8881
LKC34	-72.0327
LSJ1	-8.8322
MY1	24.049
MY10	-5.986
MY16	-25.9321
MY18	-135.6705
MY2212	-90.6846
MY23	-43.0547
MY2453	46.5786
MY2530	-27.969
MY2535	-44.9644
MY2573	11.5675
MY2693	-16.4021
MY2741	-27.5276
MY679	35.2598
MY920	-38.3149
N2	6.3275
NIC1	-36.6295
NIC1107	49.3211
NIC166	-61.0289
NIC195	-57.8636
NIC199	-13.2195
NIC2	-39.489
NIC207	-30.3329
NIC231	-95.7015
NIC236	-41.7134
NIC242	-39.311
NIC251	-78.3081
NIC252	-111.4993
NIC255	-54.9546
NIC256	-57.4357
NIC258	-18.5434
NIC259	-113.2187
NIC260	50.6604
NIC261	-115.1088
NIC262	-38.5989
NIC265	-22.675
NIC266	-36.3841
NIC267	-99.6337
NIC268	-136.3861
NIC269	-13.5706
NIC271	-44.9893
NIC272	-16.7094
NIC274	-49.4962
NIC275	-19.1848
NIC276	-28.745
NIC277	-100.9547
NIC3	-18.1705
NIC513	-92.1776
NIC514	-48.905
NIC522	-23.0386
NIC523	-45.1429
PB303	37.7701
PS2025	23.1057
PX179	-50.5871
QG2075	-38.9824
QG536	-72.0489
QG556	-24.4634
QG557	-61.5031
QW947	-40.8449
QX1212	28.4209
QX1233	-56.5201
QX1791	-21.8326
QX1792	-39.5135
QX1793	-1.3109
QX1794	-18.7877
RC301	-38.9354
WN2001	-61.4645
WN2002	9.5298
WN2033	-34.5401
XZ1513	55.3478
XZ1514	19.4727
XZ1516	-49.12
