strain	median
AB1	-6.8473
BRC20067	-8.143
CB4852	-9.7337
CB4854	-20.5346
CB4856	-13.6903
CB4932	-8.8511
CX11254	-7.5675
CX11262	-16.5932
CX11264	0.16225
CX11271	-16.4918
CX11276	-15.2254
CX11285	-14.9579
CX11292	-16.0734
CX11307	-9.7516
CX11314	-9.6559
CX11315	-7.9183
DL200	-8.2002
DL226	-3.9189
DL238	-4.8531
ECA246	-7.3278
ECA248	-18.1636
ECA250	-12.9867
ECA251	-21.5918
ECA252	-1.5725
ECA259	-13.9818
ECA348	8.7987
ECA349	-5.8831
ECA36	-21.5111
ECA363	-12.633
ECA372	-5.9256
ECA396	-22.6043
ED3005	-11.4823
ED3011	-14.7976
ED3012	-15.4123
ED3017	-20.97
ED3040	-12.8762
ED3046	-3.6549
ED3048	-11.3068
ED3049	-8.6246
ED3052	-18.725
ED3073	-8.0435
ED3077	-13.0154
EG4347	-14.1532
EG4349	-6.7884
EG4724	-2.0598
EG4725	-7.3042
EG4946	-5.1787
GXW1	-14.8562
JT11398	-15.2325
JU1088	-3.8464
JU1172	-20.0225
JU1200	-13.0836
JU1212	-15.7136
JU1213	-17.3701
JU1242	-8.7473
JU1246	-12.4583
JU1395	-13.1375
JU1400	-1.6126
JU1409	-13.9669
JU1440	-4.4685
JU1491	-6.5307
JU1530	-12.5181
JU1543	-9.1047
JU1568	-2.2757
JU1580	-9.7913
JU1581	-21.6758
JU1586	-22.1078
JU1652	-8.7063
JU1793	-10.8673
JU1808	-10.3688
JU1896	-16.4274
JU2001	-16.3337
JU2007	-7.2334
JU2131	0.73852
JU2141	-3.7307
JU2234	-4.6833
JU2464	-4.8972
JU2466	-6.7036
JU2513	-22.6752
JU2519	-1.6166
JU2522	-6.1434
JU2526	-12.8769
JU2534	-2.5223
JU2565	-7.2772
JU2566	-6.7449
JU2578	-21.5435
JU258	-14.613
JU2587	-4.2975
JU2593	-10.4003
JU2600	-7.769
JU2800	-18.4377
JU2862	-23.0512
JU2866	-9.0572
JU2878	-32.319
JU2879	-12.0266
JU2906	-16.1169
JU310	-6.0129
JU311	-13.2162
JU3125	-3.3098
JU3127	-12.942
JU3134	-21.1692
JU3135	-19.438
JU3137	-10.3315
JU3140	-13.6654
JU323	-13.1908
JU346	-8.2994
JU360	-21.7093
JU367	-6.6108
JU393	-11.6348
JU394	-15.8793
JU397	-15.4366
JU406	-5.9582
JU440	-9.1454
JU561	-11.4968
JU642	-18.8917
JU751	-8.4602
JU774	-14.6569
JU775	-4.8264
JU778	-13.9571
JU782	-1.0891
JU792	-5.2447
JU830	-0.67562
JU847	-11.9295
KR314	-4.8671
LKC34	-18.2537
LSJ1	-5.9923
MY1	-6.1925
MY10	-9.9444
MY16	-8.1879
MY18	-12.5814
MY2212	-24.69
MY23	-9.1975
MY2453	1.7056
MY2530	-14.6998
MY2535	-14.3484
MY2573	-10.6756
MY2693	-10.6042
MY2741	-12.0852
MY679	-6.1564
MY920	-12.8851
N2	0.76994
NIC1	-14.3172
NIC1107	-2.2086
NIC166	-13.6283
NIC195	-18.1725
NIC199	-6.5032
NIC2	-12.4253
NIC207	-18.0921
NIC231	-20.8443
NIC236	-17.1248
NIC242	-17.1925
NIC251	-7.8091
NIC252	-8.6728
NIC255	-8.1455
NIC256	-14.8759
NIC258	-3.6142
NIC259	-19.0722
NIC260	-2.167
NIC261	-18.4416
NIC262	-8.7077
NIC265	-13.4661
NIC266	-11.967
NIC267	-22.19
NIC268	-18.6424
NIC269	-2.6649
NIC271	-18.0139
NIC272	-14.1238
NIC274	-12.313
NIC275	-8.9375
NIC276	-14.4778
NIC277	-23.4473
NIC3	-5.6547
NIC513	-17.8793
NIC514	-13.614
NIC522	-10.1383
NIC523	-5.0058
PB303	0.022451
PS2025	-4.8928
PX179	-19.7715
QG2075	-7.2642
QG536	-16.8672
QG556	-12.6326
QG557	-20.3188
QW947	-19.6367
QX1212	0.12624
QX1233	-11.2865
QX1791	-6.8619
QX1792	-13.3873
QX1793	-10.0486
QX1794	-5.7266
RC301	-7.6992
WN2001	-13.4822
WN2002	-8.461
WN2033	-7.9162
XZ1513	-3.1748
XZ1514	3.1098
XZ1516	-9.4824
