strain	median
AB1	28.7302
BRC20067	4.9487
CB4852	17.7307
CB4854	52.6516
CB4856	76.4182
CB4932	15.5663
CX11254	25.6918
CX11262	70.796
CX11264	0.16138
CX11271	130.4779
CX11276	43.3021
CX11285	146.7929
CX11292	83.8974
CX11307	31.0309
CX11314	56.1898
CX11315	10.5441
DL200	43.823
DL226	29.8003
DL238	-10.5938
ECA246	13.4921
ECA248	62.9924
ECA250	55.6925
ECA251	92.6145
ECA252	16.1944
ECA259	92.0746
ECA348	-81.3466
ECA349	3.3078
ECA36	200.2491
ECA363	83.9538
ECA372	-3.8328
ECA396	149.2075
ED3005	-2.0669
ED3011	30.2521
ED3012	91.0102
ED3017	102.1117
ED3040	66.5488
ED3046	10.647
ED3048	32.369
ED3049	92.3437
ED3052	60.765
ED3073	30.5103
ED3077	63.5332
EG4347	44.9783
EG4349	-10.1955
EG4724	46.2909
EG4725	32.8949
EG4946	5.221
GXW1	71.8919
JT11398	74.5021
JU1088	54.0907
JU1172	135.0971
JU1200	28.8832
JU1212	109.1074
JU1213	59.6899
JU1242	55.3438
JU1246	118.8894
JU1395	38.7799
JU1400	12.8926
JU1409	137.0008
JU1440	-1.9493
JU1491	7.8843
JU1530	57.4258
JU1543	-7.7695
JU1568	-19.9684
JU1580	39.757
JU1581	119.2057
JU1586	104.6192
JU1652	18.5055
JU1793	39.3297
JU1808	31.0398
JU1896	87.6151
JU2001	101.5979
JU2007	-8.0811
JU2131	19.1262
JU2141	28.2185
JU2234	-13.8834
JU2464	35.9684
JU2466	44.7975
JU2513	76.8864
JU2519	43.2894
JU2522	72.687
JU2526	83.592
JU2534	53.1951
JU2565	35.675
JU2566	70.8297
JU2578	102.3911
JU258	15.0785
JU2587	5.6625
JU2593	42.9934
JU2600	7.5967
JU2800	128.3894
JU2862	113.0993
JU2866	-1.4709
JU2878	159.9977
JU2879	104.8335
JU2906	14.6144
JU310	33.7104
JU311	59.3274
JU3125	-26.8005
JU3127	102.7016
JU3134	102.0676
JU3135	99.3552
JU3137	30.5659
JU3140	94.9547
JU323	12.4598
JU346	20.5349
JU360	120.939
JU367	37.0985
JU393	100.2686
JU394	44.4754
JU397	114.8178
JU406	21.6848
JU440	68.4044
JU561	54.0489
JU642	61.6145
JU751	33.561
JU774	68.0618
JU775	26.0331
JU778	68.9007
JU782	18.9722
JU792	-38.43
JU830	33.0835
JU847	44.5913
KR314	-27.0525
LKC34	85.5885
LSJ1	46.9081
MY1	-2.9761
MY10	-11.8849
MY16	5.436
MY18	125.6329
MY2212	108.3413
MY23	55.4615
MY2453	-33.9825
MY2530	49.9076
MY2535	69.6385
MY2573	3.5072
MY2693	35.1654
MY2741	31.0314
MY679	-19.4622
MY920	67.0678
N2	-4.7332
NIC1	45.6555
NIC1107	-33.9017
NIC166	65.3086
NIC195	59.0323
NIC199	77.9207
NIC2	41.2375
NIC207	28.4652
NIC231	115.613
NIC236	51.2915
NIC242	57.5504
NIC251	75.3411
NIC252	160.7942
NIC255	53.4182
NIC256	70.9803
NIC258	35.9964
NIC259	116.6567
NIC260	-58.2083
NIC261	110.0532
NIC262	62.8209
NIC265	48.7649
NIC266	63.9102
NIC267	98.8619
NIC268	176.5068
NIC269	11.4124
NIC271	74.3055
NIC272	66.5155
NIC274	46.3494
NIC275	41.9904
NIC276	58.0498
NIC277	95.132
NIC3	24.3746
NIC513	103.5809
NIC514	76.2816
NIC522	59.2175
NIC523	36.3521
PB303	-26.8884
PS2025	35.5171
PX179	85.002
QG2075	73.2624
QG536	96.1902
QG556	39.2676
QG557	78.5383
QW947	25.0837
QX1212	-21.9992
QX1233	72.5299
QX1791	50.2577
QX1792	47.4975
QX1793	66.9678
QX1794	38.1634
RC301	38.5937
WN2001	54.4636
WN2002	3.5728
WN2033	10.2765
XZ1513	-16.6335
XZ1514	-7.3599
XZ1516	80.7384
