strain	median
AB1	-39.0257
BRC20067	-1.4097
CB4852	-25.828
CB4854	-68.8107
CB4856	-81.0088
CB4932	-25.9749
CX11254	-25.5499
CX11262	-78.4022
CX11264	2.2859
CX11271	-139.0856
CX11276	-39.434
CX11285	-142.1579
CX11292	-92.611
CX11307	-12.492
CX11314	-94.2899
CX11315	-30.4731
DL200	-37.898
DL226	-29.4822
DL238	3.2201
ECA246	-13.1341
ECA248	-68.8625
ECA250	-50.4855
ECA251	-88.0769
ECA252	-11.8501
ECA259	-71.0343
ECA348	79.2159
ECA349	8.5932
ECA36	-134.4243
ECA363	-55.4832
ECA372	-12.6222
ECA396	-128.4056
ED3005	-20.0331
ED3011	-28.7188
ED3012	-101.2557
ED3017	-94.9192
ED3040	-96.4807
ED3046	-23.4329
ED3048	-58.5243
ED3049	-95.4948
ED3052	-66.9143
ED3073	-17.8506
ED3077	-68.7838
EG4347	-64.777
EG4349	0.55948
EG4724	-53.3079
EG4725	-49.4485
EG4946	-32.1133
GXW1	-74.0668
JT11398	-87.9837
JU1088	-69.2158
JU1172	-139.3832
JU1200	-37.3735
JU1212	-99.3604
JU1213	-62.6162
JU1242	-64.8649
JU1246	-121.9967
JU1395	-58.0692
JU1400	-15.4355
JU1409	-125.3491
JU1440	-9.3257
JU1491	-20.7498
JU1530	-71.2132
JU1543	3.6641
JU1568	21.9111
JU1580	-59.6839
JU1581	-119.2693
JU1586	-119.4661
JU1652	-29.9155
JU1793	-58.0425
JU1808	-41.5061
JU1896	-65.8288
JU2001	-89.9744
JU2007	-39.1069
JU2131	-6.0204
JU2141	-18.7499
JU2234	-14.3604
JU2464	-43.9281
JU2466	-51.8355
JU2513	-102.6869
JU2519	-25.9825
JU2522	-60.6422
JU2526	-73.7041
JU2534	-62.0174
JU2565	-35.7156
JU2566	-70.5739
JU2578	-108.0035
JU258	-42.044
JU2587	-8.1165
JU2593	-32.2008
JU2600	-39.5155
JU2800	-95.5628
JU2862	-141.1715
JU2866	-12.2489
JU2878	-137.653
JU2879	-78.8544
JU2906	-20.3009
JU310	-36.9268
JU311	-73.9391
JU3125	21.375
JU3127	-86.248
JU3134	-99.9479
JU3135	-103.5084
JU3137	-27.2284
JU3140	-77.8901
JU323	-9.7324
JU346	-16.011
JU360	-137.7601
JU367	-50.9332
JU393	-87.3498
JU394	-43.3448
JU397	-81.5645
JU406	-22.377
JU440	-96.8033
JU561	-60.9796
JU642	-60.3201
JU751	-43.7242
JU774	-59.9405
JU775	-40.5036
JU778	-60.2244
JU782	-16.4608
JU792	19.42
JU830	11.8145
JU847	-53.2595
KR314	22.8008
LKC34	-79.3915
LSJ1	-31.1158
MY1	-18.215
MY10	-0.009552
MY16	-29.6399
MY18	-146.5273
MY2212	-117.0782
MY23	-89.5513
MY2453	22.0246
MY2530	-49.9134
MY2535	-62.009
MY2573	-10.1197
MY2693	-34.1445
MY2741	-30.384
MY679	4.7356
MY920	-49.3787
N2	4.9569
NIC1	-55.2278
NIC1107	14.7556
NIC166	-91.7705
NIC195	-72.0851
NIC199	-36.4149
NIC2	-48.1503
NIC207	-58.4599
NIC231	-99.9402
NIC236	-54.3987
NIC242	-79.5688
NIC251	-83.8331
NIC252	-91.1145
NIC255	-52.9636
NIC256	-67.5745
NIC258	-29.8215
NIC259	-128.78
NIC260	27.6632
NIC261	-120.2892
NIC262	-42.7494
NIC265	-54.5536
NIC266	-81.2207
NIC267	-129.633
NIC268	-122.651
NIC269	-10.0887
NIC271	-98.3807
NIC272	-48.6378
NIC274	-47.8559
NIC275	-48.4868
NIC276	-75.8042
NIC277	-126.0871
NIC3	-32.8905
NIC513	-106.932
NIC514	-61.6126
NIC522	-50.8383
NIC523	-44.0284
PB303	30.2288
PS2025	-30.9695
PX179	-84.4415
QG2075	-60.922
QG536	-103.476
QG556	-42.3952
QG557	-61.4988
QW947	-51.5794
QX1212	11.51
QX1233	-67.2468
QX1791	-25.1237
QX1792	-55.4275
QX1793	-45.5177
QX1794	-45.6691
RC301	-55.0253
WN2001	-68.8145
WN2002	1.0323
WN2033	-21.6261
XZ1513	21.946
XZ1514	-0.34283
XZ1516	-58.9093
