strain	median
AB1	-6.0493
BRC20067	-6.497
CB4852	-8.1482
CB4854	-20.4509
CB4856	-11.7002
CB4932	-6.1797
CX11254	-8.6384
CX11262	-16.4383
CX11264	2.4754
CX11271	-15.4917
CX11276	-14.0489
CX11285	-11.8944
CX11292	-17.9833
CX11307	-9.9323
CX11314	-8.0573
CX11315	-5.6829
DL200	-4.5422
DL226	1.1428
DL238	-1.9599
ECA246	-5.7774
ECA248	-19.8717
ECA250	-14.2771
ECA251	-20.7192
ECA252	-2.8898
ECA259	-10.2752
ECA348	10.9308
ECA349	-4.3513
ECA36	-16.0918
ECA363	-24.9767
ECA372	-2.7834
ECA396	-20.8438
ED3005	-10.7799
ED3011	-11.3918
ED3012	-16.446
ED3017	-18.5197
ED3040	-11.2352
ED3046	-6.2964
ED3048	-11.9209
ED3049	-11.6216
ED3052	-22.992
ED3073	-9.8931
ED3077	-7.2879
EG4347	-15.8574
EG4349	-3.9107
EG4724	0.14281
EG4725	-5.6732
EG4946	-6.7652
GXW1	-9.9861
JT11398	-15.2943
JU1088	-5.233
JU1172	-17.075
JU1200	-8.0986
JU1212	-19.9431
JU1213	-12.669
JU1242	-6.1283
JU1246	-11.8705
JU1395	-10.0355
JU1400	-0.94423
JU1409	-13.0704
JU1440	-1.6904
JU1491	-8.1981
JU1530	-8.2193
JU1543	-6.2238
JU1568	-2.107
JU1580	-7.2141
JU1581	-22.9682
JU1586	-19.2969
JU1652	-4.5659
JU1793	-9.9982
JU1808	-11.3825
JU1896	-11.6839
JU2001	-18.7008
JU2007	1.503
JU2131	2.3721
JU2141	0.68349
JU2234	-4.0878
JU2464	-5.1232
JU2466	-4.9776
JU2513	-18.468
JU2519	0.97783
JU2522	-4.0807
JU2526	-12.6773
JU2534	-0.01812
JU2565	-6.5736
JU2566	-5.4391
JU2578	-21.7036
JU258	-11.1799
JU2587	-1.1498
JU2593	-3.5494
JU2600	-11.8163
JU2800	-12.7004
JU2862	-21.4191
JU2866	-7.8293
JU2878	-29.7506
JU2879	-16.8026
JU2906	-15.0983
JU310	-3.0473
JU311	-12.9452
JU3125	-0.92684
JU3127	-15.2465
JU3134	-16.9944
JU3135	-16.2715
JU3137	-9.631
JU3140	-10.4017
JU323	-13.1496
JU346	-8.553
JU360	-21.8986
JU367	-9.8256
JU393	-11.5599
JU394	-12.0832
JU397	-13.5338
JU406	-3.7921
JU440	-10.9036
JU561	-4.9004
JU642	-16.0763
JU751	-9.6657
JU774	-7.7465
JU775	0.45167
JU778	-11.6598
JU782	-0.77891
JU792	-2.9271
JU830	-0.86057
JU847	-5.8338
KR314	0.58789
LKC34	-18.1467
LSJ1	-7.5064
MY1	-4.2472
MY10	-6.2154
MY16	-5.8978
MY18	-16.511
MY2212	-21.5298
MY23	-7.961
MY2453	2.2796
MY2530	-12.7111
MY2535	-11.7638
MY2573	-7.5992
MY2693	-11.2547
MY2741	-9.5611
MY679	-4.3083
MY920	-11.8684
N2	0.75016
NIC1	-12.9459
NIC1107	-1.4656
NIC166	-12.9688
NIC195	-17.5833
NIC199	-0.52947
NIC2	-8.5874
NIC207	-15.7377
NIC231	-18.7311
NIC236	-16.5508
NIC242	-18.5013
NIC251	-9.1564
NIC252	-5.9739
NIC255	-7.4187
NIC256	-13.0614
NIC258	-2.4419
NIC259	-17.05
NIC260	-1.3905
NIC261	-20.0645
NIC262	-8.0292
NIC265	-11.1893
NIC266	-12.9367
NIC267	-20.6023
NIC268	-12.891
NIC269	-9.2592
NIC271	-9.1531
NIC272	-15.8042
NIC274	-12.3689
NIC275	-7.5552
NIC276	-13.1734
NIC277	-22.3949
NIC3	-3.4763
NIC513	-23.4703
NIC514	-14.9429
NIC522	-11.1633
NIC523	-4.182
PB303	4.6943
PS2025	-5.159
PX179	-14.3925
QG2075	-8.3581
QG536	-13.4706
QG556	-15.5642
QG557	-12.7477
QW947	-17.1225
QX1212	2.3992
QX1233	-6.6412
QX1791	-8.1188
QX1792	-7.7308
QX1793	-6.6877
QX1794	-5.3965
RC301	-7.1752
WN2001	-17.0445
WN2002	-4.2017
WN2033	-6.9616
XZ1513	0.35334
XZ1514	-0.34583
XZ1516	-13.202
