strain	median
AB1	-5.3993
BRC20067	-8.4383
CB4852	-9.1417
CB4854	-18.7374
CB4856	-13.2392
CB4932	-7.7014
CX11254	-7.7101
CX11262	-15.604
CX11264	-0.5835
CX11271	-16.2145
CX11276	-12.4096
CX11285	-14.6521
CX11292	-15.6035
CX11307	-8.9416
CX11314	-9.732
CX11315	-6.8059
DL200	-8.449
DL226	-5.1537
DL238	-4.4071
ECA246	-6.8573
ECA248	-15.6775
ECA250	-12.0281
ECA251	-19.8515
ECA252	-1.8295
ECA259	-13.3897
ECA348	5.6821
ECA349	-5.8249
ECA36	-22.8393
ECA363	-8.8811
ECA372	-5.8542
ECA396	-26.271
ED3005	-11.0858
ED3011	-14.7816
ED3012	-14.947
ED3017	-20.1569
ED3040	-13.7795
ED3046	-3.2659
ED3048	-10.781
ED3049	-8.6874
ED3052	-18.9356
ED3073	-8.5305
ED3077	-13.6181
EG4347	-13.5253
EG4349	-6.3921
EG4724	-0.9302
EG4725	-6.6773
EG4946	-5.0318
GXW1	-14.8292
JT11398	-14.5525
JU1088	-3.4736
JU1172	-18.9788
JU1200	-10.7845
JU1212	-15.9291
JU1213	-16.2749
JU1242	-7.6299
JU1246	-12.5393
JU1395	-12.7405
JU1400	-2.6574
JU1409	-14.5174
JU1440	-4.5675
JU1491	-6.7596
JU1530	-11.7185
JU1543	-8.5551
JU1568	-2.9033
JU1580	-9.6481
JU1581	-20.3458
JU1586	-21.8618
JU1652	-7.8265
JU1793	-9.5872
JU1808	-11.6801
JU1896	-16.1981
JU2001	-17.8432
JU2007	-7.0124
JU2131	0.64725
JU2141	-4.9561
JU2234	-4.9745
JU2464	-4.4481
JU2466	-6.187
JU2513	-20.4304
JU2519	-1.8436
JU2522	-6.7321
JU2526	-13.4539
JU2534	-3.2655
JU2565	-7.4692
JU2566	-7.1817
JU2578	-19.6299
JU258	-13.8745
JU2587	-3.7304
JU2593	-10.9441
JU2600	-8.0996
JU2800	-15.8774
JU2862	-19.6749
JU2866	-9.8754
JU2878	-32.0367
JU2879	-11.4473
JU2906	-16.1269
JU310	-7.0312
JU311	-12.251
JU3125	-4.0904
JU3127	-11.4808
JU3134	-21.5154
JU3135	-15.983
JU3137	-9.9624
JU3140	-11.9798
JU323	-12.2181
JU346	-7.0194
JU360	-24.5227
JU367	-5.5757
JU393	-9.901
JU394	-14.3835
JU397	-12.3179
JU406	-7.3595
JU440	-10.4868
JU561	-11.8153
JU642	-17.6707
JU751	-9.3111
JU774	-13.682
JU775	-5.6644
JU778	-14.2339
JU782	-0.98966
JU792	-6.2308
JU830	-0.18438
JU847	-10.4307
KR314	-4.5976
LKC34	-17.9946
LSJ1	-8.6544
MY1	-5.9667
MY10	-11.9549
MY16	-10.0399
MY18	-12.6736
MY2212	-24.6036
MY23	-10.4812
MY2453	0.55213
MY2530	-13.664
MY2535	-12.173
MY2573	-11.2
MY2693	-9.119
MY2741	-11.2069
MY679	-6.0822
MY920	-11.7682
N2	0.76425
NIC1	-13.2097
NIC1107	-2.2031
NIC166	-12.492
NIC195	-17.0415
NIC199	-8.1197
NIC2	-11.5344
NIC207	-16.4063
NIC231	-18.8014
NIC236	-17.2535
NIC242	-15.1682
NIC251	-6.7141
NIC252	-7.115
NIC255	-10.1182
NIC256	-15.0869
NIC258	-3.7446
NIC259	-14.7878
NIC260	-3.5302
NIC261	-17.2124
NIC262	-9.4566
NIC265	-11.9588
NIC266	-11.3053
NIC267	-21.6243
NIC268	-16.767
NIC269	-3.9728
NIC271	-16.8276
NIC272	-13.9037
NIC274	-9.8448
NIC275	-8.8115
NIC276	-15.4445
NIC277	-23.9842
NIC3	-5.8069
NIC513	-18.6104
NIC514	-13.9921
NIC522	-10.3267
NIC523	-4.76
PB303	-0.089876
PS2025	-7.334
PX179	-18.4306
QG2075	-7.2398
QG536	-17.4088
QG556	-13.6113
QG557	-19.0727
QW947	-18.8431
QX1212	0.20285
QX1233	-11.0696
QX1791	-4.7658
QX1792	-14.7807
QX1793	-9.9427
QX1794	-5.5605
RC301	-8.0733
WN2001	-9.8003
WN2002	-9.1112
WN2033	-7.7868
XZ1513	-3.0344
XZ1514	2.4231
XZ1516	-10.4188
