strain	median
AB1	-26.7822
BRC20067	5.6447
CB4852	-10.6595
CB4854	-60.5961
CB4856	-73.7444
CB4932	-20.0255
CX11254	-19.1664
CX11262	-69.5203
CX11264	12.2697
CX11271	-112.6752
CX11276	-37.4749
CX11285	-122.1095
CX11292	-86.8594
CX11307	-0.32298
CX11314	-70.1347
CX11315	-20.6551
DL200	-26.1703
DL226	-16.199
DL238	18.2715
ECA246	-6.2571
ECA248	-52.4944
ECA250	-40.3127
ECA251	-65.3949
ECA252	-5.7142
ECA259	-54.9827
ECA348	81.1217
ECA349	22.9606
ECA36	-143.7566
ECA363	-67.3551
ECA372	0.83022
ECA396	-100.2865
ED3005	-17.2271
ED3011	-28.6663
ED3012	-86.8094
ED3017	-73.2972
ED3040	-83.4057
ED3046	-19.5804
ED3048	-54.101
ED3049	-89.4821
ED3052	-77.1377
ED3073	-10.5924
ED3077	-57.9594
EG4347	-56.9398
EG4349	2.1004
EG4724	-49.0155
EG4725	-41.8724
EG4946	-16.5316
GXW1	-61.0391
JT11398	-62.5331
JU1088	-60.2468
JU1172	-112.4258
JU1200	-35.4401
JU1212	-86.0364
JU1213	-42.7496
JU1242	-36.531
JU1246	-98.7512
JU1395	-42.3762
JU1400	-5.2659
JU1409	-115.615
JU1440	11.2891
JU1491	-11.8371
JU1530	-43.1923
JU1543	2.093
JU1568	33.9045
JU1580	-48.4275
JU1581	-99.476
JU1586	-107.034
JU1652	-29.096
JU1793	-37.6611
JU1808	-34.1276
JU1896	-40.938
JU2001	-71.9128
JU2007	-11.6519
JU2131	-13.5212
JU2141	-12.171
JU2234	9.7447
JU2464	-40.0658
JU2466	-35.7172
JU2513	-100.3205
JU2519	-22.8335
JU2522	-34.8501
JU2526	-53.4419
JU2534	-43.8965
JU2565	-41.5607
JU2566	-64.5168
JU2578	-114.7682
JU258	-36.8341
JU2587	2.8849
JU2593	-11.0655
JU2600	-38.2606
JU2800	-91.5993
JU2862	-111.8043
JU2866	2.3121
JU2878	-141.602
JU2879	-74.7932
JU2906	-11.2482
JU310	-25.8343
JU311	-58.4871
JU3125	28.4804
JU3127	-60.3601
JU3134	-84.8224
JU3135	-102.8012
JU3137	-27.3905
JU3140	-65.3097
JU323	-2.2665
JU346	-10.1338
JU360	-128.57
JU367	-30.0664
JU393	-72.6627
JU394	-37.2513
JU397	-89.8755
JU406	-11.4586
JU440	-65.4984
JU561	-41.2287
JU642	-51.1907
JU751	-35.7647
JU774	-47.9793
JU775	-17.9818
JU778	-55.4123
JU782	-5.8568
JU792	23.2898
JU830	-0.72968
JU847	-51.489
KR314	10.7173
LKC34	-79.6736
LSJ1	-19.835
MY1	4.2968
MY10	-6.4398
MY16	-26.6528
MY18	-125.0844
MY2212	-97.6671
MY23	-57.6211
MY2453	33.3893
MY2530	-34.0576
MY2535	-54.2912
MY2573	0.037262
MY2693	-23.0092
MY2741	-25.0645
MY679	15.5804
MY920	-39.4912
N2	3.9241
NIC1	-47.0748
NIC1107	33.6479
NIC166	-71.9866
NIC195	-60.9777
NIC199	-28.8921
NIC2	-39.5426
NIC207	-34.1983
NIC231	-99.9398
NIC236	-44.8038
NIC242	-57.3232
NIC251	-66.5142
NIC252	-85.0085
NIC255	-51.1658
NIC256	-60.1921
NIC258	-22.1813
NIC259	-116.4168
NIC260	38.0792
NIC261	-115.1458
NIC262	-35.149
NIC265	-35.4432
NIC266	-60.6072
NIC267	-103.948
NIC268	-123.5655
NIC269	-17.0814
NIC271	-77.161
NIC272	-30.5979
NIC274	-46.4588
NIC275	-37.3143
NIC276	-47.7698
NIC277	-104.7031
NIC3	-34.6481
NIC513	-81.3247
NIC514	-47.6969
NIC522	-36.6463
NIC523	-42.5919
PB303	32.5374
PS2025	-5.6106
PX179	-69.2073
QG2075	-46.4862
QG536	-89.7009
QG556	-41.6838
QG557	-61.108
QW947	-40.3853
QX1212	23.584
QX1233	-61.3398
QX1791	-25.7822
QX1792	-43.8108
QX1793	-35.2083
QX1794	-36.8642
RC301	-48.975
WN2001	-66.8487
WN2002	2.8302
WN2033	-33.6759
XZ1513	35.0768
XZ1514	4.53
XZ1516	-50.2934
