strain	median
AB1	-0.011199
BRC20067	-0.045084
CB4852	-0.020191
CB4854	-0.034051
CB4856	-0.058011
CB4932	-0.040627
CX11254	-0.0034615
CX11262	-0.067244
CX11264	-0.031891
CX11271	-0.1071
CX11276	-0.029468
CX11285	-0.05515
CX11292	-0.018292
CX11307	-0.026204
CX11314	-0.03177
CX11315	-0.07681
DL200	-0.024464
DL226	-0.020915
DL238	-0.055411
ECA246	-0.082106
ECA248	0.0428
ECA250	-0.02625
ECA251	-0.0066921
ECA252	-0.0018913
ECA259	-0.071103
ECA348	0.013721
ECA349	0.006469
ECA36	-0.26019
ECA363	-0.0868
ECA372	-0.0359
ECA396	-0.074076
ED3005	-0.024052
ED3011	-0.028689
ED3012	-0.083945
ED3017	-0.053938
ED3040	-0.067104
ED3046	0.0037268
ED3048	-0.081337
ED3049	-0.014797
ED3052	-0.047964
ED3073	-0.0054622
ED3077	-0.080716
EG4347	-0.04474
EG4349	-0.00068286
EG4724	-0.019729
EG4725	-0.01074
EG4946	-0.030934
GXW1	-0.028936
JT11398	-0.024272
JU1088	-0.038947
JU1172	-0.046858
JU1200	-0.050598
JU1212	-0.01146
JU1213	-0.053089
JU1242	-0.030803
JU1246	-0.024911
JU1395	-0.0051532
JU1400	0.003425
JU1409	-0.076923
JU1440	-0.0094311
JU1491	-0.0042162
JU1530	-0.004883
JU1543	-0.026099
JU1568	-0.039634
JU1580	-0.024458
JU1581	-0.071963
JU1586	-0.043596
JU1652	-0.032672
JU1793	-0.019503
JU1808	-0.041033
JU1896	-0.011934
JU2001	-0.014208
JU2007	-0.027912
JU2131	0.012092
JU2141	0.0016804
JU2234	-0.038995
JU2464	-0.01739
JU2466	0.008456
JU2513	-0.024465
JU2519	-0.015669
JU2522	-0.021112
JU2526	-0.068429
JU2534	-0.022687
JU2565	0.0029104
JU2566	-0.021667
JU2578	0.011795
JU258	-0.041828
JU2587	-0.027869
JU2593	-0.012594
JU2600	-0.041386
JU2800	-0.017519
JU2862	-0.063127
JU2866	-0.025463
JU2878	-0.051296
JU2879	-0.08104
JU2906	0.014983
JU310	-0.039429
JU311	-0.059576
JU3125	-0.095496
JU3127	0.010894
JU3134	-0.035357
JU3135	-0.035968
JU3137	-0.045805
JU3140	-0.01041
JU323	-0.025666
JU346	-0.015215
JU360	-0.043302
JU367	-0.04604
JU393	-0.032453
JU394	-0.0043254
JU397	-0.067924
JU406	-0.0069629
JU440	-0.061178
JU561	-0.066829
JU642	-0.082006
JU751	-0.043117
JU774	-0.06601
JU775	-0.0090408
JU778	-0.068611
JU782	-0.014802
JU792	-0.021793
JU830	-0.014816
JU847	-0.01782
KR314	-0.015663
LKC34	-0.010218
LSJ1	-0.057969
MY1	-0.010673
MY10	-0.013718
MY16	-0.024622
MY18	-0.051057
MY2212	0.0095527
MY23	-0.040099
MY2453	-0.018448
MY2530	-0.024349
MY2535	-0.021408
MY2573	-0.0077581
MY2693	-0.0029001
MY2741	-0.027925
MY679	-0.026377
MY920	-0.0033029
N2	-0.0058936
NIC1	-0.023892
NIC1107	-0.01068
NIC166	-0.024075
NIC195	-0.067019
NIC199	-0.019509
NIC2	-0.051655
NIC207	-0.034693
NIC231	-0.016008
NIC236	-0.051853
NIC242	-0.025686
NIC251	-0.028683
NIC252	-0.051067
NIC255	-0.057761
NIC256	-0.023396
NIC258	-0.0030224
NIC259	-0.057044
NIC260	-0.022914
NIC261	-0.030897
NIC262	-0.0074515
NIC265	-0.029291
NIC266	0.0020829
NIC267	-0.024204
NIC268	-0.14455
NIC269	-0.032629
NIC271	-0.014964
NIC272	-0.022653
NIC274	-0.047995
NIC275	-0.020225
NIC276	-0.080758
NIC277	-0.04327
NIC3	-0.026452
NIC513	-0.06393
NIC514	-0.071203
NIC522	-0.01229
NIC523	-0.037406
PB303	-0.040871
PS2025	-0.029311
PX179	-0.0079658
QG2075	-0.044179
QG536	-0.065701
QG556	0.0040432
QG557	-0.048095
QW947	-0.022908
QX1212	-0.012338
QX1233	-0.054514
QX1791	-0.04276
QX1792	-0.016117
QX1793	0.025033
QX1794	0.0043001
RC301	-0.046921
WN2001	-0.10081
WN2002	-0.024281
WN2033	-0.059263
XZ1513	-0.0046644
XZ1514	0.025994
XZ1516	-0.041779
