strain	median
AB1	-0.013366
BRC20067	-0.051843
CB4852	-0.021968
CB4854	-0.033305
CB4856	-0.091499
CB4932	-0.038971
CX11254	0.0052056
CX11262	-0.10906
CX11264	-0.054803
CX11271	-0.10741
CX11276	-0.035799
CX11285	-0.10288
CX11292	-0.02596
CX11307	-0.058159
CX11314	-0.048305
CX11315	-0.072934
DL200	-0.047596
DL226	-0.049136
DL238	-0.07191
ECA246	-0.075705
ECA248	0.054979
ECA250	-0.035934
ECA251	-0.0056861
ECA252	-0.00077105
ECA259	-0.11171
ECA348	0.026246
ECA349	0.017619
ECA36	-0.31452
ECA363	-0.11873
ECA372	-0.039132
ECA396	-0.11806
ED3005	-0.02601
ED3011	-0.043168
ED3012	-0.091761
ED3017	-0.084069
ED3040	-0.069887
ED3046	0.0075317
ED3048	-0.10052
ED3049	-0.021568
ED3052	-0.05847
ED3073	-0.0014568
ED3077	-0.12105
EG4347	-0.046109
EG4349	-0.00042567
EG4724	-0.027801
EG4725	-0.015057
EG4946	-0.050671
GXW1	-0.036144
JT11398	-0.025478
JU1088	-0.043289
JU1172	-0.088706
JU1200	-0.053962
JU1212	-0.013353
JU1213	-0.060437
JU1242	-0.052197
JU1246	-0.039913
JU1395	-0.0042115
JU1400	0.0052197
JU1409	-0.10105
JU1440	-0.017411
JU1491	-0.0022337
JU1530	-0.005734
JU1543	-0.033922
JU1568	-0.045578
JU1580	-0.050857
JU1581	-0.101
JU1586	-0.049468
JU1652	-0.05293
JU1793	-0.052993
JU1808	-0.050332
JU1896	-0.016197
JU2001	-0.023432
JU2007	-0.036361
JU2131	0.01752
JU2141	-0.0010543
JU2234	-0.048061
JU2464	-0.015848
JU2466	0.0068352
JU2513	-0.030887
JU2519	-0.024357
JU2522	-0.045646
JU2526	-0.10912
JU2534	-0.034275
JU2565	0.0074703
JU2566	-0.034661
JU2578	0.016532
JU258	-0.073424
JU2587	-0.025374
JU2593	-0.019217
JU2600	-0.060827
JU2800	-0.043352
JU2862	-0.1126
JU2866	-0.065784
JU2878	-0.06346
JU2879	-0.11463
JU2906	0.034218
JU310	-0.057556
JU311	-0.066114
JU3125	-0.11961
JU3127	0.020562
JU3134	-0.043289
JU3135	-0.071854
JU3137	-0.091429
JU3140	-0.015781
JU323	-0.029792
JU346	-0.022823
JU360	-0.047848
JU367	-0.053988
JU393	-0.059718
JU394	-0.0038799
JU397	-0.11708
JU406	-0.006389
JU440	-0.094364
JU561	-0.072901
JU642	-0.12354
JU751	-0.080185
JU774	-0.099417
JU775	-0.013872
JU778	-0.076257
JU782	-0.022431
JU792	-0.034681
JU830	-0.0064648
JU847	-0.036568
KR314	-0.016945
LKC34	-0.012412
LSJ1	-0.093393
MY1	-0.014779
MY10	-0.021447
MY16	-0.035189
MY18	-0.082952
MY2212	0.019488
MY23	-0.063021
MY2453	-0.019591
MY2530	-0.047653
MY2535	-0.054713
MY2573	-0.0083413
MY2693	-0.0035778
MY2741	-0.039797
MY679	-0.03533
MY920	-0.0010218
N2	-0.0058416
NIC1	-0.036404
NIC1107	-0.021525
NIC166	-0.027463
NIC195	-0.12041
NIC199	-0.032981
NIC2	-0.061647
NIC207	-0.056812
NIC231	-0.030002
NIC236	-0.059728
NIC242	-0.018113
NIC251	-0.042347
NIC252	-0.048622
NIC255	-0.094618
NIC256	-0.026876
NIC258	-0.0042302
NIC259	-0.089368
NIC260	-0.029388
NIC261	-0.043122
NIC262	-0.013221
NIC265	-0.03282
NIC266	0.0028571
NIC267	-0.015734
NIC268	-0.18797
NIC269	-0.064841
NIC271	-0.016731
NIC272	-0.017046
NIC274	-0.058011
NIC275	-0.023483
NIC276	-0.093624
NIC277	-0.064938
NIC3	-0.037147
NIC513	-0.096797
NIC514	-0.077596
NIC522	-0.014482
NIC523	-0.037324
PB303	-0.045952
PS2025	-0.047007
PX179	-0.024642
QG2075	-0.060314
QG536	-0.097707
QG556	0.0052296
QG557	-0.069624
QW947	-0.016523
QX1212	-0.01468
QX1233	-0.082043
QX1791	-0.050574
QX1792	-0.036782
QX1793	0.039544
QX1794	0.0089916
RC301	-0.09022
WN2001	-0.14377
WN2002	-0.039285
WN2033	-0.070545
XZ1513	-0.0093881
XZ1514	0.02315
XZ1516	-0.066026
