strain	median
AB1	-0.012515
BRC20067	-0.046588
CB4852	-0.025612
CB4854	-0.035591
CB4856	-0.044568
CB4932	-0.043727
CX11254	-0.0032658
CX11262	-0.045152
CX11264	-0.03108
CX11271	-0.10643
CX11276	-0.031812
CX11285	-0.044821
CX11292	-0.019923
CX11307	-0.023843
CX11314	-0.033864
CX11315	-0.082897
DL200	-0.023514
DL226	-0.014011
DL238	-0.04316
ECA246	-0.084513
ECA248	0.033208
ECA250	-0.024073
ECA251	-0.010572
ECA252	-0.0049137
ECA259	-0.069377
ECA348	0.011053
ECA349	0.0039796
ECA36	-0.24014
ECA363	-0.05916
ECA372	-0.034556
ECA396	-0.044691
ED3005	-0.02479
ED3011	-0.028284
ED3012	-0.085997
ED3017	-0.048335
ED3040	-0.070976
ED3046	-0.0023105
ED3048	-0.082779
ED3049	-0.020507
ED3052	-0.053017
ED3073	-0.0028557
ED3077	-0.075897
EG4347	-0.048568
EG4349	-0.0097679
EG4724	-0.023043
EG4725	-0.011294
EG4946	-0.035385
GXW1	-0.024533
JT11398	-0.025745
JU1088	-0.041356
JU1172	-0.044133
JU1200	-0.051845
JU1212	-0.015238
JU1213	-0.05845
JU1242	-0.032182
JU1246	-0.026414
JU1395	-0.0090597
JU1400	-0.0016754
JU1409	-0.076377
JU1440	-0.008496
JU1491	-0.0048704
JU1530	-0.0098105
JU1543	-0.031355
JU1568	-0.041224
JU1580	-0.021177
JU1581	-0.072138
JU1586	-0.051588
JU1652	-0.018916
JU1793	-0.01625
JU1808	-0.03965
JU1896	-0.014403
JU2001	-0.016602
JU2007	-0.036222
JU2131	0.0088479
JU2141	0.00084597
JU2234	-0.023819
JU2464	-0.017638
JU2466	0.010223
JU2513	-0.031556
JU2519	-0.01557
JU2522	-0.020937
JU2526	-0.051565
JU2534	-0.027564
JU2565	0.0052496
JU2566	-0.025461
JU2578	0.0049248
JU258	-0.040084
JU2587	-0.034437
JU2593	-0.018461
JU2600	-0.042865
JU2800	-0.012408
JU2862	-0.04331
JU2866	-0.023848
JU2878	-0.05125
JU2879	-0.063207
JU2906	0.0060863
JU310	-0.038387
JU311	-0.067065
JU3125	-0.094532
JU3127	0.0059687
JU3134	-0.041891
JU3135	-0.025386
JU3137	-0.03677
JU3140	-0.012383
JU323	-0.027937
JU346	-0.014887
JU360	-0.027867
JU367	-0.045141
JU393	-0.031523
JU394	-0.014078
JU397	-0.050146
JU406	-0.013751
JU440	-0.045757
JU561	-0.06871
JU642	-0.064654
JU751	-0.018374
JU774	-0.064325
JU775	-0.014329
JU778	-0.066833
JU782	-0.019906
JU792	-0.021615
JU830	-0.016995
JU847	-0.014502
KR314	-0.018203
LKC34	-0.017228
LSJ1	-0.041737
MY1	-0.0172
MY10	-0.013967
MY16	-0.019918
MY18	-0.033694
MY2212	0.0030699
MY23	-0.026566
MY2453	-0.020317
MY2530	-0.025514
MY2535	-0.018367
MY2573	-0.0089395
MY2693	-0.0048903
MY2741	-0.028797
MY679	-0.028243
MY920	-0.0031854
N2	-0.0077579
NIC1	-0.027023
NIC1107	-0.012125
NIC166	-0.029948
NIC195	-0.061506
NIC199	-0.019397
NIC2	-0.054671
NIC207	-0.032251
NIC231	-0.021482
NIC236	-0.057703
NIC242	-0.028141
NIC251	-0.029396
NIC252	-0.04963
NIC255	-0.049705
NIC256	-0.02515
NIC258	-0.0058257
NIC259	-0.047095
NIC260	-0.024562
NIC261	-0.03159
NIC262	-0.0089639
NIC265	-0.029393
NIC266	-0.00072526
NIC267	-0.024368
NIC268	-0.12666
NIC269	-0.01524
NIC271	-0.025045
NIC272	-0.021218
NIC274	-0.049698
NIC275	-0.02499
NIC276	-0.085028
NIC277	-0.043751
NIC3	-0.030244
NIC513	-0.042722
NIC514	-0.07372
NIC522	-0.01819
NIC523	-0.041059
PB303	-0.049932
PS2025	-0.014619
PX179	-0.0083102
QG2075	-0.038774
QG536	-0.06587
QG556	-0.00032241
QG557	-0.0273
QW947	-0.023458
QX1212	-0.016883
QX1233	-0.055288
QX1791	-0.046025
QX1792	-0.013806
QX1793	0.016673
QX1794	0.0037
RC301	-0.043485
WN2001	-0.10017
WN2002	-0.024405
WN2033	-0.060026
XZ1513	-0.0030554
XZ1514	0.028012
XZ1516	-0.025188
