strain	median
AB1	-0.0099137
BRC20067	-0.046178
CB4852	-0.022173
CB4854	-0.036083
CB4856	-0.048385
CB4932	-0.041493
CX11254	-0.0042497
CX11262	-0.054482
CX11264	-0.031001
CX11271	-0.10745
CX11276	-0.032808
CX11285	-0.046501
CX11292	-0.016851
CX11307	-0.022654
CX11314	-0.031596
CX11315	-0.079064
DL200	-0.021733
DL226	-0.014582
DL238	-0.050795
ECA246	-0.080979
ECA248	0.04111
ECA250	-0.026851
ECA251	-0.0085462
ECA252	-0.0038374
ECA259	-0.066722
ECA348	0.011398
ECA349	0.006339
ECA36	-0.24297
ECA363	-0.071387
ECA372	-0.036137
ECA396	-0.055769
ED3005	-0.024984
ED3011	-0.026089
ED3012	-0.084257
ED3017	-0.048606
ED3040	-0.068732
ED3046	0.0025563
ED3048	-0.080591
ED3049	-0.016318
ED3052	-0.050031
ED3073	-0.0051104
ED3077	-0.076674
EG4347	-0.046545
EG4349	-0.0020273
EG4724	-0.020113
EG4725	-0.011047
EG4946	-0.03167
GXW1	-0.028763
JT11398	-0.024436
JU1088	-0.041594
JU1172	-0.041263
JU1200	-0.051224
JU1212	-0.010905
JU1213	-0.05588
JU1242	-0.028325
JU1246	-0.025211
JU1395	-0.0060904
JU1400	0.0012997
JU1409	-0.075621
JU1440	-0.0090476
JU1491	-0.0055618
JU1530	-0.0059075
JU1543	-0.02497
JU1568	-0.040806
JU1580	-0.021304
JU1581	-0.070848
JU1586	-0.046913
JU1652	-0.025207
JU1793	-0.015087
JU1808	-0.037858
JU1896	-0.011701
JU2001	-0.01423
JU2007	-0.030848
JU2131	0.012185
JU2141	0.00088385
JU2234	-0.028696
JU2464	-0.015633
JU2466	0.0078977
JU2513	-0.026781
JU2519	-0.014973
JU2522	-0.019051
JU2526	-0.058252
JU2534	-0.023063
JU2565	0.0027536
JU2566	-0.02081
JU2578	0.010753
JU258	-0.038511
JU2587	-0.031435
JU2593	-0.014387
JU2600	-0.041536
JU2800	-0.013503
JU2862	-0.050872
JU2866	-0.022031
JU2878	-0.052243
JU2879	-0.068892
JU2906	0.011101
JU310	-0.038582
JU311	-0.060834
JU3125	-0.091615
JU3127	0.0076385
JU3134	-0.037858
JU3135	-0.025531
JU3137	-0.037279
JU3140	-0.0094087
JU323	-0.02664
JU346	-0.012828
JU360	-0.035743
JU367	-0.046895
JU393	-0.02969
JU394	-0.006214
JU397	-0.055459
JU406	-0.0081086
JU440	-0.049972
JU561	-0.067783
JU642	-0.072634
JU751	-0.028663
JU774	-0.060764
JU775	-0.010032
JU778	-0.069173
JU782	-0.016238
JU792	-0.019162
JU830	-0.014519
JU847	-0.015248
KR314	-0.017102
LKC34	-0.011176
LSJ1	-0.048959
MY1	-0.011694
MY10	-0.012866
MY16	-0.022842
MY18	-0.040455
MY2212	0.0070674
MY23	-0.029937
MY2453	-0.019796
MY2530	-0.022929
MY2535	-0.016475
MY2573	-0.0079732
MY2693	-0.0031215
MY2741	-0.026738
MY679	-0.025351
MY920	-0.0039579
N2	-0.0060729
NIC1	-0.025047
NIC1107	-0.0089738
NIC166	-0.025539
NIC195	-0.062617
NIC199	-0.01793
NIC2	-0.054006
NIC207	-0.032328
NIC231	-0.015215
NIC236	-0.054379
NIC242	-0.02579
NIC251	-0.028986
NIC252	-0.048869
NIC255	-0.052929
NIC256	-0.024756
NIC258	-0.0025021
NIC259	-0.049495
NIC260	-0.023126
NIC261	-0.029799
NIC262	-0.0069755
NIC265	-0.029838
NIC266	0.0022013
NIC267	-0.023566
NIC268	-0.13356
NIC269	-0.023764
NIC271	-0.016952
NIC272	-0.022529
NIC274	-0.048574
NIC275	-0.020231
NIC276	-0.080989
NIC277	-0.03943
NIC3	-0.028025
NIC513	-0.051725
NIC514	-0.069943
NIC522	-0.014032
NIC523	-0.038884
PB303	-0.042128
PS2025	-0.020694
PX179	-0.0069679
QG2075	-0.040071
QG536	-0.06507
QG556	0.002839
QG557	-0.037629
QW947	-0.02317
QX1212	-0.013166
QX1233	-0.052525
QX1791	-0.043817
QX1792	-0.01282
QX1793	0.022054
QX1794	0.004246
RC301	-0.043471
WN2001	-0.096553
WN2002	-0.022885
WN2033	-0.060352
XZ1513	-0.0031541
XZ1514	0.028972
XZ1516	-0.033186
