strain	median
AB1	-12.0795
BRC20067	-41.5166
CB4852	-22.7567
CB4854	-31.6986
CB4856	-39.0023
CB4932	-39.5109
CX11254	-11.5223
CX11262	-39.7118
CX11264	-23.4152
CX11271	-83.4384
CX11276	-29.0194
CX11285	-36.2587
CX11292	-20.1268
CX11307	-19.4093
CX11314	-28.4473
CX11315	-62.4137
DL200	-22.1727
DL226	-13.7913
DL238	-41.2366
ECA246	-48.9852
ECA248	25.5518
ECA250	-27.3213
ECA251	-12.0529
ECA252	-4.3243
ECA259	-64.8168
ECA348	11.768
ECA349	-3.1259
ECA36	-197.4345
ECA363	-50.5787
ECA372	-37.9541
ECA396	-34.7069
ED3005	-23.003
ED3011	-26.3055
ED3012	-71.1851
ED3017	-43.8449
ED3040	-67.2382
ED3046	-9.465
ED3048	-68.8599
ED3049	-21.2012
ED3052	-49.65
ED3073	-0.80379
ED3077	-59.5193
EG4347	-45.3659
EG4349	-9.5571
EG4724	-18.3213
EG4725	-8.819
EG4946	-34.5058
GXW1	-19.3629
JT11398	-25.3383
JU1088	-34.2549
JU1172	-39.2887
JU1200	-48.3195
JU1212	-16.9688
JU1213	-52.7652
JU1242	-29.6828
JU1246	-22.4543
JU1395	-12.406
JU1400	-2.0981
JU1409	-64.125
JU1440	-8.4996
JU1491	-4.0655
JU1530	-7.9318
JU1543	-33.4398
JU1568	-32.5283
JU1580	-19.8457
JU1581	-72.0084
JU1586	-41.2262
JU1652	-17.1763
JU1793	-14.9094
JU1808	-40.0819
JU1896	-13.954
JU2001	-10.8313
JU2007	-35.0094
JU2131	5.4067
JU2141	0.68656
JU2234	-19.4395
JU2464	-11.7771
JU2466	12.7212
JU2513	-26.7614
JU2519	-14.9742
JU2522	-18.3604
JU2526	-52.2167
JU2534	-23.8505
JU2565	3.1873
JU2566	-25.4142
JU2578	3.4847
JU258	-36.5016
JU2587	-30.5566
JU2593	-22.75
JU2600	-35.2175
JU2800	-10.5778
JU2862	-40.7898
JU2866	-19.6344
JU2878	-40.7351
JU2879	-53.075
JU2906	4.6227
JU310	-28.6957
JU311	-56.64
JU3125	-88.7228
JU3127	3.348
JU3134	-35.1535
JU3135	-24.7641
JU3137	-34.6243
JU3140	-14.6641
JU323	-24.4875
JU346	-15.3871
JU360	-22.7197
JU367	-29.8014
JU393	-28.6367
JU394	-18.8851
JU397	-42.7028
JU406	-16.2964
JU440	-39.3171
JU561	-59.7335
JU642	-55.0898
JU751	-17.125
JU774	-55.403
JU775	-13.8053
JU778	-60.017
JU782	-24.2236
JU792	-19.079
JU830	-22.4365
JU847	-13.368
KR314	-16.8204
LKC34	-17.9112
LSJ1	-33.9792
MY1	-15.0599
MY10	-14.5173
MY16	-14.3595
MY18	-32.726
MY2212	2.5582
MY23	-24.1002
MY2453	-23.014
MY2530	-22.3047
MY2535	-16.3098
MY2573	-9.2561
MY2693	-5.2517
MY2741	-27.589
MY679	-22.964
MY920	-0.64045
N2	-6.7057
NIC1	-24.4272
NIC1107	-12.1599
NIC166	-21.5003
NIC195	-55.9037
NIC199	-15.7173
NIC2	-47.5124
NIC207	-30.4067
NIC231	-23.313
NIC236	-51.5933
NIC242	-30.4322
NIC251	-27.1199
NIC252	-38.7781
NIC255	-44.0456
NIC256	-20.3739
NIC258	-6.7555
NIC259	-50.3615
NIC260	-26.4676
NIC261	-28.7447
NIC262	-9.2395
NIC265	-25.2164
NIC266	-2.4213
NIC267	-32.4707
NIC268	-107.6388
NIC269	-11.6623
NIC271	-23.4399
NIC272	-23.2873
NIC274	-43.8196
NIC275	-25.4298
NIC276	-79.3775
NIC277	-39.3407
NIC3	-22.9651
NIC513	-33.8875
NIC514	-63.8145
NIC522	-18.2407
NIC523	-31.7322
PB303	-46.4707
PS2025	-11.4404
PX179	-6.6607
QG2075	-31.2665
QG536	-64.3056
QG556	-0.80392
QG557	-22.3017
QW947	-27.4868
QX1212	-16.7126
QX1233	-50.0041
QX1791	-37.5544
QX1792	-15.9967
QX1793	13.0804
QX1794	1.9271
RC301	-38.0153
WN2001	-99.5458
WN2002	-18.8648
WN2033	-59.2762
XZ1513	-4.6407
XZ1514	21.7711
XZ1516	-22.9523
