strain	median
AB1	-13.911
BRC20067	-47.7702
CB4852	-26.3114
CB4854	-35.4842
CB4856	-45.6015
CB4932	-46.6071
CX11254	-17.8236
CX11262	-44.5043
CX11264	-26.2077
CX11271	-86.8689
CX11276	-31.7901
CX11285	-41.7892
CX11292	-22.5268
CX11307	-23.3816
CX11314	-31.2207
CX11315	-67.2341
DL200	-23.4396
DL226	-17.6784
DL238	-46.4968
ECA246	-51.7311
ECA248	20.9663
ECA250	-28.8201
ECA251	-12.3987
ECA252	-8.4701
ECA259	-77.0627
ECA348	10.992
ECA349	-4.1604
ECA36	-209.6414
ECA363	-54.0866
ECA372	-42.5912
ECA396	-38.1704
ED3005	-28.1211
ED3011	-29.4816
ED3012	-74.4798
ED3017	-53.2323
ED3040	-71.3678
ED3046	-11.9356
ED3048	-75.829
ED3049	-24.3098
ED3052	-54.1677
ED3073	-1.3377
ED3077	-67.5923
EG4347	-53.1325
EG4349	-12.3345
EG4724	-21.9285
EG4725	-11.0157
EG4946	-39.1678
GXW1	-26.0813
JT11398	-27.7253
JU1088	-36.9226
JU1172	-46.2228
JU1200	-54.3504
JU1212	-20.0988
JU1213	-57.3976
JU1242	-35.0089
JU1246	-26.327
JU1395	-15.5529
JU1400	-3.1227
JU1409	-73.1292
JU1440	-9.6185
JU1491	-2.7863
JU1530	-11.0208
JU1543	-39.1847
JU1568	-35.3652
JU1580	-21.0505
JU1581	-78.1584
JU1586	-43.1416
JU1652	-21.8094
JU1793	-18.3946
JU1808	-47.404
JU1896	-16.0522
JU2001	-11.1716
JU2007	-38.8277
JU2131	2.9794
JU2141	-0.1302
JU2234	-23.2319
JU2464	-16.6703
JU2466	8.5167
JU2513	-32.7574
JU2519	-18.1972
JU2522	-19.9911
JU2526	-58.0366
JU2534	-27.6065
JU2565	3.9173
JU2566	-29.9899
JU2578	-1.4702
JU258	-42.6943
JU2587	-33.1028
JU2593	-25.3185
JU2600	-40.2872
JU2800	-14.1016
JU2862	-46.4541
JU2866	-24.6061
JU2878	-45.8634
JU2879	-60.3616
JU2906	6.3778
JU310	-32.9663
JU311	-64.2394
JU3125	-100.4907
JU3127	1.8034
JU3134	-41.4576
JU3135	-28.9782
JU3137	-38.7309
JU3140	-17.8453
JU323	-28.8542
JU346	-17.7468
JU360	-25.1889
JU367	-32.8793
JU393	-31.8796
JU394	-22.0412
JU397	-53.9608
JU406	-22.495
JU440	-45.7187
JU561	-65.8429
JU642	-62.1897
JU751	-18.3037
JU774	-65.5858
JU775	-15.8051
JU778	-64.0607
JU782	-26.6144
JU792	-21.3736
JU830	-28.6117
JU847	-15.9711
KR314	-18.9079
LKC34	-25.3806
LSJ1	-38.5764
MY1	-19.6995
MY10	-15.9775
MY16	-16.8494
MY18	-33.9976
MY2212	0.70187
MY23	-30.9548
MY2453	-26.1307
MY2530	-25.3731
MY2535	-20.0438
MY2573	-10.1994
MY2693	-7.6573
MY2741	-30.7242
MY679	-26.9061
MY920	-5.1425
N2	-7.9831
NIC1	-25.5564
NIC1107	-14.0506
NIC166	-26.0764
NIC195	-64.4202
NIC199	-20.0359
NIC2	-53.3476
NIC207	-33.2078
NIC231	-26.0041
NIC236	-55.6593
NIC242	-36.6542
NIC251	-31.651
NIC252	-41.6088
NIC255	-48.9553
NIC256	-23.5188
NIC258	-7.6943
NIC259	-56.9575
NIC260	-32.1797
NIC261	-35.6945
NIC262	-12.1287
NIC265	-27.3485
NIC266	-5.4675
NIC267	-34.9496
NIC268	-119.6859
NIC269	-15.2011
NIC271	-27.4118
NIC272	-24.4585
NIC274	-50.0963
NIC275	-28.792
NIC276	-83.4175
NIC277	-48.7063
NIC3	-25.1646
NIC513	-38.7991
NIC514	-73.8618
NIC522	-22.0419
NIC523	-36.5334
PB303	-53.2883
PS2025	-12.9823
PX179	-7.0489
QG2075	-34.4526
QG536	-69.0966
QG556	-0.69035
QG557	-25.9715
QW947	-33.571
QX1212	-18.869
QX1233	-56.0474
QX1791	-42.9965
QX1792	-20.0282
QX1793	11.5159
QX1794	-2.5583
RC301	-42.2583
WN2001	-112.6465
WN2002	-22.6455
WN2033	-64.1436
XZ1513	-7.3636
XZ1514	16.4307
XZ1516	-25.0724
