strain	median
AB1	-0.015539
BRC20067	-0.05669
CB4852	-0.031712
CB4854	-0.040812
CB4856	-0.05592
CB4932	-0.055832
CX11254	-0.013699
CX11262	-0.053713
CX11264	-0.03435
CX11271	-0.11572
CX11276	-0.039551
CX11285	-0.056785
CX11292	-0.025483
CX11307	-0.031832
CX11314	-0.040877
CX11315	-0.094275
DL200	-0.029225
DL226	-0.020032
DL238	-0.051935
ECA246	-0.094065
ECA248	0.027837
ECA250	-0.024473
ECA251	-0.010308
ECA252	-0.0077718
ECA259	-0.091384
ECA348	0.0093487
ECA349	0.00015311
ECA36	-0.26796
ECA363	-0.065783
ECA372	-0.040751
ECA396	-0.051919
ED3005	-0.03317
ED3011	-0.039576
ED3012	-0.093463
ED3017	-0.069174
ED3040	-0.07591
ED3046	-0.0064723
ED3048	-0.098537
ED3049	-0.025233
ED3052	-0.060795
ED3073	-0.0042978
ED3077	-0.093816
EG4347	-0.05884
EG4349	-0.012204
EG4724	-0.029993
EG4725	-0.015468
EG4946	-0.043572
GXW1	-0.034052
JT11398	-0.031948
JU1088	-0.04588
JU1172	-0.057109
JU1200	-0.062757
JU1212	-0.022263
JU1213	-0.070921
JU1242	-0.041653
JU1246	-0.033285
JU1395	-0.012907
JU1400	-0.0042953
JU1409	-0.087094
JU1440	-0.012436
JU1491	-0.0038465
JU1530	-0.012112
JU1543	-0.039922
JU1568	-0.049856
JU1580	-0.02428
JU1581	-0.08713
JU1586	-0.056974
JU1652	-0.024882
JU1793	-0.022818
JU1808	-0.050949
JU1896	-0.019124
JU2001	-0.019897
JU2007	-0.043234
JU2131	0.0042445
JU2141	-0.0010441
JU2234	-0.030145
JU2464	-0.027998
JU2466	0.0088225
JU2513	-0.039104
JU2519	-0.021689
JU2522	-0.025029
JU2526	-0.059338
JU2534	-0.03264
JU2565	0.0069753
JU2566	-0.033354
JU2578	-1.2331e-05
JU258	-0.048362
JU2587	-0.039081
JU2593	-0.022239
JU2600	-0.051243
JU2800	-0.018668
JU2862	-0.053853
JU2866	-0.033962
JU2878	-0.06082
JU2879	-0.076233
JU2906	0.0089957
JU310	-0.047713
JU311	-0.081583
JU3125	-0.1145
JU3127	0.0045486
JU3134	-0.053675
JU3135	-0.032644
JU3137	-0.044221
JU3140	-0.017523
JU323	-0.032962
JU346	-0.019042
JU360	-0.031559
JU367	-0.052988
JU393	-0.037605
JU394	-0.018898
JU397	-0.070671
JU406	-0.021829
JU440	-0.058222
JU561	-0.077928
JU642	-0.079638
JU751	-0.022937
JU774	-0.083668
JU775	-0.020859
JU778	-0.073762
JU782	-0.022301
JU792	-0.026842
JU830	-0.018695
JU847	-0.02061
KR314	-0.021938
LKC34	-0.027223
LSJ1	-0.050037
MY1	-0.02552
MY10	-0.017117
MY16	-0.023924
MY18	-0.036913
MY2212	0.00011268
MY23	-0.036198
MY2453	-0.024418
MY2530	-0.032144
MY2535	-0.025342
MY2573	-0.011901
MY2693	-0.0082956
MY2741	-0.034005
MY679	-0.037445
MY920	-0.011976
N2	-0.0090329
NIC1	-0.032126
NIC1107	-0.015388
NIC166	-0.035222
NIC195	-0.076759
NIC199	-0.02643
NIC2	-0.064145
NIC207	-0.036937
NIC231	-0.026369
NIC236	-0.065457
NIC242	-0.037809
NIC251	-0.036822
NIC252	-0.057942
NIC255	-0.058637
NIC256	-0.031359
NIC258	-0.0077863
NIC259	-0.056915
NIC260	-0.032404
NIC261	-0.04407
NIC262	-0.013951
NIC265	-0.032396
NIC266	-0.0055078
NIC267	-0.032661
NIC268	-0.14901
NIC269	-0.02192
NIC271	-0.031596
NIC272	-0.024962
NIC274	-0.060763
NIC275	-0.036917
NIC276	-0.094317
NIC277	-0.058473
NIC3	-0.03569
NIC513	-0.051237
NIC514	-0.090965
NIC522	-0.024031
NIC523	-0.049009
PB303	-0.06307
PS2025	-0.017664
PX179	-0.010038
QG2075	-0.045875
QG536	-0.074379
QG556	-0.00072855
QG557	-0.033609
QW947	-0.030343
QX1212	-0.02025
QX1233	-0.067114
QX1791	-0.057696
QX1792	-0.019951
QX1793	0.014138
QX1794	-0.0043865
RC301	-0.051278
WN2001	-0.12196
WN2002	-0.034652
WN2033	-0.066964
XZ1513	-0.0067785
XZ1514	0.016713
XZ1516	-0.028098
