strain	median
AB1	-0.12903
BRC20067	-0.21419
CB4852	0.064067
CB4854	-0.37168
CB4856	-0.40434
CB4932	-0.069372
CX11254	-0.15033
CX11262	-0.77161
CX11264	-0.16069
CX11271	0.025961
CX11276	-0.41883
CX11285	-0.89741
CX11292	-0.31176
CX11307	0.063475
CX11314	-0.038808
CX11315	-0.1178
DL200	-0.14379
DL226	-0.39986
DL238	0.26079
ECA246	0.17807
ECA248	-0.54705
ECA250	-0.35963
ECA251	-0.16028
ECA252	-0.015864
ECA259	-0.2352
ECA348	0.32079
ECA349	-0.24202
ECA36	-0.53153
ECA363	-0.63396
ECA372	-0.16426
ECA396	-1.2537
ED3005	0.11074
ED3011	-0.3165
ED3012	-0.11235
ED3017	-0.26716
ED3040	-0.31133
ED3046	-0.065644
ED3048	-0.1106
ED3049	-0.13613
ED3052	-0.14542
ED3073	-0.19551
ED3077	-0.3325
EG4347	-0.35591
EG4349	-0.013188
EG4724	-0.21227
EG4725	-0.19898
EG4946	-0.12447
GXW1	-0.13647
JT11398	-0.054696
JU1088	-0.26197
JU1172	-0.58475
JU1200	-0.063606
JU1212	-0.15851
JU1213	-0.47187
JU1242	-0.029792
JU1246	-0.39761
JU1395	-0.078852
JU1400	-0.23621
JU1409	-0.67804
JU1440	-0.16725
JU1491	-0.037766
JU1530	-0.028967
JU1543	-0.22553
JU1568	0.10087
JU1580	-0.3464
JU1581	-0.58834
JU1586	-0.26929
JU1652	-0.40524
JU1793	-0.1608
JU1808	-0.29829
JU1896	-0.32944
JU2001	-0.34004
JU2007	-0.13053
JU2131	-0.12325
JU2141	-0.2016
JU2234	-0.46524
JU2464	-0.0024204
JU2466	-0.012951
JU2513	-0.32925
JU2519	-0.2307
JU2522	-0.34254
JU2526	-0.69124
JU2534	-0.1634
JU2565	-0.1521
JU2566	-0.25497
JU2578	-0.37356
JU258	-0.25962
JU2587	-0.099795
JU2593	-0.11789
JU2600	-0.3194
JU2800	-0.32883
JU2862	-0.58585
JU2866	-0.2877
JU2878	-0.44706
JU2879	-0.40234
JU2906	-0.20413
JU310	-0.058189
JU311	-0.21065
JU3125	-0.038118
JU3127	-0.072884
JU3134	-0.2551
JU3135	-0.55417
JU3137	-0.39228
JU3140	-0.33458
JU323	-0.20889
JU346	0.084034
JU360	-0.78178
JU367	-0.10425
JU393	-0.45062
JU394	-0.058685
JU397	-0.53008
JU406	0.016933
JU440	-0.34947
JU561	-0.1655
JU642	-0.47491
JU751	-0.67129
JU774	-0.40076
JU775	-0.022035
JU778	-0.19848
JU782	-0.11838
JU792	-0.33939
JU830	-0.076994
JU847	-0.28019
KR314	-0.052434
LKC34	-0.2859
LSJ1	-0.17193
MY1	0.07034
MY10	-0.10334
MY16	-0.33881
MY18	-0.69361
MY2212	-0.16496
MY23	-0.44406
MY2453	0.0025165
MY2530	-0.19241
MY2535	-0.22661
MY2573	-0.25075
MY2693	-0.205
MY2741	-0.23369
MY679	0.05394
MY920	-0.30202
N2	0.071076
NIC1	-0.32736
NIC1107	-0.32413
NIC166	-0.27249
NIC195	-0.53529
NIC199	-0.26202
NIC2	-0.40156
NIC207	-0.40181
NIC231	-0.43877
NIC236	-0.18075
NIC242	-0.30309
NIC251	-0.33663
NIC252	-0.76118
NIC255	-0.40454
NIC256	-0.37692
NIC258	-0.029728
NIC259	-0.66044
NIC260	0.065937
NIC261	-0.3632
NIC262	-0.31103
NIC265	-0.044311
NIC266	-0.054116
NIC267	-0.22218
NIC268	-0.61238
NIC269	-0.31786
NIC271	-0.063458
NIC272	0.14732
NIC274	-0.4687
NIC275	-0.092715
NIC276	0.0076768
NIC277	-0.47422
NIC3	-0.27308
NIC513	-0.31847
NIC514	-0.19417
NIC522	-0.066869
NIC523	-0.076283
PB303	-0.10194
PS2025	-0.22306
PX179	-0.19811
QG2075	-0.11668
QG536	-0.53856
QG556	-0.25677
QG557	-0.42251
QW947	-0.36203
QX1212	0.036744
QX1233	-0.13671
QX1791	-0.16586
QX1792	-0.34557
QX1793	0.034834
QX1794	0.002852
RC301	-0.26519
WN2001	-0.36271
WN2002	-0.43349
WN2033	-0.24558
XZ1513	0.1323
XZ1514	0.12309
XZ1516	-0.13351
