strain	median
AB1	-0.049758
BRC20067	-0.16011
CB4852	-0.12808
CB4854	-0.10124
CB4856	-0.17087
CB4932	-0.083251
CX11254	-0.15903
CX11262	-0.19242
CX11264	-0.12184
CX11271	-0.0891
CX11276	-0.15894
CX11285	-0.25511
CX11292	-0.092944
CX11307	-0.095768
CX11314	-0.084284
CX11315	-0.14682
DL200	-0.058558
DL226	-0.15505
DL238	0.0042015
ECA246	-0.036433
ECA248	-0.27257
ECA250	-0.046137
ECA251	-0.095817
ECA252	-0.0016868
ECA259	-0.15534
ECA348	0.017784
ECA349	-0.13626
ECA36	-0.29062
ECA363	-0.073388
ECA372	-0.12856
ECA396	-0.36463
ED3005	-0.068627
ED3011	-0.167
ED3012	-0.090499
ED3017	-0.13278
ED3040	-0.16691
ED3046	-0.037894
ED3048	-0.11336
ED3049	-0.12207
ED3052	-0.14487
ED3073	-0.099695
ED3077	-0.1472
EG4347	-0.12362
EG4349	-0.099427
EG4724	-0.081316
EG4725	-0.075655
EG4946	-0.051372
GXW1	-0.15062
JT11398	-0.0616
JU1088	-0.13528
JU1172	-0.22561
JU1200	-0.073535
JU1212	-0.08172
JU1213	-0.23006
JU1242	-0.051947
JU1246	-0.14594
JU1395	-0.050303
JU1400	-0.087874
JU1409	-0.26104
JU1440	-0.13344
JU1491	-0.098913
JU1530	-0.10202
JU1543	-0.047511
JU1568	0.029882
JU1580	-0.12524
JU1581	-0.26891
JU1586	-0.11161
JU1652	-0.14164
JU1793	-0.13053
JU1808	-0.13009
JU1896	-0.09906
JU2001	-0.079715
JU2007	-0.075838
JU2131	-0.096768
JU2141	-0.12739
JU2234	-0.11494
JU2464	-0.051704
JU2466	-0.074734
JU2513	-0.19998
JU2519	-0.09011
JU2522	-0.12174
JU2526	-0.18238
JU2534	-0.14366
JU2565	-0.05214
JU2566	-0.11794
JU2578	-0.12029
JU258	-0.12726
JU2587	-0.1116
JU2593	-0.09201
JU2600	-0.16949
JU2800	-0.14046
JU2862	-0.26088
JU2866	-0.2102
JU2878	-0.14341
JU2879	-0.090087
JU2906	-0.03458
JU310	-0.029092
JU311	-0.13438
JU3125	-0.066216
JU3127	-0.10268
JU3134	-0.21961
JU3135	-0.14224
JU3137	-0.11222
JU3140	-0.17832
JU323	-0.10626
JU346	-0.028683
JU360	-0.31482
JU367	-0.11922
JU393	-0.10654
JU394	-0.076904
JU397	-0.10115
JU406	-0.10684
JU440	-0.16139
JU561	-0.083548
JU642	-0.19746
JU751	-0.33337
JU774	-0.14845
JU775	-0.11269
JU778	-0.083148
JU782	-0.080751
JU792	-0.1673
JU830	-0.14834
JU847	-0.19439
KR314	-0.051003
LKC34	-0.12406
LSJ1	-0.13672
MY1	-0.063736
MY10	-0.11139
MY16	-0.12157
MY18	-0.18637
MY2212	-0.14352
MY23	-0.24836
MY2453	-0.083717
MY2530	-0.11254
MY2535	-0.093574
MY2573	-0.13634
MY2693	-0.10339
MY2741	-0.12603
MY679	-0.057899
MY920	-0.18599
N2	0.026142
NIC1	-0.13935
NIC1107	-0.12687
NIC166	-0.12682
NIC195	-0.24099
NIC199	-0.16925
NIC2	-0.18155
NIC207	-0.17166
NIC231	-0.12911
NIC236	-0.16556
NIC242	-0.14582
NIC251	-0.15702
NIC252	-0.24628
NIC255	-0.13831
NIC256	-0.17529
NIC258	-0.0288
NIC259	-0.17778
NIC260	-0.088752
NIC261	-0.1527
NIC262	-0.17897
NIC265	-0.059508
NIC266	-0.10984
NIC267	-0.096099
NIC268	-0.2329
NIC269	-0.14385
NIC271	-0.1319
NIC272	-0.069617
NIC274	-0.12107
NIC275	-0.05519
NIC276	-0.12467
NIC277	-0.20393
NIC3	-0.080465
NIC513	-0.12952
NIC514	-0.11891
NIC522	-0.11495
NIC523	-0.044942
PB303	-0.069597
PS2025	-0.12345
PX179	-0.16193
QG2075	-0.12455
QG536	-0.24432
QG556	-0.10842
QG557	-0.24647
QW947	-0.21384
QX1212	-0.052148
QX1233	-0.035273
QX1791	-0.14534
QX1792	-0.1841
QX1793	-0.077993
QX1794	-0.035148
RC301	-0.11012
WN2001	-0.15355
WN2002	-0.15434
WN2033	-0.13
XZ1513	-0.085777
XZ1514	0.018683
XZ1516	-0.071772
