strain	median
AB1	-0.23105
BRC20067	-0.39144
CB4852	-0.60088
CB4854	-0.49589
CB4856	-0.65859
CB4932	-0.4014
CX11254	-0.56068
CX11262	-1.0778
CX11264	-0.36223
CX11271	-0.61712
CX11276	-0.6116
CX11285	-1.0623
CX11292	-0.45253
CX11307	-0.23499
CX11314	-0.11051
CX11315	-0.63643
DL200	-0.10744
DL226	-0.6118
DL238	-0.071513
ECA246	-0.27327
ECA248	-1.033
ECA250	-0.53518
ECA251	-0.68202
ECA252	-0.10727
ECA259	-0.88613
ECA348	0.17101
ECA349	-0.6832
ECA36	-0.76993
ECA363	-0.22393
ECA372	-0.68387
ECA396	-1.7184
ED3005	-0.43961
ED3011	-0.81229
ED3012	-0.39353
ED3017	-0.84082
ED3040	-0.75234
ED3046	-0.11043
ED3048	-0.48869
ED3049	-0.29879
ED3052	-0.83019
ED3073	-0.18218
ED3077	-0.4811
EG4347	-0.38773
EG4349	-0.21805
EG4724	0.044459
EG4725	-0.16103
EG4946	-0.4276
GXW1	-0.5552
JT11398	-0.31683
JU1088	-0.55702
JU1172	-0.91541
JU1200	-0.26696
JU1212	-0.78361
JU1213	-0.88529
JU1242	-0.32232
JU1246	-0.65455
JU1395	0.011092
JU1400	-0.29832
JU1409	-1.1497
JU1440	-0.80983
JU1491	-0.50499
JU1530	-0.78996
JU1543	-0.092257
JU1568	-0.054184
JU1580	-0.37913
JU1581	-0.89577
JU1586	-0.79661
JU1652	-0.51171
JU1793	-0.40006
JU1808	-0.27501
JU1896	-0.47925
JU2001	-0.42807
JU2007	-0.40782
JU2131	-0.023321
JU2141	-0.84194
JU2234	-0.51241
JU2464	-0.21205
JU2466	-0.26003
JU2513	-0.79388
JU2519	-0.21083
JU2522	-0.52695
JU2526	-0.85669
JU2534	-0.52193
JU2565	-0.42138
JU2566	-0.98828
JU2578	-0.58444
JU258	-0.66944
JU2587	-0.19743
JU2593	-0.52511
JU2600	-0.54963
JU2800	-0.57095
JU2862	-0.68068
JU2866	-0.62835
JU2878	-0.41223
JU2879	-0.55097
JU2906	0.13555
JU310	-0.13542
JU311	-0.52862
JU3125	-0.18233
JU3127	-0.41281
JU3134	-0.73582
JU3135	-0.63183
JU3137	-0.56415
JU3140	-0.81823
JU323	-0.51611
JU346	-0.30738
JU360	-1.1789
JU367	-0.61457
JU393	-0.49466
JU394	-0.44917
JU397	-0.39205
JU406	-0.36127
JU440	-0.71039
JU561	-0.46163
JU642	-0.78798
JU751	-1.0005
JU774	-0.61836
JU775	-0.64041
JU778	-0.50254
JU782	-0.24531
JU792	-0.7642
JU830	-0.32511
JU847	-0.52024
KR314	-0.09395
LKC34	-0.4601
LSJ1	-0.12593
MY1	-0.36215
MY10	-0.16589
MY16	-0.47688
MY18	-0.63473
MY2212	-0.63531
MY23	-0.93217
MY2453	-0.56352
MY2530	-0.29546
MY2535	-0.62957
MY2573	-0.55091
MY2693	-0.056984
MY2741	-0.63185
MY679	0.16808
MY920	-0.58214
N2	0.22493
NIC1	-0.61338
NIC1107	-0.77271
NIC166	-0.58553
NIC195	-0.74723
NIC199	-0.61456
NIC2	-0.65505
NIC207	-0.76236
NIC231	-0.55434
NIC236	-0.60042
NIC242	-0.56603
NIC251	-0.41489
NIC252	-1.2139
NIC255	-0.72855
NIC256	-0.75188
NIC258	-0.012292
NIC259	-0.86672
NIC260	-0.046699
NIC261	-0.5154
NIC262	-0.9318
NIC265	-0.38996
NIC266	-0.34519
NIC267	-0.25549
NIC268	-0.80898
NIC269	-0.41473
NIC271	-0.60682
NIC272	-0.41798
NIC274	-0.49366
NIC275	-0.39926
NIC276	-0.50172
NIC277	-0.79928
NIC3	-0.48012
NIC513	-0.50038
NIC514	-0.44421
NIC522	-0.60995
NIC523	-0.1132
PB303	-0.4315
PS2025	-0.2241
PX179	-0.70176
QG2075	-0.48905
QG536	-0.91134
QG556	-0.1611
QG557	-0.66702
QW947	-0.75382
QX1212	-0.23904
QX1233	-0.18665
QX1791	-0.56571
QX1792	-0.65224
QX1793	-0.73733
QX1794	-0.39557
RC301	-0.50408
WN2001	-0.84533
WN2002	-0.84835
WN2033	-0.56794
XZ1513	-0.117
XZ1514	0.34892
XZ1516	-0.23902
