strain	median
AB1	-0.0047174
BRC20067	-0.077582
CB4852	0.016177
CB4854	-0.1134
CB4856	-0.16273
CB4932	-0.04787
CX11254	-0.049368
CX11262	-0.26556
CX11264	-0.0085968
CX11271	-0.029821
CX11276	-0.13419
CX11285	-0.30317
CX11292	-0.11024
CX11307	0.045013
CX11314	-0.007928
CX11315	0.014278
DL200	-0.047185
DL226	-0.13493
DL238	0.063746
ECA246	0.028377
ECA248	-0.21566
ECA250	-0.14486
ECA251	-0.10906
ECA252	0.0036407
ECA259	-0.084201
ECA348	0.14429
ECA349	-0.10701
ECA36	-0.25247
ECA363	-0.15943
ECA372	-0.091355
ECA396	-0.43556
ED3005	0.0030591
ED3011	-0.11895
ED3012	-0.069343
ED3017	-0.12376
ED3040	-0.11214
ED3046	-0.055463
ED3048	-0.029201
ED3049	-0.064532
ED3052	-0.091205
ED3073	-0.010618
ED3077	-0.15918
EG4347	-0.12234
EG4349	0.028437
EG4724	-0.05733
EG4725	-0.040646
EG4946	-0.051772
GXW1	-0.072972
JT11398	-0.064927
JU1088	-0.098807
JU1172	-0.23154
JU1200	-0.058281
JU1212	-0.13107
JU1213	-0.21483
JU1242	0.014749
JU1246	-0.14235
JU1395	-0.0059525
JU1400	-0.029274
JU1409	-0.19911
JU1440	-0.076595
JU1491	-0.043105
JU1530	-0.12885
JU1543	-0.010964
JU1568	0.022024
JU1580	-0.096854
JU1581	-0.2497
JU1586	-0.088033
JU1652	-0.1395
JU1793	-0.042486
JU1808	-0.048232
JU1896	-0.12497
JU2001	-0.086076
JU2007	-0.071887
JU2131	-0.043439
JU2141	-0.063845
JU2234	-0.12936
JU2464	-0.0087388
JU2466	-0.0059088
JU2513	-0.1292
JU2519	-0.068455
JU2522	-0.13691
JU2526	-0.23514
JU2534	-0.095191
JU2565	-0.035905
JU2566	-0.16588
JU2578	-0.084374
JU258	-0.11111
JU2587	0.0013585
JU2593	-0.099417
JU2600	-0.13472
JU2800	-0.097127
JU2862	-0.18868
JU2866	-0.11301
JU2878	-0.10322
JU2879	-0.16778
JU2906	0.023631
JU310	0.0098933
JU311	-0.1016
JU3125	-0.0010152
JU3127	-0.023497
JU3134	-0.11506
JU3135	-0.17038
JU3137	-0.098074
JU3140	-0.15316
JU323	-0.053286
JU346	0.010982
JU360	-0.25648
JU367	-0.084462
JU393	-0.10101
JU394	0.0048828
JU397	-0.073202
JU406	-0.0073929
JU440	-0.15891
JU561	-0.12623
JU642	-0.12814
JU751	-0.087727
JU774	-0.13618
JU775	-0.050094
JU778	-0.11299
JU782	-0.037547
JU792	-0.10059
JU830	-0.083918
JU847	-0.10818
KR314	-0.0025115
LKC34	-0.099551
LSJ1	-0.058723
MY1	-0.0071476
MY10	-0.068251
MY16	-0.1247
MY18	-0.26397
MY2212	-0.073095
MY23	-0.13367
MY2453	-0.071596
MY2530	-0.053842
MY2535	-0.095269
MY2573	-0.07669
MY2693	0.021805
MY2741	-0.1278
MY679	0.053072
MY920	-0.075666
N2	0.03765
NIC1	-0.14245
NIC1107	-0.13333
NIC166	-0.12985
NIC195	-0.20269
NIC199	-0.09608
NIC2	-0.11302
NIC207	-0.16316
NIC231	-0.13833
NIC236	-0.048158
NIC242	-0.1058
NIC251	-0.1
NIC252	-0.26157
NIC255	-0.15776
NIC256	-0.16022
NIC258	-0.025936
NIC259	-0.25699
NIC260	0.060745
NIC261	-0.13434
NIC262	-0.12608
NIC265	-0.07534
NIC266	-0.0032244
NIC267	-0.11058
NIC268	-0.24217
NIC269	-0.14094
NIC271	-0.053365
NIC272	0.039022
NIC274	-0.14233
NIC275	-0.038202
NIC276	0.010638
NIC277	-0.19648
NIC3	-0.1045
NIC513	-0.15909
NIC514	-0.085956
NIC522	-0.082973
NIC523	-0.039556
PB303	-0.0084822
PS2025	-0.075282
PX179	-0.088323
QG2075	-0.067421
QG536	-0.21985
QG556	-0.043965
QG557	-0.20836
QW947	-0.13484
QX1212	0.024094
QX1233	-0.05499
QX1791	-0.087417
QX1792	-0.12216
QX1793	-0.12295
QX1794	0.0032231
RC301	-0.066762
WN2001	-0.16238
WN2002	-0.16211
WN2033	-0.060163
XZ1513	0.058894
XZ1514	0.071666
XZ1516	-0.027627
