strain	median
AB1	-0.75915
BRC20067	-0.60423
CB4852	-0.80781
CB4854	-1.2835
CB4856	-1.4157
CB4932	-1.0767
CX11254	0.1425
CX11262	-1.2389
CX11264	-0.32818
CX11271	-1.5409
CX11276	-0.54619
CX11285	-1.8826
CX11292	-1.0732
CX11307	-0.53151
CX11314	-1.7476
CX11315	-1.1745
DL200	-0.83419
DL226	-1.1362
DL238	-0.6801
ECA246	-0.45282
ECA248	-1.5992
ECA250	-0.24878
ECA251	-1.6511
ECA252	-0.0025902
ECA259	-1.4927
ECA348	0.8096
ECA349	-0.53994
ECA36	-0.97457
ECA363	-0.35768
ECA372	-1.0057
ECA396	-2.6721
ED3005	-0.44404
ED3011	-0.73292
ED3012	-1.4769
ED3017	-1.3494
ED3040	-1.4993
ED3046	-0.98718
ED3048	-1.4686
ED3049	-1.5208
ED3052	-1.2313
ED3073	-0.40222
ED3077	-1.1309
EG4347	-1.2072
EG4349	-1.2082
EG4724	-0.39646
EG4725	-1.1729
EG4946	-1.9286
GXW1	-1.1675
JT11398	-1.3892
JU1088	-0.58207
JU1172	-2.1343
JU1200	-0.48345
JU1212	-1.1244
JU1213	-1.6489
JU1242	-1.5191
JU1246	-1.5167
JU1395	-0.37364
JU1400	-0.46524
JU1409	-2.0166
JU1440	-1.2716
JU1491	-1.4775
JU1530	-1.6459
JU1543	0.10321
JU1568	-0.095234
JU1580	-0.75669
JU1581	-1.384
JU1586	-1.0767
JU1652	-1.5823
JU1793	-1.8247
JU1808	-0.66941
JU1896	-1.5982
JU2001	-0.96631
JU2007	-2.2669
JU2131	-1.4336
JU2141	-1.1381
JU2234	-1.1139
JU2464	-0.23314
JU2466	-0.8672
JU2513	-2.1028
JU2519	-0.44305
JU2522	-0.40273
JU2526	-1.9925
JU2534	-1.4929
JU2565	0.015334
JU2566	-1.3091
JU2578	-0.47128
JU258	-0.80958
JU2587	-0.67539
JU2593	-1.4386
JU2600	-0.80652
JU2800	-2.0096
JU2862	-1.3966
JU2866	-1.2725
JU2878	-1.0079
JU2879	-1.4663
JU2906	-0.82301
JU310	-0.14027
JU311	-1.6006
JU3125	-0.53664
JU3127	-0.69291
JU3134	-1.5008
JU3135	-0.51472
JU3137	-0.8181
JU3140	-0.18108
JU323	-0.61336
JU346	-0.37388
JU360	-2.1613
JU367	-1.2516
JU393	-1.218
JU394	-1.4527
JU397	-0.82753
JU406	-0.74582
JU440	-1.3404
JU561	-0.64143
JU642	-1.1193
JU751	0.17554
JU774	-1.0943
JU775	-2.0188
JU778	-0.50377
JU782	-1.2665
JU792	-0.59708
JU830	-0.20628
JU847	-1.1116
KR314	-0.8946
LKC34	-1.4838
LSJ1	-0.67979
MY1	-0.49599
MY10	-2.2527
MY16	-0.51682
MY18	-2.0473
MY2212	-2.1216
MY23	-1.6959
MY2453	-0.82976
MY2530	-0.90736
MY2535	-1.3405
MY2573	-1.4353
MY2693	-0.52466
MY2741	-1.6129
MY679	-0.80496
MY920	-0.79977
N2	-0.13709
NIC1	-0.99978
NIC1107	-0.54363
NIC166	-1.0838
NIC195	-0.96032
NIC199	-1.5848
NIC2	-0.53822
NIC207	-0.82984
NIC231	-0.0090685
NIC236	-1.412
NIC242	-1.3488
NIC251	0.13127
NIC252	-1.0356
NIC255	-0.35569
NIC256	-0.73556
NIC258	-0.07937
NIC259	-1.6935
NIC260	-0.070748
NIC261	-1.8521
NIC262	-1.3888
NIC265	-1.3458
NIC266	-1.3941
NIC267	-2.1111
NIC268	-1.0909
NIC269	-0.99633
NIC271	-2.1361
NIC272	-0.60262
NIC274	-0.56423
NIC275	-0.61918
NIC276	-1.9908
NIC277	-1.9018
NIC3	-0.65927
NIC513	-0.85119
NIC514	-0.94771
NIC522	-1.9852
NIC523	-0.95061
PB303	-0.17463
PS2025	-1.1741
PX179	-1.542
QG2075	-1.3383
QG536	-1.7431
QG556	-1.3141
QG557	-1.2034
QW947	-0.77411
QX1212	-0.33898
QX1233	0.080741
QX1791	-1.0481
QX1792	-0.6915
QX1793	-2.109
QX1794	-0.71283
RC301	-0.65219
WN2001	-1.9433
WN2002	-1.1137
WN2033	-0.45979
XZ1513	-0.38391
XZ1514	0.45278
XZ1516	-1.6601
