strain	median
AB1	0.92409
BRC20067	0.70445
CB4852	0.39312
CB4854	0.79092
CB4856	1.3258
CB4932	0.095835
CX11254	0.1928
CX11262	1.4069
CX11264	1.5158
CX11271	1.4232
CX11276	0.98161
CX11285	0.32209
CX11292	0.89108
CX11307	0.67424
CX11314	0.79701
CX11315	0.75495
DL200	0.35299
DL226	1.0549
DL238	0.62074
ECA246	0.23266
ECA248	0.91489
ECA250	0.023445
ECA251	0.67286
ECA252	0.64606
ECA259	1.2514
ECA348	0.2509
ECA349	0.84029
ECA36	0.73346
ECA363	1.035
ECA372	0.67676
ECA396	1.5325
ED3005	0.55433
ED3011	1.8627
ED3012	0.14316
ED3017	1.487
ED3040	0.97901
ED3046	0.55966
ED3048	1.1433
ED3049	0.71773
ED3052	1.2888
ED3073	0.918
ED3077	0.02882
EG4347	1.0281
EG4349	0.76619
EG4724	0.88557
EG4725	0.69522
EG4946	1.6346
GXW1	1.1182
JT11398	0.83032
JU1088	1.2897
JU1172	1.3055
JU1200	1.0199
JU1212	0.81244
JU1213	1.3773
JU1242	1.0879
JU1246	0.30068
JU1395	0.5405
JU1400	0.73578
JU1409	0.84556
JU1440	0.64019
JU1491	0.50596
JU1530	0.38542
JU1543	0.69921
JU1568	0.12028
JU1580	0.41853
JU1581	1.2858
JU1586	0.69522
JU1652	1.1902
JU1793	1.019
JU1808	0.81631
JU1896	0.664
JU2001	0.82293
JU2007	1.2011
JU2131	0.080471
JU2141	0.75783
JU2234	0.5034
JU2464	-0.11257
JU2466	0.57129
JU2513	0.67401
JU2519	0.44191
JU2522	1.2221
JU2526	0.61855
JU2534	0.7947
JU2565	0.43268
JU2566	0.63612
JU2578	1.7147
JU258	1.4529
JU2587	0.63396
JU2593	1.4312
JU2600	1.3501
JU2800	1.4136
JU2862	1.7656
JU2866	1.0261
JU2878	1.2398
JU2879	1.45
JU2906	1.2514
JU310	-0.11181
JU311	0.79468
JU3125	0.16603
JU3127	0.14209
JU3134	0.72771
JU3135	0.68431
JU3137	0.43154
JU3140	0.57711
JU323	0.85896
JU346	0.56539
JU360	3.2257
JU367	0.50431
JU393	0.88553
JU394	0.25836
JU397	1.9001
JU406	0.64202
JU440	1.4157
JU561	1.537
JU642	0.70979
JU751	-0.092871
JU774	1.3556
JU775	0.16025
JU778	-0.010063
JU782	0.65066
JU792	0.80277
JU830	1.1602
JU847	0.12363
KR314	-0.31643
LKC34	0.48056
LSJ1	0.47494
MY1	0.65345
MY10	0.9667
MY16	0.55701
MY18	1.8148
MY2212	0.79165
MY23	1.71
MY2453	0.31079
MY2530	0.47386
MY2535	0.82373
MY2573	0.81496
MY2693	0.13213
MY2741	1.2049
MY679	1.2122
MY920	0.7837
N2	0.049119
NIC1	1.2644
NIC1107	0.79937
NIC166	0.69546
NIC195	2.2484
NIC199	1.5776
NIC2	1.8003
NIC207	0.67755
NIC231	0.33241
NIC236	0.52188
NIC242	0.88184
NIC251	2.0943
NIC252	0.69486
NIC255	1.5901
NIC256	1.0484
NIC258	0.54073
NIC259	0.90481
NIC260	0.45507
NIC261	1.5855
NIC262	-0.27295
NIC265	0.39307
NIC266	0.55836
NIC267	1.9287
NIC268	1.1129
NIC269	0.24122
NIC271	1.3064
NIC272	0.29507
NIC274	0.81653
NIC275	0.71653
NIC276	0.99613
NIC277	1.35
NIC3	0.6119
NIC513	0.096863
NIC514	1.1185
NIC522	0.31173
NIC523	0.97747
PB303	0.35954
PS2025	0.52862
PX179	1.3666
QG2075	1.3471
QG536	1.0144
QG556	0.83061
QG557	1.0219
QW947	1.3671
QX1212	0.22164
QX1233	0.87127
QX1791	0.7241
QX1792	0.8369
QX1793	0.34857
QX1794	0.46111
RC301	0.67979
WN2001	2.0499
WN2002	1.0861
WN2033	0.9471
XZ1513	-0.37912
XZ1514	-0.14854
XZ1516	0.71832
