strain	median
AB1	-3.4104
BRC20067	-3.598
CB4852	-8.9634
CB4854	-4.8429
CB4856	-4.0843
CB4932	-6.8426
CX11254	-7.7116
CX11262	2.0208
CX11264	1.0296
CX11271	-2.3404
CX11276	-2.9543
CX11285	0.93968
CX11292	-3.1174
CX11307	-4.8918
CX11314	-7.0415
CX11315	-7.8136
DL200	-1.1446
DL226	-5.1156
DL238	-9.2433
ECA246	-4.8804
ECA248	-4.5759
ECA250	-3.0893
ECA251	-4.7035
ECA252	-0.89796
ECA259	-5.6048
ECA348	-8.5111
ECA349	-7.2505
ECA36	-3.6138
ECA363	-1.4455
ECA372	-5.0003
ECA396	-2.2501
ED3005	-4.3298
ED3011	-6.6072
ED3012	-5.3663
ED3017	-5.5394
ED3040	-5.6843
ED3046	-7.9273
ED3048	-5.5471
ED3049	-2.51
ED3052	-5.463
ED3073	-5.4548
ED3077	1.0782
EG4347	-7.4072
EG4349	-6.1026
EG4724	-2.1981
EG4725	-3.9394
EG4946	-10.4867
GXW1	-10.1416
JT11398	-5.6935
JU1088	-2.9409
JU1172	-5.3509
JU1200	-2.9935
JU1212	-10.7068
JU1213	-4.5101
JU1242	-4.808
JU1246	-0.22121
JU1395	-3.6508
JU1400	-2.2899
JU1409	-9.9052
JU1440	-5.4469
JU1491	-6.6282
JU1530	-4.093
JU1543	2.4458
JU1568	-3.693
JU1580	1.7799
JU1581	-4.1803
JU1586	-5.1509
JU1652	-6.6194
JU1793	-0.69924
JU1808	-0.42034
JU1896	-7.9263
JU2001	-4.2187
JU2007	-4.7404
JU2131	-7.1248
JU2141	-5.8101
JU2234	-4.1266
JU2464	-1.9488
JU2466	-8.1335
JU2513	-2.7279
JU2519	-5.3622
JU2522	-3.6377
JU2526	-7.9348
JU2534	-6.9228
JU2565	-0.94512
JU2566	-5.8977
JU2578	0.35947
JU258	-5.2577
JU2587	-7.4018
JU2593	-8.0839
JU2600	-3.2163
JU2800	-10.1068
JU2862	-1.73
JU2866	-6.2432
JU2878	-3.512
JU2879	-6.4223
JU2906	-2.6342
JU310	-6.1966
JU311	-8.1631
JU3125	-7.1784
JU3127	-3.8651
JU3134	-6.8052
JU3135	-3.2747
JU3137	-4.1981
JU3140	-7.9867
JU323	-6.4486
JU346	-5.1871
JU360	-6.2149
JU367	-8.6921
JU393	-2.671
JU394	-3.1032
JU397	-2.1113
JU406	-3.9052
JU440	-6.9699
JU561	-8.8585
JU642	-6.1903
JU751	8.5215
JU774	-3.7561
JU775	-6.8431
JU778	-3.4017
JU782	-3.7089
JU792	-8.859
JU830	-5.0896
JU847	-3.9086
KR314	-6.7488
LKC34	-4.1828
LSJ1	-2.8205
MY1	-8.5757
MY10	-0.33669
MY16	-4.9061
MY18	-2.9649
MY2212	-6.7798
MY23	-6.8987
MY2453	-3.5596
MY2530	0.27122
MY2535	-1.7401
MY2573	-9.2731
MY2693	-6.0939
MY2741	-6.0529
MY679	-5.0988
MY920	-3.304
N2	-0.84491
NIC1	-4.0896
NIC1107	-2.8213
NIC166	-8.1536
NIC195	-5.1848
NIC199	-5.1614
NIC2	-5.2878
NIC207	-5.6429
NIC231	-3.5361
NIC236	-4.3582
NIC242	-6.6819
NIC251	2.4907
NIC252	-2.4452
NIC255	-3.674
NIC256	-5.0995
NIC258	2.3382
NIC259	-3.629
NIC260	-5.6837
NIC261	-6.5127
NIC262	1.5507
NIC265	-5.1337
NIC266	-6.7168
NIC267	-3.3325
NIC268	-4.5313
NIC269	-2.3569
NIC271	-5.9373
NIC272	-1.8579
NIC274	-9.9289
NIC275	-5.2434
NIC276	-5.3716
NIC277	-4.2591
NIC3	-2.0877
NIC513	-5.2843
NIC514	-4.7677
NIC522	-3.2426
NIC523	-2.1368
PB303	-7.456
PS2025	-4.9033
PX179	-6.5031
QG2075	1.3117
QG536	0.56237
QG556	-2.3883
QG557	-9.8813
QW947	-4.5525
QX1212	-5.2592
QX1233	-4.8514
QX1791	-2.0902
QX1792	-3.9649
QX1793	-6.2912
QX1794	-8.07
RC301	-3.2892
WN2001	-2.3356
WN2002	-6.7542
WN2033	-4.0809
XZ1513	-8.7362
XZ1514	1.1766
XZ1516	0.0096436
