strain	median
AB1	-2.6799
BRC20067	-1.4999
CB4852	-2.6917
CB4854	-3.5958
CB4856	-2.9783
CB4932	-1.1755
CX11254	-2.5329
CX11262	-1.4106
CX11264	-5.033
CX11271	-4.4099
CX11276	-0.73335
CX11285	-4.2258
CX11292	-4.9515
CX11307	-1.1388
CX11314	-3.154
CX11315	-3.6333
DL200	-1.5903
DL226	-1.9048
DL238	-0.79801
ECA246	-1.8851
ECA248	-5.6454
ECA250	-2.9871
ECA251	-4.7243
ECA252	-1.6624
ECA259	-1.6354
ECA348	1.5422
ECA349	-2.5622
ECA36	-1.3881
ECA363	-1.8081
ECA372	-1.4658
ECA396	-4.8817
ED3005	-3.5082
ED3011	-4.4359
ED3012	-3.1993
ED3017	-2.6135
ED3040	-4.6874
ED3046	-2.6104
ED3048	-2.4625
ED3049	-2.3025
ED3052	-2.4751
ED3073	-2.7322
ED3077	-1.4449
EG4347	-4.0976
EG4349	-3.3557
EG4724	0.17652
EG4725	-1.6817
EG4946	-6.2141
GXW1	-2.8394
JT11398	-4.7191
JU1088	-3.2486
JU1172	-7.1764
JU1200	-1.7915
JU1212	-4.048
JU1213	-3.6219
JU1242	-5.8607
JU1246	-1.4307
JU1395	-1.8769
JU1400	-2.9761
JU1409	-3.4463
JU1440	-2.7633
JU1491	-4.0763
JU1530	-8.0814
JU1543	-0.71858
JU1568	-4.5701
JU1580	-1.4125
JU1581	-3.469
JU1586	-3.8836
JU1652	-1.3324
JU1793	-2.4089
JU1808	-1.8238
JU1896	-3.0552
JU2001	-3.4773
JU2007	-5.222
JU2131	-3.5641
JU2141	-6.2725
JU2234	-3.2499
JU2464	-0.42665
JU2466	-4.9839
JU2513	-7.0491
JU2519	-0.71002
JU2522	-1.0622
JU2526	-5.6961
JU2534	-3.0958
JU2565	-0.18608
JU2566	-3.5078
JU2578	0.71427
JU258	-2.4034
JU2587	-2.4852
JU2593	-1.6691
JU2600	-1.6277
JU2800	-2.8789
JU2862	-4.0031
JU2866	-1.8567
JU2878	-4.0599
JU2879	-1.866
JU2906	-1.153
JU310	0.36598
JU311	-3.5135
JU3125	-0.94604
JU3127	-1.8192
JU3134	-3.1006
JU3135	-2.0747
JU3137	-3.2465
JU3140	-4.5713
JU323	-2.8889
JU346	-5.2203
JU360	-5.7024
JU367	-6.4864
JU393	-2.9057
JU394	-3.1161
JU397	-3.2485
JU406	-4.6144
JU440	-4.2168
JU561	-1.3029
JU642	-3.5406
JU751	-3.9279
JU774	-3.4459
JU775	-7.4536
JU778	-3.2656
JU782	-3.0762
JU792	-2.5399
JU830	-4.0103
JU847	-2.3072
KR314	-1.8749
LKC34	-2.7588
LSJ1	-0.51398
MY1	-3.3099
MY10	0.39198
MY16	-0.31122
MY18	-3.0072
MY2212	-8.4052
MY23	-4.3606
MY2453	-4.6044
MY2530	-2.0732
MY2535	-2.6239
MY2573	-2.6397
MY2693	-2.6527
MY2741	-2.8537
MY679	-0.83955
MY920	-1.2089
N2	-0.22224
NIC1	-5.0522
NIC1107	-3.7438
NIC166	-5.73
NIC195	-1.0869
NIC199	-2.8264
NIC2	-3.8995
NIC207	-1.8408
NIC231	0.89198
NIC236	-2.2201
NIC242	-2.8442
NIC251	-1.9938
NIC252	-1.4095
NIC255	-1.4133
NIC256	-2.0221
NIC258	-0.55311
NIC259	-0.93921
NIC260	-1.0126
NIC261	-5.9477
NIC262	-2.1741
NIC265	-4.6623
NIC266	-4.3792
NIC267	-2.0372
NIC268	0.78493
NIC269	-0.65469
NIC271	-7.9574
NIC272	-3.7517
NIC274	-2.4084
NIC275	-3.1453
NIC276	-4.6018
NIC277	-4.7756
NIC3	-4.0481
NIC513	-1.6219
NIC514	-3.3892
NIC522	-4.186
NIC523	-2.9256
PB303	-0.49646
PS2025	-7.1878
PX179	-2.9802
QG2075	-1.6802
QG536	-2.5791
QG556	-2.4392
QG557	-1.4436
QW947	-2.212
QX1212	-1.3632
QX1233	1.0622
QX1791	-2.933
QX1792	-2.1376
QX1793	-5.2889
QX1794	-4.5498
RC301	-1.3215
WN2001	-1.2019
WN2002	-5.6759
WN2033	-0.31451
XZ1513	-1.9336
XZ1514	0.25829
XZ1516	-2.8963
