identifier	metaIndex	strainName
1.2_10_2	54	ED3017
1.2_10_1	55	ED3017
1.2_10_1	76	BRC20067
1.2_4_3	106	JU311
1.3_7_6	153	NONE
1.3_9_2	160	NONE
2.1_8_6	200	NONE
2.2_3_2	211	ED3049
2.2_3_4	216	NIC1
2.3_4_4	269	JU1581
2.3_7_1	274	NIC1
2.3_4_3	282	JU1581
2.3_7_4	286	NIC261
2.3_7_5	304	N2
3.2_5_3	348	WN2002
3.2_9_6	364	NONE
3.3_1_2	373	JU1440
3.3_3_1	378	JU2519
3.3_6_2	380	JT11398
3.4_1_5	456	DL238
4.1_4_4	496	NIC275
4.1_6_4	498	DL226
4.1_6_3	503	DL226
4.1_8_6	520	DL226
4.1_9_5	524	NONE
4.2_1_3	545	NIC260
3.5_2_4	573	NONE
4.3_1_2	577	PB303
4.3_1_1	581	PB303
4.3_1_4	590	JU2007
4.3_1_3	594	JU2007
4.3_7_6	618	NIC260
4.3_1_5	621	JU1409
4.3_1_6	622	JU1409
5.1_6_1	635	ED3077
5.1_7_1	637	QW947
5.1_1_6	650	JU1212
4.5_2_3	721	DA609
4.5_3_1	729	NONE
5.3_5_3	743	DA609
5.3_9_3	762	NONE
5.3_4_6	775	CB4856
7.2_2_6	867	JU1586
7.2_2_5	868	JU1586
7.2_8_5	879	NONE
7.3_4_3	888	NONE
7.3_3_6	903	NIC272
6.2_3_6	926	JU2513
6.2_3_5	928	JU2513
6.3_1_5	986	JU792
7.1_8_4	1032	MY10
8.1_5_1	1050	DA609
8.1_5_6	1084	QG536
8.2_5_1	1107	QX1233
8.2_9_6	1148	NIC258
8.3_1_2	1151	RC301
9.1_5_5	1199	DA609
9.1_5_6	1228	DA609
9.2_1_2	1241	JU2526
9.2_10_1	1242	NONE
9.2_1_1	1243	JU2526
9.2_6_2	1252	JU1652
9.2_7_2	1253	PS2025
9.2_6_1	1254	JU1652
9.2_7_1	1256	PS2025
9.2_10_3	1260	CB4856
9.2_2_4	1261	ECA250
9.2_2_3	1263	ECA250
9.2_3_3	1264	NIC267
9.2_7_3	1271	PS2025
9.2_6_6	1289	ECA348
9.2_6_5	1290	ECA348
10.1_5_1	1311	QX1791
10.1_6_4	1316	JU2878
10.1_8_1	1318	JU397
10.1_3_5	1322	CB4852
10.1_3_6	1327	CB4852
10.1_9_5	1346	JU2131
10.1_9_1	1348	QX1791
10.2_8_2	1367	CX11285
10.2_9_6	1391	NONE
10.3_1_2	1399	CX11285
10.3_1_4	1413	JU2878
10.3_2_4	1416	JU2131
10.3_5_4	1422	ECA363
10.3_4_3	1436	CB4856
10.3_4_6	1439	CB4852
10.3_5_6	1440	QX1791
10.3_6_6	1441	JU2587
11.1_5_1	1460	JU2522
11.1_7_1	1463	PX179
11.1_1_3	1465	QG557
11.1_7_4	1479	PX179
11.1_2_6	1481	QX1793
11.1_2_5	1482	QX1793
11.2_1_2	1493	PX179
11.2_2_2	1495	DA609
11.2_6_1	1502	MY2535
11.2_6_2	1504	JU2534
11.2_2_4	1507	JU1580
11.2_3_3	1509	ECA396
11.2_6_4	1518	NIC236
11.2_1_5	1525	N2
11.2_7_5	1531	JU2234
11.3_3_2	1539	JU1580
11.3_2_4	1549	WN2001
11.3_5_6	1568	N2
11.3_7_4	1574	NONE
11.5_1_1	1576	JU2522
11.5_3_6	1582	NONE
11.5_2_5	1584	ECA259
11.6_1_1	1587	NONE
12.1_4_1	1596	ECA372
12.1_7_2	1602	NIC514
12.1_9_1	1603	NONE
12.1_3_4	1612	MY2573
12.1_8_3	1621	JU3134
12.1_8_4	1623	MY2693
12.1_1_6	1624	JU3134
12.1_2_6	1627	MY679
12.1_3_6	1629	JU3127
12.1_1_4	1642	CB4856
12.2_4_2	1649	JU1395
12.2_4_1	1650	JU1395
12.2_2_4	1661	JU3134
12.2_2_3	1662	JU3134
12.2_3_4	1664	MY2212
12.2_7_3	1671	JU3134
12.2_3_5	1681	NONE
12.2_8_6	1690	MY2212
12.2_7_6	1692	JU3134
12.3_2_2	1698	ECA372
12.3_10_3	1715	NONE
12.3_7_4	1728	WN2033
12.3_1_5	1734	DL226
12.3_3_6	1738	JU1896
12.3_5_6	1741	MY2573
12.3_6_6	1744	DA609
12.3_8_6	1749	JU3135
12.3_9_6	1750	ECA372
13.1_3_1	1757	MY920
13.1_4_1	1760	JU3140
13.1_5_1	1762	JU2600
13.1_7_1	1765	MY920
13.1_5_3	1779	MY2453
13.1_7_6	1803	JU1808
13.2_10_1	1810	JU2578
13.2_10_2	1812	JU2593
13.2_2_5	1816	DA609
13.2_5_1	1818	JU2593
13.2_7_2	1822	JU3137
13.2_8_1	1823	JU2578
13.2_9_1	1825	MY2453
13.2_8_2	1826	JU2565
13.2_9_2	1827	JU2593
13.2_10_4	1830	JU2578
13.2_2_4	1831	MY920
13.2_3_3	1833	MY2453
13.2_5_3	1836	CB4856
13.2_7_3	1840	MY2453
13.2_5_5	1857	JU2600
13.3_2_1	1867	JU3125
13.3_2_3	1886	XZ1513
13.3_3_3	1887	NIC1107
13.3_6_4	1893	DA609
13.3_7_4	1895	JU2578
13.3_10_6	1903	NONE
13.3_4_5	1909	JU2593
14.1_4_2	1928	JU1793
14.1_2_4	1937	JU1652
14.1_4_4	1942	CB4856
14.1_2_5	1951	JU2906
14.1_7_6	1961	XZ1514
14.2_3_1	1972	JU2906
14.2_4_2	1973	JU2862
14.2_4_1	1974	JU2862
14.2_7_1	1975	NONE
14.2_5_1	1976	JU2866
14.2_3_6	1996	JU2879
14.2_6_5	2003	JU2862
14.3_2_2	2009	JU1793
14.3_4_3	2024	XZ1514
14.3_8_3	2032	NONE
14.3_3_3	2040	N2
14.3_5_6	2044	JU1400
14.3_5_5	2046	JU1400
14.3_6_5	2048	JU2866
8.4_1_4	2053	JU1491
8.4_1_6	2056	NONE
9.3_1_1	2059	JU751
9.3_3_4	2075	CB4856
9.3_1_6	2083	EG4946
9.3_1_5	2085	EG4946
9.3_2_5	2088	CX11254
9.3_3_5	2089	ECA250
9.3_3_6	2090	ECA250
9.3_7_6	2097	NONE
9.5_1_1	2112	NONE
15.1_3_2	2120	CX11292
15.1_6_3	2121	NONE
15.1_1_1	2132	JU1409
15.1_4_5	2136	NIC522
15.1_1_3	2139	CX11314
15.2_5_4	2160	NIC513
15.3_1_2	2179	JU1242
15.3_2_2	2180	N2
15.3_5_1	2182	NONE
15.3_2_6	2191	NIC522
15.3_3_6	2192	XZ1516
15.3_4_5	2205	JU1242
15.3_3_5	2207	XZ1516
